,,pid1263-01,pid52932-01,pid9048-01,pid9050-01,pid9054-01,pid9055-01,pid9058-01,pid9059-01,pid9062-01,pid9063-01,pid9066-01,pid9067-01,pid9068-01,pid9072-01,pid9075-01,pid9088-01,pid9093-01,pid9097-09,pid9099-01,pid9101-01,pid9103-01,pid9104-01,pid9105-01,pid9118-01,pid9137-01,pid9138-01,pid9139-01,pid9150-15,pid9153-01,pid9166c-03,pid9173-06,pid9174-01,pid9186c-01,pid9192-01
16,1,0.36131102,0.41805568,0.29871751,0.29375678,0.33143149,0.38136429,0.26703258,0.25640366,0.21941345,0.19962941,0.54971448,0.18268686,0.37679328,0.24545602,0.2467462,0.32638294,0.45371488,0.18377078,0.30505852,0.25034618,0.4753271,0.48570359,0.43545797,0.41000934,0.32682042,0.31557945,0.28125356,0.4020843,0.20726784,0.41277807,0.2659478,0.42886085,0.40119327,0.33743169
16,2,0.33619324,0.34015341,0.26342744,0.24893386,0.34467621,0.30502679,0.23426474,0.23556442,0.21683114,0.1836409,0.51694555,0.18787392,0.34839459,0.21830538,0.22370933,0.25947104,0.4110335,0.12470482,0.29911748,0.24555673,0.39936736,0.47329716,0.43021075,0.35253329,0.33427599,0.28951045,0.25040485,0.38897638,0.15599925,0.4335234,0.24828569,0.39989337,0.35265999,0.31370999
17,0,0.27713742,0.27720417,0.24987089,0.18445067,0.34771643,0.2714468,0.19834628,0.20839876,0.19311999,0.14875964,0.41344622,0.19839339,0.29816915,0.18199666,0.17966739,0.16984541,0.3393872,0.14456644,0.27002622,0.28767614,0.30970525,0.38647081,0.40837594,0.29645305,0.3052552,0.26106657,0.24902493,0.36837425,0.13827647,0.41541397,0.2213539,0.32362715,0.29145536,0.29731655
17,1,0.23442919,0.31313453,0.22616845,0.14743404,0.33206544,0.2131326,0.14365956,0.24302356,0.17317163,0.11968689,0.28667331,0.16621529,0.2239172,0.12538159,0.22031092,0.12976346,0.19835688,0.12630669,0.24278954,0.29424941,0.26612509,0.26084394,0.33352949,0.34639846,0.27618147,0.24836006,0.25027941,0.3337749,0.15613673,0.37157415,0.20011697,0.24982229,0.27163861,0.25414715
17,2,0.20330761,0.31207446,0.2130853,0.13789302,0.31203136,0.27303734,0.11566755,0.36757626,0.20309877,0.1190894,0.27242364,0.18721597,0.14711709,0.10276684,0.41154013,0.12177314,0.16530402,0.29682635,0.30098484,0.31488149,0.27109274,0.21711265,0.25256538,0.46781184,0.2987448,0.38222789,0.28128778,0.26151922,0.18993251,0.35506391,0.19231669,0.3160654,0.30735137,0.1974434
18,0,0.22714243,0.40432647,0.25911301,0.16090531,0.34391275,0.4224377,0.17143774,0.41127558,0.30486028,0.19149902,0.42058433,0.22762604,0.21420276,0.21063589,0.49588576,0.16585956,0.22802826,0.42476498,0.36148238,0.52122668,0.31448598,0.27689933,0.29407726,0.52860858,0.31381474,0.60383868,0.33240198,0.26241779,0.23882015,0.37746358,0.21496454,0.36735383,0.33674267,0.23771468
18,1,0.25681066,0.55935534,0.33158676,0.22793639,0.37760736,0.70720422,0.26150118,0.42295019,0.3984875,0.28688549,0.54731076,0.3693673,0.2957098,0.29649965,0.5092697,0.21528218,0.31993174,0.46848161,0.46941869,0.69077136,0.3337527,0.35390157,0.41204163,0.56965003,0.36800756,0.73183916,0.39592409,0.36831867,0.27449694,0.44269943,0.23170553,0.43614715,0.41709638,0.3774395
18,2,0.27192543,0.58034991,0.36877044,0.25750813,0.38804363,0.73592753,0.27773897,0.41374051,0.4113345,0.3291862,0.56190571,0.38801163,0.3315002,0.30623483,0.49198843,0.23875955,0.350127,0.4637061,0.47629341,0.73697972,0.33640546,0.36525075,0.50137923,0.5887862,0.39463138,0.73056365,0.42368223,0.43218157,0.28158355,0.49203163,0.2223993,0.46624311,0.49545422,0.41272443
19,0,0.29275333,0.57365337,0.41694999,0.28906758,0.38288344,0.74306371,0.26815169,0.39576522,0.39655999,0.38116775,0.53707835,0.41359498,0.33702008,0.28152743,0.45383225,0.26118458,0.35910462,0.37212905,0.47771951,0.73559502,0.32672897,0.37851796,0.59434575,0.62079989,0.41705104,0.69466715,0.4301941,0.46611394,0.30295588,0.53273924,0.21274216,0.49475742,0.5762199,0.4412861
19,1,0.31961511,0.55545118,0.42404028,0.32319299,0.3863122,0.74797993,0.27820942,0.41028446,0.39231762,0.43785358,0.52886454,0.44964425,0.33324908,0.26103231,0.42364425,0.27447383,0.37198762,0.27403174,0.50964379,0.71725177,0.30704529,0.4074476,0.6899604,0.6872024,0.44347826,0.66144315,0.43448213,0.46945808,0.33572053,0.56068644,0.21871482,0.53540075,0.66161659,0.4633587
19,2,0.36184224,0.54777213,0.48857376,0.36696784,0.43029993,0.77592923,0.34168508,0.48026773,0.40584709,0.52908032,0.64436919,0.53766353,0.35322448,0.28751416,0.44020969,0.33811697,0.46627242,0.28528992,0.59050329,0.72621976,0.32647017,0.52040606,0.78550149,0.81079955,0.48934594,0.62694363,0.46941359,0.49501621,0.39801275,0.60744891,0.25072008,0.60510041,0.75161588,0.52628806
20,0,0.41191741,0.56906834,0.5669005,0.41527828,0.48869121,0.80521392,0.41699337,0.53602137,0.43518399,0.60404629,0.76387782,0.59130135,0.41325318,0.35751038,0.48695589,0.40619296,0.56497063,0.38526735,0.65242694,0.77878146,0.37027318,0.6698634,0.85961234,0.88682643,0.52108885,0.62651846,0.54627877,0.52756832,0.46657918,0.64786977,0.28991885,0.66966412,0.8143334,0.61817916
