,,pid1263b-10,pid52932-22,pid58917-04,pid610003b-14,pid9048b-14,pid9049b-10,pid9049b-25,pid9050b-10,pid9054b-10,pid9055b-10,pid9056-16,pid9057j-06,pid9058b-10,pid9059b-14,pid9060b-08,pid9061b-07,pid9062b-13,pid9063b-14,pid9066b-10,pid9069-10,pid9070b-22,pid9072b-14,pid9073b-14,pid9074g-10,pid9075b-10,pid9088-20,pid9089-05,pid9093b-16,pid9094b-10,pid9099b-14,pid9101c-04,pid9104b-10,pid9111b-12,pid9114-32,pid9118b-14,pid9138b-10,pid9139b-10,pid9153b-10,pid9166l-08,pid9170b-10,pid9174b-10,pid9192b-10
11,1,0.94713696,0.80802595,0.70765643,0.73475834,0.73685955,0.7068101,0.81411748,0.68631945,0.73802229,0.81738821,0.68760876,0.60548985,0.64927568,0.75775746,0.95482055,0.97942587,0.81658158,0.82306978,0.75952166,0.69479467,0.76061823,0.78736951,0.62722716,0.84319919,0.91258278,0.68193558,0.59047654,0.65793505,0.87136387,0.89804055,0.90573174,0.98168753,0.76057554,0.85975109,0.75294516,0.88493697,0.91528845,0.98456311,0.97077066,0.88891811,0.73510903,0.93567493
11,2,0.89285586,0.81421136,0.68344627,0.7564706,0.70664636,0.73600331,0.79677033,0.71413538,0.68079004,0.8571085,0.67312363,0.58296558,0.63988121,0.73365313,1,1,0.8214383,0.83482903,0.77453971,0.68135807,0.83083851,0.76353002,0.66966143,0.79139554,0.85972879,0.70560381,0.57498904,0.63014155,0.9038495,0.87420477,0.88514693,0.97736053,0.78244604,0.85906729,0.74677913,0.87065861,0.90659691,0.95745624,0.89634277,0.84520428,0.74403427,0.90110193
12,0,0.84983845,0.80779965,0.67072076,0.79422671,0.71374059,0.75591229,0.76976236,0.75000446,0.64436477,0.88562266,0.64093126,0.51389232,0.68060988,0.69704692,0.97832512,0.99847084,0.82635426,0.82361133,0.80462996,0.70821326,0.89138372,0.75064781,0.72807831,0.71830185,0.79640492,0.73467599,0.56558983,0.59227311,0.88782442,0.8589363,0.92122491,0.98748261,0.80654676,0.83157823,0.73654,0.86487008,0.88551686,0.91941798,0.83104014,0.80890759,0.74615265,0.87789256
12,1,0.8221953,0.79852154,0.68261903,0.82139513,0.76101756,0.77810509,0.75037021,0.76923214,0.64242227,0.88646891,0.62164643,0.44109444,0.70581631,0.65835707,0.90654469,0.96489887,0.82547768,0.79715302,0.79770758,0.75040526,0.91085554,0.74531724,0.75809533,0.66883568,0.7214128,0.79406565,0.55663646,0.5865945,0.85764675,0.83100348,0.95432063,0.99822284,0.80690647,0.80258479,0.73172749,0.85322871,0.85211007,0.86727232,0.78783774,0.78307031,0.7511838,0.85812672
12,2,0.82353258,0.79625858,0.72988647,0.81685041,0.82783948,0.8156144,0.75396657,0.7435655,0.6788345,0.86265812,0.62083373,0.36884378,0.70320151,0.65140908,0.82871217,0.88767637,0.81762399,0.76822683,0.77033394,0.77642291,0.83704515,0.75671874,0.72439947,0.62799292,0.66811731,0.86347913,0.53924865,0.60267277,0.83797248,0.81096785,0.96057608,0.96839747,0.78985612,0.78234409,0.73651494,0.83978647,0.84281095,0.80168402,0.7689456,0.77517973,0.75329439,0.84614325
13,0,0.86265482,0.80153881,0.77594825,0.79663641,0.88176281,0.84584195,0.75763345,0.6992152,0.73665341,0.81651523,0.6389999,0.39834069,0.7045415,0.66986209,0.80724842,0.83797873,0.80573094,0.76340709,0.75213899,0.76092399,0.73427041,0.78514844,0.6523832,0.63206772,0.65512457,0.94257822,0.52308873,0.61422981,0.83162341,0.81418271,0.98588886,0.89939731,0.78194245,0.77742068,0.79347554,0.83206843,0.85600272,0.73818598,0.7770015,0.78738383,0.75922897,0.86907713
13,1,0.87279663,0.82084936,0.83899498,0.83969885,0.89347904,0.8844849,0.76440307,0.73718898,0.79571084,0.78506146,0.65828473,0.45473963,0.7349703,0.71500525,0.84714989,0.83172308,0.78517869,0.78284079,0.77056859,0.70398055,0.68127054,0.80114015,0.67687725,0.65569524,0.70905077,0.98493351,0.51238123,0.62339717,0.83903501,0.82385274,1,0.8082213,0.78,0.78036105,0.87609033,0.8437098,0.87893642,0.70635941,0.79767591,0.83947045,0.80124611,0.89400826
13,2,0.85533118,0.82182998,0.87793716,0.90502291,0.85198853,0.91237071,0.77060856,0.81099617,0.83951503,0.75152325,0.65260541,0.49421006,0.78103723,0.75288562,0.85031668,0.83936887,0.72208863,0.78918459,0.84726534,0.64028278,0.66484118,0.80928407,0.76960469,0.69953882,0.75326395,0.9655623,0.50989621,0.61546211,0.85789932,0.80738824,0.95162933,0.74342451,0.78028777,0.76955689,0.91532986,0.8497556,0.87333429,0.69785065,0.80558922,0.89812379,0.87305296,0.89965565
14,0,0.8457548,0.84362978,0.90081845,0.96682606,0.77497313,0.9393463,0.75093435,0.88398288,0.87816961,0.67165509,0.62379769,0.47650485,0.83499928,0.77889372,0.77698804,0.87579064,0.63485708,0.77030017,0.92265343,0.51139229,0.634599,0.84089731,0.88286363,0.74458273,0.77187007,0.90721808,0.52186084,0.57477935,0.85708065,0.77283909,0.89445738,0.71305053,0.78129496,0.75526532,0.89606727,0.86789298,0.83637468,0.70344191,0.77557568,0.9085569,0.90864486,0.87086777
14,1,0.85256686,0.8799125,0.89369005,0.97894947,0.73159262,0.9437319,0.71532332,0.90091858,0.88794733,0.60784785,0.60138637,0.43932921,0.86375489,0.7836906,0.68226601,0.90540071,0.58890771,0.75176389,0.90487365,0.42186599,0.60983327,0.86221959,0.91048799,0.75784952,0.77748344,0.86194173,0.54057155,0.52981682,0.82672879,0.75993723,0.8820192,0.71744707,0.78122302,0.69132932,0.87963706,0.86917932,0.80637654,0.70390723,0.73558138,0.88944415,0.92250779,0.82658402
14,2,0.88847604,0.87591461,0.81327994,0.90089022,0.73135077,0.86280513,0.68694732,0.80539552,0.92653673,0.46026189,0.58313414,0.39237423,0.87447487,0.77124869,0.6405278,0.90929311,0.57705019,0.74982206,0.81069495,0.36519272,0.55127784,0.8973125,0.81568943,0.78956346,0.76499527,0.81827965,0.59241339,0.4732806,0.74994774,0.7737043,0.8874018,0.74721836,0.78294964,0.63295952,0.84281632,0.81727553,0.78859185,0.73774282,0.65584943,0.84696651,0.93691589,0.79132231
