,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
11,2,0.40934128,0.50752762,0.7008809,0.81873194,0.82734504,0.45911054,0.55919768,0.50876298,0.51026875,0.7448063,0.71788441,0.65860044,0.64330626,0.67029721,0.55920017,0.86215439,0.44002867,0.63305078,0.81945584,0.73482924,0.59635694,0.43389352,0.7913056,0.60180173,0.66665044,0.85411259,0.51748252,0.71496813,0.65843748,0.68806615,0.47956274,0.5859941,0.61756862,0.54575901,0.71686702,0.93477235,0.56400621,0.55131349
12,0,0.36936705,0.47288981,0.68870435,0.82037832,0.83410673,0.35057959,0.54040644,0.41504111,0.55736061,0.72693901,0.71992522,0.57618912,0.66186031,0.52503625,0.50126106,0.81516701,0.36562948,0.51984534,0.72040907,0.60871201,0.50451269,0.42004936,0.70308395,0.6508841,0.55516066,0.81324631,0.42760638,0.70068392,0.64823277,0.61644465,0.48624714,0.55712017,0.57025717,0.62008569,0.59461659,0.89619432,0.55218944,0.52949821
12,1,0.36928652,0.44911756,0.70680859,0.86040809,0.82888631,0.27916509,0.50610715,0.36923554,0.55798235,0.73790303,0.67935816,0.51980588,0.73422214,0.23160565,0.37075176,0.64636407,0.29580066,0.33297643,0.65968058,0.47165302,0.47996709,0.40097544,0.60719622,0.6627755,0.44323272,0.77690425,0.3379862,0.46335155,0.65740244,0.51827285,0.45188714,0.52213567,0.38438826,0.64823365,0.43345778,0.78229914,0.54009317,0.4541232
12,2,0.46653245,0.4731814,0.64748578,0.8850162,0.80044746,0.3011213,0.50442861,0.41203009,0.5721888,0.68547876,0.55846705,0.45493285,0.80582731,0.30080645,0.37440256,0.37824836,0.30906485,0.29793293,0.64572944,0.27092859,0.60162175,0.39819603,0.59251321,0.54362692,0.38393379,0.61019061,0.21570913,0.38198045,0.74836311,0.35491961,0.44851909,0.4689783,0.34047104,0.63976915,0.36522064,0.57543515,0.54983696,0.28728394
13,0,0.53529554,0.48381676,0.57917049,0.8626237,0.78269804,0.351663,0.52156242,0.42805554,0.58412889,0.61613742,0.44960274,0.43185154,0.79634248,0.4293041,0.45926287,0.29998402,0.36177587,0.32260391,0.5532479,0.25083263,0.69041836,0.38842402,0.56784577,0.49921227,0.34190847,0.47319588,0.24270305,0.40571369,0.80617956,0.31327515,0.45130364,0.43661801,0.41641701,0.61347499,0.34463526,0.45861933,0.54749224,0.28223559
13,1,0.58688195,0.45998312,0.50477152,0.83388213,0.75739973,0.39709827,0.59910267,0.38613128,0.60231314,0.54330383,0.35688581,0.41509103,0.72294691,0.56359188,0.61412248,0.29450216,0.41575175,0.3695219,0.46468657,0.27340295,0.80452836,0.3683159,0.5487115,0.51997821,0.3730185,0.34513832,0.29576763,0.47391907,0.83155716,0.30550299,0.48273875,0.48257581,0.49850203,0.61033578,0.400336,0.36830563,0.52721273,0.31969847
13,2,0.58060074,0.45310006,0.46757203,0.79497329,0.75822837,0.47052049,0.7358142,0.36136286,0.63404198,0.51150816,0.34557563,0.46352124,0.67664173,0.72239036,0.77565666,0.36888285,0.47599292,0.4175329,0.41475917,0.35539562,0.8636791,0.37891057,0.58194145,0.64794268,0.42468354,0.43677965,0.36270396,0.60089247,0.88507245,0.35513091,0.56849103,0.6035166,0.55092216,0.66029206,0.48595535,0.30980431,0.62121118,0.48585243
14,0,0.51319053,0.47407152,0.48355662,0.7337858,0.78045244,0.52556254,0.80464503,0.46327751,0.59590854,0.53508487,0.33455367,0.59201849,0.67357248,0.77029721,0.85466453,0.4411619,0.51291003,0.46053982,0.46020453,0.42796124,0.85506111,0.40740393,0.6239606,0.78147993,0.44659202,0.57611807,0.43120801,0.64313927,0.86858851,0.40787322,0.60898885,0.69640021,0.55393541,0.70852571,0.57969088,0.41728784,0.69232143,0.54360771
14,1,0.4588259,0.51929098,0.53288677,0.67114458,0.80733344,0.60473521,0.83029823,0.5805974,0.55232651,0.59148867,0.32471569,0.78140131,0.70376409,0.75369699,0.85229569,0.52315007,0.55895944,0.5387315,0.54505397,0.51426287,0.7715058,0.45616406,0.66208488,0.85007961,0.48048685,0.68301565,0.51048951,0.65712055,0.8854558,0.4465503,0.63515769,0.74539817,0.53924149,0.71706016,0.72644665,0.53772249,0.7207764,0.561098
14,2,0.44282493,0.58669429,0.56767297,0.6228041,0.8113109,0.65626941,0.83404592,0.67260869,0.54846236,0.62884756,0.33149244,0.88066078,0.73522391,0.70492932,0.80686964,0.59889724,0.58622144,0.60678861,0.56526734,0.57956534,0.68339862,0.51741098,0.66261038,0.85284505,0.52479065,0.72998591,0.57123269,0.6554661,0.94441463,0.45904456,0.65323879,0.70306285,0.52364707,0.6838405,0.81049802,0.59448323,0.67374224,0.55094799
15,0,0.42868417,0.63218232,0.54711874,0.59786321,0.77348359,0.63885143,0.8108208,0.69319569,0.56304987,0.60781288,0.34439944,0.90479373,0.72941578,0.59916636,0.74207483,0.65189388,0.56347078,0.65821994,0.54239631,0.62142252,0.60130053,0.60095193,0.63795324,0.78709461,0.55529698,0.68409849,0.58357329,0.6060772,0.93636433,0.46349104,0.64964178,0.56326855,0.49208589,0.62016439,0.84267901,0.56870882,0.57335404,0.52182289
15,1,0.43287969,0.60772713,0.46798495,0.59663718,0.68307093,0.52022123,0.76373713,0.63247504,0.56361145,0.51755868,0.36018071,0.81444033,0.68643562,0.52316057,0.64369121,0.62217516,0.47009866,0.67726969,0.47165583,0.60161821,0.5217095,0.57712422,0.62462005,0.65848487,0.54925024,0.56190017,0.53270259,0.54062147,0.86053822,0.46485071,0.62039294,0.43976405,0.44912979,0.53532704,0.80609274,0.47761825,0.45292702,0.47443844
15,2,0.45357545,0.55603898,0.343274,0.63753393,0.54550878,0.42851731,0.74658221,0.57038393,0.5406672,0.38674572,0.39721919,0.60556931,0.65232219,0.55142262,0.59642583,0.55078312,0.40310313,0.6491412,0.42740357,0.52192116,0.42577562,0.5079269,0.64750492,0.57396296,0.52498539,0.45830305,0.4091549,0.51423179,0.82803036,0.46651355,0.56062486,0.39838161,0.4152221,0.49098461,0.68072127,0.47861147,0.35362578,0.38660626
16,0,0.4393139,0.52523788,0.31666361,0.67275593,0.43469506,0.36534586,0.72214305,0.54023368,0.51054954,0.36021278,0.403809,0.56639572,0.63094401,0.55070678,0.59631436,0.46213041,0.34758411,0.60074355,0.41008775,0.43896886,0.35352554,0.44827829,0.68305324,0.54287271,0.45227848,0.42236149,0.29205174,0.50053012,0.78386874,0.45864033,0.49691262,0.3804356,0.40630358,0.47896992,0.53274845,0.54035795,0.35975155,0.34156704
16,1,0.39576421,0.49775936,0.30004588,0.69778439,0.3658767,0.3266005,0.67954605,0.54013365,0.4705843,0.34621132,0.38513008,0.5666915,0.61269902,0.47424792,0.57787919,0.38400991,0.30763977,0.55189977,0.38464112,0.31071597,0.27429489,0.41515454,0.72066233,0.51711221,0.39315482,0.42379292,0.24751588,0.44719151,0.7408265,0.4654938,0.43777236,0.38326401,0.38908996,0.48976041,0.38523856,0.58731439,0.41312888,0.29377142
16,2,0.3331857,0.51413444,0.26692054,0.6816709,0.33181969,0.3941738,0.66371074,0.59491227,0.50889825,0.30549013,0.37592304,0.56945205,0.58155892,0.4631207,0.55365429,0.44025092,0.37063833,0.50960666,0.37834101,0.24205476,0.24413193,0.41447291,0.71280049,0.47905807,0.34685492,0.46205592,0.23163307,0.40675063,0.74877712,0.51160312,0.38575227,0.39108372,0.40513464,0.50618223,0.36987232,0.58403973,0.46966615,0.24734638
17,0,0.35439684,0.52839165,0.27666544,0.63976705,0.33995691,0.45804985,0.64143574,0.61660965,0.57949592,0.30382523,0.35346627,0.5338168,0.55641878,0.51080101,0.54328712,0.50873422,0.44257526,0.45598929,0.40505019,0.29319785,0.30424632,0.41449054,0.64067346,0.45629766,0.34009737,0.50526589,0.26264454,0.55108413,0.74520432,0.53830041,0.39351503,0.37942222,0.42089358,0.49610003,0.43222579,0.49865277,0.49096273,0.32214269
17,1,0.43273474,0.51855433,0.35368875,0.63317278,0.41652304,0.50797788,0.60332542,0.64366885,0.6438695,0.38854057,0.37182583,0.53783713,0.56267451,0.56467017,0.56909357,0.6115151,0.5217472,0.39852034,0.49604192,0.39069527,0.45103416,0.40156893,0.55598603,0.50649459,0.33972736,0.5719647,0.36075232,0.69583707,0.73328222,0.56350023,0.47248689,0.38951826,0.47720149,0.52550717,0.57732398,0.39701052,0.47395186,0.43952638
