,,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
15,2,0.57408488,0.35996803,0.45272614,0.55364845,0.48357056,0.44841588,0.35332677,0.5248695,0.46722191,0.69961123,0.52893192,0.35001245,0.53838639,0.66657534,0.84939623,0.66971158,0.69978012,0.61281905,0.8335488,0.61294885,0.53307407,0.63959588,0.73983717
16,0,0.58921276,0.36578062,0.46050088,0.6259599,0.53639225,0.43428571,0.35933616,0.56382376,0.50879656,0.70413297,0.48964339,0.39173101,0.50872751,0.77186794,0.85754828,0.56369773,0.69183064,0.48371944,0.74445701,0.60197734,0.63311501,0.60734811,0.71333901
16,1,0.54567545,0.34931864,0.50447723,0.7011803,0.57700451,0.41681539,0.34328584,0.5782978,0.53264084,0.57809609,0.43361079,0.41408883,0.45413173,0.72222983,0.77757677,0.40242833,0.65101201,0.37950367,0.69905462,0.57278407,0.63070699,0.5482006,0.70883272
16,2,0.47904135,0.37380552,0.4779834,0.6605887,0.48266218,0.37137945,0.37014247,0.58797664,0.51388733,0.44846261,0.38541137,0.35286841,0.42182692,0.53564171,0.54840351,0.33365477,0.52745109,0.35421577,0.64133807,0.58992104,0.42084858,0.48430943,0.71437092
17,0,0.52203071,0.36148217,0.36541304,0.59199982,0.31391889,0.27334425,0.35770688,0.57759887,0.44626614,0.28213551,0.28101288,0.32928186,0.35959456,0.38843985,0.4052847,0.26715175,0.37601624,0.34756549,0.53547996,0.61900446,0.41148141,0.45281427,0.64837641
17,1,0.64079046,0.2030535,0.24586389,0.4156125,0.26846434,0.2214081,0.20560018,0.43189419,0.3240564,0.14039209,0.33961272,0.2965878,0.26530164,0.36114346,0.3181109,0.20359428,0.27084062,0.30641794,0.37117001,0.46705115,0.42648334,0.32586435,0.40035028
17,2,0.53599123,0.16202052,0.18393598,0.32973708,0.26041056,0.12143266,0.16840709,0.41913651,0.17027887,0.20904971,0.12237799,0.10767954,0.21090939,0.21778889,0.21009905,0.15981415,0.15559565,0.24068961,0.36199095,0.13901819,0.23479339,0.31535076,0.13962889
18,0,0.29996069,0.29104139,0.32416567,0.33729367,0.26389386,0.1839869,0.30149288,0.62379899,0.24937925,0.2282281,0.22484886,0.18710668,0.27667508,0.24994863,0.30755054,0.34770755,0.28176129,0.3709004,0.57583226,0.19615517,0.2669163,0.2887931,0.21585724
18,1,0.27623256,0.25621635,0.43524362,0.35611828,0.26465918,0.20019648,0.26340558,0.59537291,0.31320107,0.2655766,0.26908788,0.24426733,0.33679883,0.29776012,0.40936638,0.48428158,0.38877488,0.48235571,0.58838074,0.25327841,0.3578429,0.30297847,0.30154312
18,2,0.31489798,0.25164031,0.50525897,0.39225171,0.26814248,0.24623823,0.26054865,0.53336282,0.35949217,0.36259121,0.35696136,0.29552511,0.35613449,0.36541316,0.49300122,0.5976418,0.40837797,0.52227423,0.63653846,0.37559904,0.42181179,0.33055099,0.36625959
19,0,0.39593334,0.3282638,0.48851555,0.45944741,0.31202346,0.27072452,0.33955744,0.54167035,0.39998752,0.4598657,0.4491019,0.31279369,0.37795327,0.43362559,0.54121252,0.66515298,0.36558606,0.54749478,0.67442631,0.48280124,0.51189559,0.35626482,0.41865947
19,1,0.48537838,0.41588997,0.4277105,0.54878905,0.34367356,0.32679492,0.42938769,0.51161639,0.4226215,0.48952205,0.50603698,0.36611042,0.44446796,0.46862799,0.6410384,0.76217235,0.32718047,0.55571082,0.69765676,0.5530793,0.55029137,0.41144408,0.49895863
19,2,0.49664685,0.52875168,0.45457388,0.62157975,0.38768328,0.40400327,0.54434677,0.47475007,0.416963,0.49370075,0.54592132,0.44910751,0.50021982,0.50054798,0.76683551,0.81131761,0.38207138,0.57985386,0.76454428,0.57894954,0.51968551,0.49503968,0.53499006
20,0,0.46338936,0.56747981,0.53243504,0.65289836,0.43284457,0.45661072,0.58735223,0.43427409,0.37537588,0.47991726,0.52570753,0.48804483,0.55939103,0.51608558,0.84840125,0.79464364,0.43951063,0.59741397,0.79010989,0.53099897,0.46964699,0.54203156,0.54028212
20,1,0.41868471,0.58673452,0.58000739,0.62573699,0.48407839,0.50494474,0.60743407,0.43998054,0.33383867,0.49410615,0.49235083,0.46646741,0.5682488,0.51392789,0.71384153,0.71397388,0.49026893,0.61007475,0.8052521,0.47398558,0.42922847,0.56521392,0.56764177
20,2,0.43073936,0.58234354,0.54060777,0.64849593,0.52014162,0.5035612,0.60206123,0.46858356,0.34280991,0.5253633,0.49910628,0.42917393,0.52996825,0.48981665,0.53221247,0.56432015,0.50411005,0.61502458,0.79625889,0.43014075,0.42921643,0.5542214,0.55224841
21,0,0.45052471,0.55130384,0.47472852,0.66788895,0.49081611,0.45942693,0.56977872,0.45326904,0.34798178,0.49991684,0.4641812,0.43183894,0.48781242,0.46366189,0.49535299,0.45567634,0.46403563,0.58519092,0.73807369,0.39736354,0.50853641,0.4916986,0.51348102
