,measure_number,beat_number,pid1263b-13,pid610003b-17,pid9048b-27,pid9049b-13,pid9050b-15,pid9054b-15,pid9055b-13,pid9058b-13,pid9059b-17,pid9060b-11,pid9061b-10,pid9062b-16,pid9063b-19,pid9066b-13,pid9069-13,pid9070b-25,pid9072b-17,pid9073b-19,pid9074g-13,pid9075b-13,pid9085-06,pid9094b-18,pid9097-03,pid9099b-19,pid9104b-13,pid9111b-15,pid9112-12,pid9118b-19,pid9137-20,pid9139b-15,pid9153b-15,pid9166e-16,pid9170b-15,pid9174b-13,pid9192b-15
31,11,1,0.49871427,0.53427267,0.63348081,0.84805361,0.40462917,0.49045051,0.66413547,0.67479909,0.36800029999999995,0.71655204,0.76842406,0.51166006,0.80333775,0.89203324,0.61613984,0.44490747,0.56507522,0.47378374,0.53803759,0.61418662,0.73180926,0.58534538,0.57024905,0.74217929,0.82657272,0.75264198,0.60219236,0.38178685,0.68616911,0.56747388,0.48639515,0.70063671,0.739829,0.73685955,0.5516446
32,11,2,0.42927022,0.46752785,0.78697968,0.80528575,0.34414302,0.48150208,0.73422394,0.73274263,0.44285820000000004,0.76751568,0.84895318,0.55546594,0.71779899,0.7750394,0.615029,0.52624612,0.67453916,0.37262074,0.62770064,0.56737338,0.70229878,0.57777169,0.62668147,0.83509575,0.72976576,0.79776477,0.6058463000000001,0.38524413,0.70885529,0.66689776,0.56620451,0.77803347,0.69487732,0.84310283,0.57259006
33,12,0,0.37436432,0.4995394,0.85769752,0.66555229,0.38228804,0.45767891,0.60241402,0.75966756,0.49179892,0.63589298,0.85376856,0.51581943,0.66202471,0.59853131,0.59210161,0.50366743,0.5989971,0.38689631,0.6648746999999999,0.55831697,0.61551517,0.60682544,0.70351364,0.81671751,0.63050847,0.75063484,0.55381895,0.39811346,0.83257339,0.65862709,0.53858516,0.71823722,0.59698885,0.7709871,0.54431155
34,12,1,0.36315185,0.53554979,0.77545824,0.49430013,0.41625187,0.42728907,0.49530673,0.66391236,0.38618882,0.51547124,0.69921964,0.37639414,0.5116537999999999,0.5892893,0.52494487,0.3966365,0.36502578,0.43806818,0.55563833,0.43127208,0.47471978,0.62214618,0.76027919,0.63684969,0.45268203,0.66230518,0.45325318,0.24679815,0.8400128000000001,0.47412362,0.40090594,0.62055667,0.45666914,0.55482802,0.55166595
35,12,2,0.36440167,0.56784398,0.67488939,0.47387245,0.46122449,0.41568925,0.57132478,0.41850402,0.32410128,0.53700401,0.61836696,0.46553829999999996,0.49863879,0.65623298,0.57026872,0.36933,0.31521294,0.51337891,0.43937521,0.45395891,0.36180103,0.59538279,0.74742227,0.53238434,0.39831143,0.74607314,0.40598774,0.27401261,0.75719542,0.48164242,0.38615882,0.57857013,0.37130855,0.42406843,0.56439556
36,13,0,0.42823589,0.57701407,0.59211738,0.80385513,0.47546043,0.48668127,0.77200445,0.38074044,0.43730715,0.71638576,0.67571374,0.60634621,0.56314708,0.63892391,0.66279507,0.48302040000000007,0.42797514,0.55710227,0.45535896,0.55297736,0.52983978,0.50173373,0.64589943,0.5643535,0.43615184,0.82574318,0.44410066,0.53721993,0.61582273,0.62903037,0.62412951,0.5431781,0.53758364,0.6048101,0.5593265000000001
37,13,1,0.5231145,0.65701156,0.60251016,0.94187185,0.52086444,0.60234805,0.85177243,0.48260183,0.59123791,0.74714685,0.7452893,0.73170338,0.78668947,0.66293165,0.63300662,0.64173308,0.60649057,0.59454013,0.56831189,0.67530428,0.70077892,0.52709189,0.65121352,0.63024064,0.52204025,0.83022885,0.54008722,0.64256891,0.69565635,0.7563031,0.67263274,0.5914043999999999,0.70957621,0.80816912,0.6362095999999999
38,13,2,0.5690849,0.72966041,0.64667269,0.88954145,0.56200431,0.68245141,0.82363626,0.57685281,0.70247287,0.69586577,0.75889798,0.71844179,0.89161918,0.70935664,0.62396471,0.58664055,0.657384,0.61184304,0.65281917,0.78929459,0.7023621,0.61274751,0.7765625,0.64342484,0.50604329,0.78141869,0.63395804,0.68750323,0.80401568,0.80488234,0.59245313,0.6079316,0.70952416,0.88765675,0.69403389
39,14,0,0.55081885,0.78966376,0.67885327,0.8363828000000001,0.63166584,0.65475789,0.83478057,0.62494677,0.71404001,0.65128864,0.71035402,0.74459628,0.90376383,0.65757988,0.68449726,0.47481426,0.66330956,0.67703303,0.69969523,0.83117393,0.7023621,0.63260334,0.7680441,0.67546179,0.53028629,0.73415951,0.65706035,0.64873009,0.7912887,0.80368128,0.56372302,0.61336183,0.70262454,0.88529201,0.72048982
40,14,1,0.53679069,0.78361318,0.68121896,0.7892478,0.70171727,0.52712055,0.78099256,0.60254138,0.64874142,0.59929711,0.61706319,0.74193474,0.77676123,0.54165353,0.68457078,0.4118532999999999,0.66222191,0.74169034,0.70078733,0.73504777,0.67430815,0.6082763000000001,0.65491751,0.66954753,0.59153812,0.62706607,0.57651462,0.54810778,0.66419486,0.67739479,0.47515362,0.64587047,0.67736059,0.80001791,0.68897195
41,14,2,0.54285304,0.73366971,0.69405869,0.6869287,0.72286378,0.43060329999999997,0.69343177,0.47310255,0.53891637,0.67648704,0.58272745,0.6765831,0.59081663,0.54522854,0.61932533,0.50778063,0.72003673,0.75978338,0.63426177,0.56340139,0.68824014,0.50101287,0.58917354,0.65392306,0.64362344,0.41620163,0.42280174,0.32060848,0.54181265,0.44730983,0.3463211,0.72317628,0.68976952,0.72530455,0.61494376
42,15,0,0.49574774,0.68591408,0.71456433,0.67227618,0.65277086,0.48206943,0.76352024,0.42160863,0.55621909,0.76094022,0.6528169,0.65231819,0.52839316,0.62161484,0.49265703,0.74138863,0.78614309,0.67363281,0.62132577,0.59664311,0.73776202,0.45198467,0.67919575,0.67767328,0.59108741,0.38222459,0.32962046,0.31631526,0.57466603,0.49981447,0.32505121,0.67483173,0.72578439,0.79036188,0.55931226
43,15,1,0.48651056,0.65308601,0.80781941,0.78277238,0.55215696,0.62195259,0.93301693,0.46667354,0.70551414,0.81959036,0.74023601,0.68741359,0.5675899999999999,0.76164207,0.50741648,0.73524247,0.78946253,0.54586293,0.67861497,0.73949745,0.76860237,0.68644949,0.84597081,0.63698526,0.5347172,0.52479282,0.39856789,0.40788673,0.66045116,0.79102627,0.43270837,0.59044024,0.73298885,0.87340559,0.52750249
44,15,2,0.5513001000000001,0.61529604,0.85400451,0.72273925,0.48720757,0.65975733,0.93606375,0.48258122,0.73605226,0.77673645,0.6584506999999999,0.64834317,0.57306521,0.74179682,0.61929266,0.56893151,0.69025355,0.47650036,0.70068574,0.89713388,0.72465328,0.85483165,0.80472716,0.61534486,0.59420428,0.53558124,0.43968058,0.42695852,0.71416687,0.89516649,0.46636206,0.63134437,0.67869145,0.87653171,0.51444539
45,16,0,0.56581669,0.55483209,0.75093454,0.59592651,0.42273934,0.61268397,0.63567118,0.47879662,0.66891563,0.67294989,0.5239056,0.56228685,0.50505521,0.49785786,0.64516867,0.33312171,0.54150717,0.42486683,0.64590247,1.0,0.67354822,0.8595401,0.34066466,0.60788849,0.59007808,0.46433513,0.43915017,0.40598779999999995,0.71677466,0.76145884,0.43397668,0.64488812,0.63028253,0.84020064,0.49961555
46,16,1,0.42365321,0.58756595,0.59989165,0.50552669,0.45705159999999995,0.57476688,0.46297533,0.49439522,0.48962870000000003,0.48655429999999994,0.40358774,0.34697898,0.40928458,0.38169509,0.54817447,0.26694583,0.40371495,0.4935103,0.47835252,0.9420233,0.66968526,0.74988594,0.10810596,0.60152517,0.44261411,0.42048962,0.41928336,0.37644096,0.67348212,0.44890147,0.34662045,0.55828634,0.63947955,0.75458617,0.54649722
47,16,2,0.33669013,0.67955992,0.50908352,0.6100896,0.57680438,0.50902708,0.46188551,0.48508826,0.34933934,0.44893054,0.33778074,0.36604756,0.36621158,0.49354492,0.57734215,0.22930569,0.30003531,0.64082919,0.40020318,0.69859966,0.73731873,0.61125103,0.20394987,0.61376038,0.33975116,0.55332624,0.4854314,0.41365574,0.58793697,0.39707059999999994,0.34250039,0.51848281,0.71670632,0.69230563,0.58325502
48,17,0,0.36879759,0.74199188,0.54597743,0.73978616,0.66824291,0.49254016,0.42813617,0.51098977,0.38749539,0.60671151,0.32347735,0.46448981,0.49565323,0.59577303,0.65011844,0.26114413,0.25289922,0.75224609,0.39717237,0.51809318,0.78652397,0.56556255,0.31792513,0.56598034,0.31923443,0.67764008,0.65370108,0.5111922999999999,0.57151428,0.49778342,0.46934772,0.63239949,0.78490706,0.68569509,0.59380607
49,17,1,0.46800029,0.76176618,0.59322799,0.79685265,0.6705492,0.59701157,0.4666901,0.53816883,0.54209788,0.73852317,0.42340122,0.69831321,0.74680444,0.76321823,0.69183207,0.36625017,0.34359065,0.73911577,0.49227057,0.66319853,0.75834336,0.62200931,0.53531091,0.60516862,0.32291627,0.70358093,0.72960868,0.60297016,0.6361891,0.64479055,0.50595557,0.69857195,0.7672119000000001,0.78440523,0.59396981
50,17,2,0.50560983,0.78961142,0.6475395,0.82245313,0.66295835,0.7076733000000001,0.51498213,0.57722371,0.6534288,0.71148817,0.53454511,0.81636556,0.95656266,0.84933372,0.6649269,0.45233014,0.40843986,0.70216619,0.60110904,0.81985342,0.70768159,0.64638197,0.67848985,0.64405186,0.36651431,0.75394967,0.76337812,0.63324974,0.73315735,0.68087101,0.48518985,0.67043842,0.71194796,0.85714798,0.63558308
51,18,0,0.49481396,0.83227954,0.67585553,0.79730442,0.7006222,0.73733288,0.56458663,0.60431348,0.65733373,0.61239513,0.56918538,0.89961056,0.96778634,0.79151741,0.64828065,0.37369309999999994,0.41400523,0.75189098,0.68548087,0.81867557,0.66854537,0.62458253,0.72375476,0.72141163,0.44401701,0.77602068,0.71133899,0.55995542,0.73134149,0.62453862,0.44284701,0.62306713,0.67403717,0.85971874,0.6534031
52,18,1,0.46493320000000005,0.79417553,0.66342212,0.76010843,0.72159449,0.62369397,0.55130954,0.57155024,0.58474201,0.57700098,0.50740388,0.85444511,0.80938983,0.5961814000000001,0.5617414000000001,0.28471566,0.41747299,0.77956321,0.66695733,0.72654103,0.6348553000000001,0.59755452,0.62246193,0.74796645,0.47519203,0.69348438,0.59500236,0.43392468,0.67367411,0.52107216,0.37217583,0.60948699,0.642171,0.82835005,0.61267265
53,18,2,0.40849734,0.7148166,0.62183296,0.76854153,0.71845031,0.44581508,0.53355599,0.43055155,0.43572009,0.61191898,0.39064522,0.60661121,0.49962048,0.49176099999999995,0.45453729,0.34280697,0.47105728,0.77298473,0.55694209,0.47887057,0.65638655,0.54750433,0.49646256,0.74784782,0.44696883,0.52962822,0.40073668,0.2915983,0.57053036,0.38195489,0.29636836,0.58104421,0.66499628,0.76233429,0.52555176
54,19,0,0.38839247,0.71738129,0.61084424,0.80400572,0.70213207,0.42342433,0.59307435,0.37792431,0.40780247,0.69549543,0.38152836,0.54258457,0.40357659999999995,0.60202751,0.42999265,0.52973794,0.60775478,0.73370028,0.48046901,0.45395891,0.69077323,0.57630258,0.49802506,0.74439078,0.40307243,0.50310195,0.37228312,0.29225879,0.56074714,0.39206132,0.34553332,0.50459341,0.68783643,0.74892512,0.49209739
55,19,1,0.42364603,0.83080353,0.67756208,0.78683834,0.76750456,0.56291428,0.78103943,0.52404698,0.51198051,0.76570176,0.59439475,0.53025624,0.52324181,0.74100874,0.52324594,0.54729164,0.74864044,0.79541016,0.47002201,0.66365659,0.72015705,0.69903276,0.64300444,0.69696662,0.4589602,0.66910971,0.62069778,0.40089992,0.70435965,0.50369105,0.55892548,0.51225214,0.70281041,0.7732981,0.54590631
56,19,2,0.51729637,0.8196445,0.69454628,0.74082524,0.74570267,0.61560499,0.82988223,0.59154475,0.5331734,0.69843549,0.75687096,0.49009125,0.6847352,0.76042413,0.57692559,0.42485479,0.72286178,0.77238104,0.45860142,0.74165685,0.71920714,0.73334246,0.68063928,0.71986104,0.51075351,0.76469247,0.70627063,0.40043551,0.73451724,0.53926374,0.601804,0.57414954,0.69050558,0.76486027,0.54752955
57,20,0,0.63584255,0.7165229000000001,0.64974266,0.69583616,0.64279077,0.56471183,0.62668307,0.55737345,0.49495829,0.55049505,0.86364675,0.43296617,0.73398172,0.77747528,0.60446786,0.31100905,0.5910375,0.66452415,0.41080257,0.75566025,0.71414097,0.70503696,0.56392766,0.76098119,0.49786072,0.77510834,0.71334276,0.38138436,0.70145588,0.49603554,0.51547975,0.57501364,0.67833457,0.71616804,0.56171864
