,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
11,2,0.95315469,0.78028255,0.72578727,0.97060698,0.7627597,0.97122496,0.81066966,0.95597065,0.84703112,0.99433924,0.96364452,0.79532758,0.89184075,0.78040971,0.55109143,0.96966714,0.91903428,0.67350797,1,0.91956037,0.86681448,0.64882115,0.80295774,0.66920052,0.71815213,0.8077918,0.76605347,0.85355164,0.71685315,0.84939048,0.85893733,0.75016426,0.82175155,0.82268306,0.86131141,0.79173152,0.65438688,0.85329182,0.89468861,0.88051109,0.81497101,0.86358733,0.87394084,0.86179821,0.66283297,0.96490054,0.89329376,0.90171341
12,0,0.91918472,0.75024558,0.72488057,0.93276053,0.70393356,0.89807635,0.73165756,0.94875371,0.81013915,0.99647228,0.90566156,0.78531524,0.75267487,0.75828025,0.53833785,0.92958125,0.79991997,0.73326132,0.99063456,0.87583625,0.82065392,0.6196194,0.76317036,0.61755531,0.65538863,0.76539735,0.67622574,0.8628132,0.67487413,0.77972867,0.72324151,0.65292378,0.79172616,0.80802486,0.85382415,0.71691634,0.64943587,0.82565115,0.8117075,0.78777029,0.81213759,0.75336639,0.7925524,0.84864416,0.6804151,0.81457536,0.8052778,0.83185577
12,1,0.88758077,0.70848144,0.7061324,0.88148559,0.66148004,0.77843118,0.66522843,0.94917824,0.71807662,0.92776372,0.81197027,0.7554959,0.66400029,0.73022035,0.49951541,0.84243021,0.6803388,0.77017733,0.91610283,0.8243071,0.77248288,0.57809027,0.69148992,0.55194999,0.58611721,0.70638452,0.57357549,0.84032085,0.65012587,0.71398938,0.57830079,0.55042707,0.7346105,0.78235612,0.81093164,0.59608949,0.65809086,0.81023616,0.74995687,0.72837686,0.77714813,0.65,0.68588524,0.83271551,0.69006544,0.68771997,0.66694184,0.72355298
12,2,0.85145382,0.703904,0.67671834,0.83596175,0.67358217,0.65906509,0.65112261,0.95627388,0.60641871,0.77608532,0.7180911,0.70174853,0.6196812,0.70531933,0.44317055,0.76426271,0.61894091,0.76219282,0.80408066,0.78384836,0.76846193,0.5509936,0.60481027,0.5059701,0.53574016,0.68102235,0.51997038,0.7740263,0.63288112,0.65941801,0.4966212,0.49523106,0.68207203,0.80140503,0.72169743,0.49258755,0.69807749,0.80150353,0.70467092,0.7275344,0.70987085,0.5954158,0.53232496,0.8185954,0.71703351,0.57257077,0.55209164,0.63897366
13,0,0.73395097,0.72204162,0.64242956,0.78802661,0.71321335,0.60407655,0.67327216,0.93844381,0.42484907,0.47607848,0.54897499,0.6092868,0.62506005,0.67903254,0.39291614,0.65962777,0.62508337,0.67221172,0.65736812,0.74578687,0.77352833,0.55852981,0.50613126,0.4750499,0.502868,0.66668046,0.50738171,0.72986852,0.5689021,0.58520448,0.43132745,0.46922908,0.65026178,0.82565523,0.72247861,0.3920428,0.74398753,0.75225909,0.63554516,0.7528082,0.61184106,0.56485734,0.43415341,0.78211004,0.80507634,0.44627008,0.42304053,0.59836331
13,1,0.6754371,0.67089979,0.60438725,0.789648,0.71884328,0.61327619,0.66151894,0.86494026,0.39320188,0.34724824,0.45032566,0.5582892,0.63302278,0.65863316,0.35506289,0.60926986,0.66493931,0.57389504,0.5680237,0.69346926,0.72589725,0.57364432,0.44333982,0.42763575,0.44599489,0.65256623,0.50420921,0.68500786,0.47458741,0.51805938,0.44464652,0.41312418,0.69621609,0.83409889,0.69814201,0.34230545,0.73851692,0.67022553,0.5703873,0.75470373,0.56098445,0.56310891,0.38453991,0.95047292,0.84599114,0.33330145,0.37127354,0.60286421
13,2,0.59582858,0.59430857,0.57254558,0.78300998,0.6641694,0.62200738,0.58475205,0.75917278,0.44797072,0.34002871,0.41823932,0.56074149,0.63935512,0.65578413,0.35234256,0.57250358,0.72288916,0.48216761,0.57889908,0.63544122,0.61667662,0.55868137,0.39934214,0.38472755,0.40022564,0.62926325,0.48783226,0.59729596,0.44145455,0.44522218,0.48688598,0.33898379,0.7500476,0.82815455,0.58107394,0.33922179,0.69937648,0.56981548,0.51107349,0.7443134,0.5459146,0.59366736,0.43273376,0.85521556,0.78875008,0.26222265,0.36465077,0.6317961
14,0,0.58648803,0.56696542,0.55216925,0.75142738,0.61350001,0.61356523,0.5271476,0.69628237,0.49130149,0.37676899,0.43049351,0.56037147,0.62048912,0.67349802,0.37435847,0.54347709,0.75276777,0.44786209,0.66493693,0.62000637,0.54604568,0.5079067,0.39298984,0.35923363,0.37405142,0.61064776,0.47916439,0.54777971,0.45547552,0.43745576,0.52697691,0.31057819,0.76342218,0.81572548,0.54778387,0.36124514,0.652019,0.54809781,0.52514448,0.73911823,0.54632973,0.62835769,0.49447005,0.78918694,0.74433208,0.27342196,0.38803451,0.6424772
14,1,0.57309008,0.57605955,0.48851516,0.76845898,0.56209179,0.58089305,0.47249121,0.69597914,0.50889938,0.44035004,0.46503278,0.55811507,0.57104593,0.70414873,0.4178396,0.54288654,0.74936641,0.49846071,0.74446674,0.62078687,0.48631726,0.47053722,0.38795853,0.35475157,0.37012054,0.59631623,0.47027828,0.48653767,0.48527972,0.46723358,0.54045645,0.30971857,0.76524671,0.78485544,0.64937266,0.3748249,0.59161966,0.55388412,0.58689511,0.7302724,0.53753295,0.67082463,0.52182251,0.67838287,0.73157512,0.30941086,0.40374733,0.64016708
14,2,0.59079247,0.64659476,0.41018816,0.82476441,0.52158879,0.51107346,0.43073018,0.72872824,0.49714885,0.49790114,0.49043881,0.54553435,0.51360361,0.74219315,0.45139761,0.58112026,0.68167267,0.67094248,0.82772362,0.65103536,0.45817058,0.45858875,0.38558497,0.35588703,0.37225818,0.63458195,0.46225739,0.47811957,0.51485315,0.49602831,0.54978158,0.33444481,0.74320165,0.7650635,0.77069513,0.37359922,0.55424584,0.54968487,0.64803114,0.70689413,0.52770822,0.69109255,0.49597146,0.69046977,0.76706987,0.32638676,0.40232817,0.63306623
