,,pid1263b-01,pid52932-16,pid610003b-05,pid9048b-05,pid9049b-01,pid9050b-01,pid9054b-01,pid9055b-01,pid9056-10,pid9058b-01,pid9059b-05,pid9060-30,pid9061-30,pid9062b-04,pid9063b-05,pid9064-12,pid9066b-01,pid9069-01,pid9070b-13,pid9072b-05,pid9073b-05,pid9074g-01,pid9075b-01,pid9085-03,pid9088-17,pid9093b-07,pid9094b-01,pid9099b-05,pid9101b-12,pid9104b-01,pid9111b-03,pid9112-09,pid9117-05,pid9118b-05,pid9120-09,pid9121-09,pid9134-07,pid9138b-01,pid9139b-01,pid9153b-01,pid9166j-01,pid9170b-01,pid9174b-01,pid917509-08,pid9192b-01
11,0,0.94059968,0.77686064,0.675305,0.95386161,0.85986654,0.64142003,0.79245018,0.65647534,0.69573033,0.76968288,0.73660043,0.8030303,0.8970778,0.70045136,0.90398045,0.99104891,0.84876177,0.69122486,0.86584877,0.88089758,0.71683134,0.69818119,0.65703758,0.85713277,0.8128655,0.89979449,0.92523699,0.88680979,0.9657477,0.6610065,0.81966588,0.96676018,0.8163521,0.72862854,0.65939436,0.80623156,0.69392938,0.8477852,0.63193099,0.80902954,0.59362502,0.71164206,0.99316761,0.60930979,0.79873808
11,1,0.98614263,0.80892785,0.65923724,0.94256461,0.83714649,0.63103395,0.8193236,0.64595155,0.64608986,0.71661962,0.74492914,0.75330688,0.86436433,0.68306212,0.85960196,0.9436081,0.78855947,0.71748934,0.87394756,0.84843005,0.68668357,0.70533461,0.6482928,0.80348694,0.75907793,0.90472667,0.93328564,0.89065241,0.94523345,0.6829996,0.76061484,0.92187367,0.79630355,0.69877672,0.71528857,0.73558337,0.75396355,0.82106492,0.60899635,0.77288234,0.61175015,0.70984637,1,0.59364366,0.79500968
11,2,1,0.80736142,0.64700279,0.89037811,0.78342072,0.60994329,0.82304238,0.63232108,0.60744666,0.63044994,0.7426332,0.68879269,0.79020873,0.66353486,0.80140538,0.90967532,0.74348099,0.73584052,0.85943389,0.8043975,0.63472939,0.69906013,0.63158929,0.72211335,0.67293622,0.88631319,0.91879807,0.87352769,0.90372227,0.68028113,0.67681745,0.86534047,0.77585559,0.6613243,0.74490217,0.66764417,0.8359795,0.7681432,0.58605089,0.72875082,0.6224906,0.68695132,0.97259776,0.56139647,0.78045458
12,0,0.90178282,0.68574791,0.62783625,0.78180385,0.598721,0.5810689,0.81104406,0.58942348,0.4591597,0.41552936,0.67113451,0.57878187,0.66166983,0.57389239,0.69064246,0.86931402,0.70653645,0.64853312,0.86248096,0.69219135,0.59007607,0.58672004,0.55337755,0.54386476,0.50378757,0.77450062,0.8137453,0.78386935,0.74959621,0.57370375,0.47754977,0.74261668,0.60037591,0.5719843,0.76441844,0.61836388,0.84432802,0.61289967,0.4367214,0.63185019,0.59940606,0.59367518,0.80520424,0.48116372,0.72825697
12,1,0.6815235,0.56243,0.56791498,0.65819572,0.43496981,0.49759186,0.79055571,0.53319347,0.34939844,0.41474348,0.53812841,0.53146344,0.66560152,0.46161064,0.61878492,0.83643909,0.69824904,0.46669278,0.85382086,0.56865034,0.50577074,0.42273083,0.41820192,0.49323799,0.37972256,0.65521578,0.71855661,0.64300393,0.42248213,0.42158202,0.36903654,0.64842302,0.42913306,0.50396189,0.69279324,0.64514081,0.61066059,0.51738764,0.3251545,0.59372868,0.51475945,0.47703013,0.62874691,0.38989567,0.65789059
12,2,0.51464344,0.49155913,0.5133305,0.56765776,0.4052987,0.4263808,0.74964917,0.46613016,0.31614813,0.46087775,0.36482464,0.48976671,0.66867552,0.35967455,0.59505063,0.83253316,0.71045692,0.36841647,0.83826477,0.4777659,0.442039,0.37232617,0.30594449,0.55564089,0.29291446,0.5561529,0.65283491,0.47252527,0.37923512,0.31304867,0.40042719,0.66704072,0.37308325,0.52385512,0.5983974,0.70268216,0.47259681,0.50500681,0.3159222,0.57042172,0.45011879,0.42389266,0.56982846,0.32743178,0.6152004
13,0,0.48361426,0.48174661,0.47223147,0.49882818,0.46478392,0.37528937,0.65536065,0.44737536,0.35441536,0.55839283,0.32050511,0.44277898,0.67311575,0.322568,0.56355622,0.82203597,0.7357098,0.45444415,0.82254831,0.47723163,0.40303401,0.38326516,0.30916728,0.66506003,0.36170271,0.53078504,0.58925058,0.36128978,0.47842755,0.32479777,0.58996872,0.68253847,0.41358759,0.67091183,0.46228493,0.73764864,0.43447608,0.58070562,0.38946673,0.60246062,0.42403484,0.42484537,0.64601686,0.27624398,0.57213021
13,1,0.54658023,0.49146173,0.43994675,0.54822823,0.55619638,0.34024703,0.58945411,0.4830049,0.41155184,0.63020643,0.35608424,0.40916306,0.68012144,0.33135764,0.55986383,0.8247213,0.77395187,0.59203447,0.80514794,0.52346704,0.38872956,0.39517884,0.37576026,0.74765184,0.47052904,0.57496095,0.55877303,0.3646479,0.55716142,0.38304602,0.71757571,0.74093344,0.46441381,0.74783951,0.42376364,0.77852481,0.48474943,0.67799468,0.47804487,0.67467518,0.46279945,0.45409517,0.73978776,0.25727929,0.54511364
13,2,0.58882496,0.49482185,0.42076873,0.5930274,0.58536702,0.3253554,0.54023997,0.5337552,0.45276812,0.6675743,0.40595361,0.4141835,0.66577609,0.35684761,0.55418122,0.82708113,0.82455528,0.70195874,0.75498356,0.55370705,0.38211069,0.37639022,0.41345615,0.72577684,0.52709778,0.57736128,0.54029691,0.36739621,0.5939107,0.39518631,0.77915936,0.76218652,0.48650638,0.78733871,0.40772785,0.77468932,0.53066059,0.72060445,0.54376414,0.70090731,0.50792912,0.46332302,0.77787469,0.24799358,0.53313974
14,0,0.58470016,0.46546547,0.40670944,0.56638334,0.56151096,0.31380409,0.49283609,0.53040777,0.46116881,0.64201671,0.44815137,0.42574555,0.60873624,0.3800095,0.53753492,0.80275043,0.86966167,0.75200662,0.65802261,0.54936709,0.36234152,0.36579932,0.43464014,0.64736935,0.57174623,0.55113029,0.52761581,0.37098822,0.60562517,0.391586,0.7923564,0.74797246,0.48758713,0.79355086,0.39203618,0.71500224,0.5344533,0.71217329,0.55708766,0.64773899,0.52473768,0.44326616,0.74400349,0.22701445,0.48948161
14,1,0.54793355,0.44639234,0.39010226,0.51459645,0.51095488,0.29734328,0.46672748,0.51090782,0.43816383,0.56666113,0.49095084,0.43626142,0.52731689,0.39174486,0.51138268,0.75112702,0.90253226,0.73960999,0.59135595,0.52104225,0.34405001,0.3678618,0.44327684,0.54067797,0.59047328,0.52683929,0.51261849,0.3816139,0.59959157,0.3955974,0.77694714,0.69909037,0.48158039,0.77568046,0.3824796,0.65157801,0.50585421,0.66528309,0.52972628,0.56052842,0.52063948,0.3978352,0.66399913,0.2111878,0.44596687
14,2,0.49487844,0.45519844,0.38373254,0.47045609,0.46866063,0.28891478,0.45210497,0.46864074,0.39825172,0.50134484,0.51842293,0.44287518,0.47210626,0.39766005,0.47822975,0.6884775,0.94007674,0.68042135,0.55657125,0.48656913,0.33832299,0.37008964,0.45099975,0.48426024,0.56451788,0.51062063,0.50600966,0.39847966,0.57297874,0.40398488,0.73029217,0.63594321,0.46439815,0.75883944,0.37830105,0.60419312,0.48716401,0.61125235,0.47721148,0.48888002,0.49506038,0.35406524,0.55155546,0.20782504,0.4096795
15,0,0.47115073,0.46762438,0.37996809,0.4362735,0.44723546,0.28160491,0.44381841,0.42022905,0.35766989,0.46443079,0.53698836,0.43454185,0.44567742,0.39871719,0.44619413,0.63629262,0.93816533,0.6196483,0.50230936,0.46200066,0.33169537,0.35776695,0.46252027,0.46887359,0.49592003,0.50715988,0.49813987,0.40535461,0.52809802,0.41271715,0.69206652,0.57283006,0.43422351,0.73394298,0.37364074,0.56211891,0.4847836,0.54801219,0.43048716,0.43981273,0.46720451,0.32085495,0.49415613,0.20430979,0.39108052
15,1,0.47657212,0.48367827,0.37610035,0.39938007,0.44037178,0.27218985,0.42017261,0.38950602,0.32398487,0.43882893,0.54332199,0.42089346,0.41185579,0.39343152,0.41311976,0.55357637,0.90823858,0.56947854,0.43782375,0.43493342,0.31852759,0.34502654,0.47425203,0.45676201,0.40731674,0.49010275,0.47955643,0.4002339,0.48174139,0.42407506,0.65785338,0.51038001,0.41232673,0.7075623,0.36137056,0.50316495,0.50005695,0.49474674,0.39783317,0.40725122,0.44279351,0.28066141,0.45921646,0.19730337,0.37925719
