,,pid5667203-03,pid58917-01,pid610003b-11,pid9048b-11,pid9050b-07,pid9054b-07,pid9055b-07,pid9058b-07,pid9059b-11,pid9062b-10,pid9063b-11,pid9064-18,pid9065-23,pid9068-16,pid9072b-11,pid9073b-11,pid9079-06,pid9081-07,pid9085-21,pid9090-18,pid9093b-13,pid9094b-07,pid9099b-11,pid9101c-01,pid9111b-09,pid9115-09,pid9118b-11,pid9133-07,pid9138b-07,pid9139b-07,pid9149-12,pid9153b-07,pid9157-10,pid9158-09,pid9174b-07,pid917506-05,pid9179-09,pid918807-12,pid918821-09,pid918824-05,pid9192b-07
11,1,0.19861701,0.18795937,0.44623838,0.14743815,0.33858664,0.3599496,0.27730976,0.20865812,0.22848146,0.31418999,0.19181887,0.33436673,0.27248383,0.36511247,0.24308691,0.36670658,0.22028272,0.29054206,0.23327794,0.30814303,0.24747503,0.24080364,0.3020901,0.22816372,0.50082242,0.27105894,0.49364461,0.41145992,0.30426036,0.33392084,0.16474295,0.24740871,0.33186327,0.39416163,0.44487095,0.19861594,0.19289768,0.30347479,0.29251892,0.22779176,0.40430475
11,2,0.17968681,0.18790982,0.37304202,0.13398597,0.26736689,0.35323974,0.25222872,0.21011111,0.21638383,0.29678442,0.19216604,0.33746691,0.28903976,0.36089677,0.25923549,0.32505202,0.22453329,0.30636413,0.24059696,0.29805295,0.2473414,0.218866,0.31228951,0.23885225,0.45456723,0.27208791,0.53132927,0.42960768,0.32162039,0.33562961,0.16382276,0.23185218,0.34539589,0.39339879,0.42449537,0.19839776,0.18897411,0.30421452,0.2856257,0.2323592,0.40097317
12,0,0.1711986,0.18832274,0.31631949,0.13690824,0.21974831,0.35142549,0.24149036,0.19137607,0.20904479,0.27502746,0.19291321,0.31994193,0.29596213,0.3394682,0.26494771,0.29263983,0.21069136,0.31259026,0.22327993,0.29148394,0.24014629,0.1925297,0.31698671,0.23234913,0.38677739,0.24366633,0.51977156,0.41649506,0.30650888,0.33194338,0.14733947,0.22,0.33895581,0.37755287,0.39225678,0.19744324,0.17423302,0.30567452,0.24782574,0.23260112,0.38335087
12,1,0.19105078,0.16599224,0.27882921,0.15289305,0.18635044,0.34648668,0.19122163,0.15798291,0.20945591,0.23904853,0.18510943,0.27606969,0.2438832,0.28073142,0.24052651,0.24861365,0.19176589,0.27037132,0.19272751,0.2784369,0.19302996,0.15775798,0.28923929,0.1965666,0.29184765,0.18262737,0.33064286,0.32720437,0.26144743,0.29796129,0.12484497,0.19714034,0.30191027,0.32215257,0.33313203,0.19345469,0.13874357,0.30708585,0.19258335,0.21594736,0.2769858
12,2,0.22643056,0.11706995,0.23122476,0.18087863,0.13486931,0.35635709,0.13008659,0.18920513,0.20763646,0.20297229,0.17796981,0.23879067,0.16927043,0.2327052,0.18528669,0.16702512,0.18239502,0.22622677,0.202792,0.25105086,0.12364608,0.15305308,0.25111521,0.19095728,0.17850527,0.16087912,0.35995768,0.19180029,0.26592626,0.25933648,0.11762352,0.15895293,0.25055882,0.24232628,0.24670748,0.19309334,0.12192986,0.30776718,0.17899018,0.17877879,0.17187445
13,0,0.23972633,0.10314642,0.21072277,0.22211183,0.11543078,0.36054716,0.17396775,0.2621453,0.21339223,0.19198955,0.17852075,0.26280639,0.19302651,0.2905184,0.16044717,0.14981922,0.18755206,0.20539812,0.25078774,0.24374488,0.10612604,0.17259651,0.2498449,0.24771621,0.22898435,0.18061938,0.37515091,0.20222928,0.33485662,0.25173833,0.13726745,0.13684998,0.2254389,0.2307855,0.16556089,0.18944569,0.13691479,0.30776718,0.24011113,0.17966905,0.17168157
13,1,0.2461803,0.10537617,0.20538109,0.25760764,0.11000968,0.3649892,0.20512711,0.29737607,0.21861442,0.18925081,0.18566792,0.2859766,0.23438299,0.33172203,0.16432744,0.1413674,0.18918124,0.2025739,0.27717211,0.25079611,0.11184414,0.19003341,0.264387,0.27239105,0.25451932,0.1974026,0.38684428,0.2196862,0.38637233,0.26236714,0.15325065,0.12846458,0.22679217,0.24457704,0.1600182,0.18617304,0.1468678,0.30776718,0.28414398,0.19326495,0.19384534
13,2,0.23956534,0.10932364,0.20532636,0.27382622,0.11210068,0.37833693,0.22235967,0.30888889,0.23043212,0.19721678,0.19744906,0.30163976,0.24719438,0.36164159,0.16051208,0.13994908,0.18794404,0.205013,0.30090407,0.26073151,0.12213391,0.19793987,0.27975628,0.29296678,0.2912488,0.19925075,0.38908257,0.23129758,0.44534365,0.27702608,0.16583317,0.12659041,0.2274688,0.25228852,0.17223693,0.18567533,0.14855249,0.30843878,0.30394589,0.20127734,0.20933719
14,0,0.21863018,0.11522834,0.19729194,0.25055523,0.1145789,0.39266379,0.22087741,0.30435043,0.25008747,0.22243539,0.21018868,0.31287044,0.24918332,0.38348726,0.14758024,0.14026297,0.18745406,0.21494592,0.33308516,0.27725412,0.13337319,0.2001392,0.30483752,0.3108303,0.33400671,0.19331668,0.40099299,0.23667814,0.49437415,0.29056734,0.16620324,0.13136824,0.2210408,0.25154079,0.19142952,0.18567533,0.14285556,0.30843878,0.30065228,0.19833559,0.22555672
14,1,0.1883726,0.12365183,0.18892915,0.20996493,0.11469506,0.41652988,0.21493772,0.30673504,0.2793387,0.25131028,0.23087547,0.32791015,0.25718349,0.40931774,0.1292463,0.13808898,0.19584497,0.23238872,0.36627667,0.30845237,0.14276973,0.19665924,0.34888479,0.32990199,0.36997764,0.18198801,0.43216626,0.2407833,0.53366409,0.29468345,0.16044209,0.14695996,0.21371869,0.2448565,0.21224355,0.18516397,0.12966616,0.30843878,0.28793687,0.18313335,0.24493249
