,measure_number,beat_number,pid1263-04,pid52932-04,pid9048-04,pid9050-04,pid9054-04,pid9055-04,pid9058-04,pid9059-04,pid9061-04,pid9062-04,pid9063-04,pid9066-04,pid9067-04,pid9070-12,pid9072-04,pid9073-06,pid9074f-04,pid9075-04,pid9088-04,pid9093-04,pid9094-04,pid9097-11,pid9099-04,pid9101-04,pid9104-04,pid9105-04,pid9111-04,pid9114-31,pid9118-04,pid9138-04,pid9139-04,pid9150-18,pid9153-04,pid9166c-06,pid9170-04,pid9173-09,pid9174-04,pid9186c-04,pid9192-04
38,14,1,0.58746408,0.43930131,0.55552129,0.56117754,0.48339868,0.63807847,0.66372779,0.46589315,0.65454278,0.39264459,0.59072428,0.58872673,0.75666579,0.36979007,0.32248448,0.6066178000000001,0.54589591,0.67603567,0.38546568,0.69382129,0.47815011,0.88235894,0.61208944,0.43576609,0.44145747,0.45824633,0.43487448,0.67418339,0.75447989,0.78381675,0.84041883,0.7888427,0.55050697,0.85141238,0.78631267,0.6221605,0.63101773,0.81361611,0.5837359000000001
39,14,2,0.7514086999999999,0.52732897,0.77806903,0.65230728,0.45054128,0.94467807,1.0,0.41860916,0.6693387,0.53839842,0.75068636,0.92710096,0.80049699,0.36979007,0.45585102,0.69200243,0.56288852,0.64403432,0.64390434,0.8376109,0.58744598,0.96553322,0.79977732,0.47785038,0.46980314,0.65913154,0.35118899,0.67619588,0.76002643,0.77683654,0.82444191,0.80070579,0.71933619,0.96210481,0.87025819,0.86178951,0.80808962,0.73748789,0.70592867
40,15,0,0.74499024,0.76928675,0.7273633,0.54868443,0.59904032,0.68627767,0.66484525,0.3950679,0.73890306,0.58574394,0.56752517,0.74887197,0.72831982,0.36979007,0.40213809,0.61976585,0.75859839,0.48779208,0.68658371,0.53319867,0.61045618,0.8786620999999999,0.61371312,0.57480562,0.58594907,0.71504482,0.41802253,0.58878167,0.89454706,0.89217945,0.80227325,0.93902156,0.6431955,0.82133408,0.85728401,1.0,0.78796005,0.88623862,0.67123495
41,15,1,0.73204135,0.66125182,0.72987783,0.82514109,0.58932647,0.82980885,0.66573716,0.41951201,0.78333987,0.71154721,0.48715518,0.61704033,0.70979161,0.36979007,0.4318032,0.77539578,0.87364445,0.42865448,0.62698814,0.54294202,0.5926751,0.83705179,0.47067174,0.62586736,0.52578111,0.57271102,0.44487227,0.56576707,0.76085221,0.90769856,0.62476919,0.87980277,0.60826204,0.70321227,0.79907205,0.59443508,0.8123639,0.82709665,0.59674415
42,15,2,0.70809648,0.68226346,0.83434942,0.647587,0.73234244,0.8699496999999999,0.63668331,0.45104462,0.80727041,1.0,0.73277553,1.0,1.0,0.36979007,0.36514675,0.69075965,0.75486637,0.50203183,0.94523624,0.77935678,0.69559702,0.97424256,0.67171089,0.85592943,0.70367528,0.77160826,0.76875506,0.44644202,0.91098021,1.0,0.83818538,0.79444068,0.67874683,0.70989337,0.76118056,0.56933836,0.77730586,0.84510943,0.92867419
43,16,0,0.65870163,0.72663755,1.0,0.78833182,0.66902686,1.0,0.67355935,0.5009327,0.87716837,0.9215916999999999,0.827886,0.98265651,0.89859622,0.36979007,0.49512606,0.79694672,0.69589137,0.50347105,0.89279603,0.79832066,0.75898594,0.93644029,0.69128781,0.79973865,0.76206429,0.9945111999999999,0.76823971,0.45459518,0.78767651,0.99179995,0.80167619,0.98772116,0.79051806,0.83059408,0.8038407,0.62849916,0.8358769,0.89971916,0.8626485999999999
44,16,1,0.67796947,0.70962882,0.64947219,0.71961225,0.57413541,0.84935614,0.6227715,0.46076705,0.82257653,0.79688581,0.81978036,0.74153976,0.5543901,0.36979007,0.5726799,0.74661413,0.56371659,0.47209053,0.63139218,0.60977503,0.65794115,0.83500417,0.7303303000000001,0.79431558,0.73021492,0.67653568,0.76801885,0.31714743,0.83444356,0.96123611,0.72167,0.89969061,0.83475919,0.67846549,0.71650127,0.71458189,0.70695582,0.84224288,0.81721814
45,16,2,0.65627604,0.73901019,0.55221207,0.68508123,0.59746035,0.7262173000000001,0.51779215,0.50720042,0.65867347,0.87794365,0.6606746,0.69748308,0.49715756,0.36979007,0.41138018,0.79656541,0.57958619,0.44824472,0.74496403,0.52669518,0.56582815,0.82935236,0.82993134,0.95511271,0.6426043,0.66505795,0.71889862,0.33715878,0.92817033,0.94781784,0.78321153,0.71200812,0.82794677,0.56706486,0.48773467,0.76449757,0.61502745,0.82294209,1.0
46,17,0,0.46255271,0.62257642,0.42497924,0.59861221,0.49952016,0.49754527,0.39661483,0.52995822,0.55822214,0.83006426,0.57708197,0.70293993,0.3766065,0.38455062,0.29844433,0.67528139,0.46804528,0.44042217,0.54700564,0.49717205,0.49438411,0.59408876,0.84383002,0.72714799,0.54744446,0.65923157,0.55350806,0.31985655,0.79307165,0.78110599,0.75524916,0.59425699,0.9866128000000001,0.65592346,0.59028225,0.39387958,0.55782417,0.69396669,0.72909821
47,17,1,0.33288968,0.51131004,0.28222038,0.50218146,0.63567207,0.33874245,0.28032765,0.54473213,0.56383438,0.49548196,0.5655772,0.62041032,0.33648967,0.38455062,0.31123458,0.56426443,0.3159853,0.38399368,0.48180051,0.37472275,0.36669864,0.45076438,0.71003897,0.5926756,0.33905545,0.58967755,0.50094972,0.10899943,0.7645132,0.61035511,0.58949836,0.61980083,0.83547212,0.60413159,0.36331572,0.40774725,0.45228111,0.55732132,0.43273264
48,17,2,0.32846143,0.78915575,0.22401849999999998,0.46388314,0.45138393,0.38685111,0.3126006,0.56180421,0.62850275,0.61239743,0.82128383,0.33174704,0.28110559,0.42980538,0.28381485,0.5660015,0.35302192,0.37382887,0.34098775,0.31031369,0.40610786,0.47515056,0.5757005000000001,0.41023195,0.32094997,0.40045761,0.38448796,0.27533412,0.81192711,0.68046896,0.66533618,0.62006188,0.75750158,0.71558567,0.27726941,0.32886618,0.61270584,0.33096068,0.430976
49,18,0,0.36387496,0.59752547,0.22895267,0.5271378999999999,0.46483703,0.41017103,0.22119476,0.51649754,0.83647959,0.58955017,1.0,0.32765087,0.49258872,0.50775749,0.23255422,0.62551371,0.39584373,0.32232193,0.49660704,0.32206115,0.36487309,0.65510979,0.52998701,0.38541653,0.30139064,0.63940186,0.44649194,0.38140771,0.66438658,0.92226891,0.56451024,0.80340327,0.62977662,0.80332184,0.29681230000000003,0.29173693,0.70807163,0.42724191,0.28481109
50,18,1,0.47434478,0.69899563,0.30614399,0.66712331,0.81754345,0.55647887,0.38664999,0.48595732,0.91370683,0.5120613,0.82514054,0.35301043,0.45255035,0.50986223,0.43476895,0.63878885,0.66482145,0.31749633,0.49280576,0.37623574,0.34447229,0.67696655,0.56852848,0.42226723,0.60338631,0.56610945,0.44967238,0.74740699,0.49532054,0.89705882,0.42548345,0.90072513,0.82454056,0.73570913,0.54547407,0.41349073,0.76365518,0.6878559,0.45280533
51,18,2,0.43230132,0.60482533,0.19800735,0.54055422,0.74691322,0.47529175,0.31668085,0.39745559999999996,0.86598312,0.6314088000000001,0.70617074,0.49026368,0.50626907,0.50986223,0.45034869,0.49945628,0.6423953,0.34720059,0.70288742,0.31299113,0.54061079,0.77917169,0.56346261,0.34086900000000003,0.60628499,0.50033133,0.44967238,0.74446566,0.5252965999999999,0.68351857,0.50504738,0.78192981,0.67495247,0.72693017,0.36422649,0.21153655,0.61826689,0.49070308,0.44954191
