,,pid1263b-16,pid5667250b-05,pid5667269b-33,pid9048b-29,pid9050b-18,pid9054b-18,pid9055b-16,pid9058b-16,pid9059b-20,pid9061b-13,pid9062b-19,pid9063b-22,pid9066b-16,pid9068-22,pid9069-16,pid9072b-20,pid9074g-16,pid9075b-16,pid9085-09,pid9085-17,pid9086-12,pid9094b-21,pid9097-25,pid9099b-22,pid9103-22,pid9104b-16,pid9114-26,pid9116-05,pid9118b-22,pid9124-16,pid9127-01,pid9130-12,pid9139b-18,pid9153b-18,pid9166l-15,pid9170b-18,pid9173-02,pid9174b-16,pid9185-06,pid918812-16,pid918904-13,pid9192b-18
12,0,0.74414899,0.24992999,0.33583092,0.80174698,0.86288033,0.62595229,0.57924661,0.858556,0.49517709,0.39639775,0.41853612,0.52904899,0.63752909,0.47405352,0.80354108,0.80047338,0.66323088,0.72649231,0.66335941,0.72747538,0.63029466,0.71629169,0.84979455,0.85259783,0.44011925,0.50807837,0.20525545,0.1689476,0.7060592,0.58179776,0.70774079,0.822394,0.6150423,0.34294861,0.69363628,0.69477884,0.82069873,0.40908226,0.37440882,0.61127723,0.67035098,0.50983699
12,1,0.75469397,0.27306961,0.34392053,0.78119236,0.83407394,0.62932434,0.58399148,0.71877961,0.52956586,0.42914355,0.45518513,0.50284342,0.59420093,0.489731,0.74403211,0.8319907,0.65082141,0.71943834,0.69486432,0.72684946,0.62167587,0.73843612,0.81182468,0.8662701,0.47964225,0.46172007,0.20946566,0.22044783,0.69215013,0.52835202,0.69645892,0.83282815,0.60440605,0.39361384,0.70783857,0.7317693,0.74271325,0.44346327,0.36645613,0.55471035,0.62283627,0.51087288
12,2,0.76738676,0.28187137,0.33595882,0.78655628,0.86726224,0.61234545,0.63916226,0.63454614,0.57843153,0.45054933,0.51768188,0.51138329,0.60123157,0.54824224,0.73612842,0.87932896,0.63493199,0.75351035,0.73752289,0.76391009,0.63400552,0.77408485,0.82476031,0.87706107,0.54605622,0.47012768,0.2134854,0.30355575,0.71653231,0.47886054,0.67827904,0.82220244,0.60519137,0.49248295,0.72469404,0.77575022,0.65071688,0.46908776,0.38351625,0.50295732,0.58376317,0.51206135
13,0,0.76801031,0.28058112,0.32328615,0.79082833,0.89076097,0.596859,0.66051935,0.60995831,0.58806104,0.46342064,0.55588877,0.52951009,0.61976338,0.59066325,0.74489141,0.90590483,0.60961844,0.76169561,0.75504412,0.77111358,0.6273849,0.79797304,0.82179273,0.87187471,0.5819506,0.48790653,0.21515092,0.34625168,0.74530858,0.43650254,0.66818697,0.80376801,0.60013502,0.55771661,0.73278362,0.79352992,0.58112523,0.48359737,0.4028457,0.4563303,0.55881973,0.49678792
13,1,0.75418127,0.27774055,0.31995012,0.7600123,0.88759798,0.57820657,0.65444095,0.58112564,0.55867472,0.47314373,0.55970556,0.53238232,0.62026765,0.61296613,0.75632672,0.91919276,0.57112701,0.74965063,0.74017813,0.76207627,0.57827808,0.78419341,0.80200883,0.85293243,0.59521295,0.4832972,0.21603986,0.38617107,0.76645302,0.38571406,0.63063031,0.77773897,0.56731697,0.57699983,0.70889204,0.77869905,0.48844828,0.47953637,0.41223428,0.40406795,0.5399457,0.46015418
13,2,0.68072665,0.28524205,0.32773064,0.65469502,0.83373449,0.51064069,0.59282997,0.54060072,0.48804472,0.49463517,0.44465649,0.51223823,0.59133049,0.60764304,0.76895184,0.90125405,0.51386681,0.74139882,0.66442484,0.740356,0.46223757,0.70622247,0.76419114,0.81709267,0.55931005,0.44079338,0.21793983,0.42237349,0.78937051,0.31684672,0.54206091,0.72463295,0.50967182,0.54297356,0.64292682,0.70663487,0.31852087,0.4461283,0.41206358,0.33103868,0.50026501,0.40432024
14,0,0.56588191,0.3125175,0.34461332,0.48122628,0.72086959,0.42323592,0.49587537,0.48089824,0.41307328,0.53851755,0.37019006,0.46262248,0.52564973,0.5901224,0.76663834,0.84486338,0.46569511,0.74532508,0.55840686,0.75097456,0.37860958,0.61385567,0.70617105,0.76745051,0.49260647,0.36355898,0.22869005,0.45914017,0.80367605,0.24778957,0.48699717,0.64456263,0.44446281,0.48573923,0.50779695,0.60491761,0.15981851,0.39309207,0.41112974,0.2617389,0.45934329,0.40216815
14,1,0.52275971,0.35522605,0.36103769,0.42844574,0.65399926,0.42479081,0.46451166,0.50230244,0.398425,0.58619065,0.39257153,0.40011527,0.43659814,0.58609451,0.74470255,0.79214351,0.44239534,0.75144739,0.53604961,0.79587556,0.37221915,0.58288756,0.62759854,0.74231806,0.49274276,0.32951096,0.25680375,0.49903269,0.80584556,0.26275248,0.50315864,0.55799069,0.4372985,0.49965907,0.48209757,0.5698699,0.18816697,0.36878953,0.41806826,0.27779056,0.45955659,0.49103027
14,2,0.58062549,0.39685937,0.38305764,0.48840291,0.69933037,0.51769077,0.48941449,0.56221338,0.47223764,0.62719251,0.50211611,0.39669549,0.47004461,0.59260603,0.72396601,0.72321236,0.45751634,0.7866507,0.62552855,0.87597044,0.4445488,0.65566656,0.61110181,0.76000558,0.55851789,0.40071469,0.29576048,0.51819973,0.8130589,0.32224032,0.63194051,0.57612088,0.51596815,0.532463,0.49311345,0.65457069,0.39459165,0.40405888,0.42988683,0.34007492,0.60757546,0.63147033
15,0,0.65453739,0.42840568,0.40649514,0.57081222,0.74600383,0.62111902,0.52368301,0.63453667,0.57046679,0.66061294,0.61085579,0.41275696,0.58591932,0.59237119,0.73521246,0.72995598,0.45010599,0.84880548,0.73644082,0.95438523,0.53303867,0.72864223,0.60649825,0.79177433,0.62296422,0.52086244,0.34355768,0.51605016,0.8410863,0.37628711,0.74334278,0.69031066,0.61950621,0.53748545,0.48923773,0.76157849,0.59082577,0.54296834,0.42718573,0.39412808,0.72309482,0.74238336
