,,pid1263b-04,pid52932-19,pid9048b-08,pid9049b-04,pid9054b-04,pid9055b-04,pid9058b-04,pid9059b-08,pid9060b-02,pid9062b-07,pid9063b-08,pid9064-15,pid9066b-04,pid9069-04,pid9070b-16,pid9072b-08,pid9074g-04,pid9075b-04,pid9076-14,pid9077-02,pid9093b-10,pid9094b-04,pid9099b-08,pid9101b-15,pid9104b-04,pid9111b-06,pid9118b-08,pid9119-09,pid9139b-04,pid9158-10,pid9166k-05,pid9170b-04,pid9174b-04,pid9192b-04
12,1,0.74664442,0.86570913,0.70212555,0.96196592,0.81328283,0.70148368,0.99166667,0.63670712,0.91962071,0.65079975,0.91347477,0.53867495,0.87384244,0.75735767,0.87959796,0.77536445,0.79053107,0.73406717,0.91859157,0.91684761,0.72593246,0.69974805,0.94203719,0.76108389,0.86369811,0.90732813,0.84765578,0.65855623,0.50982471,0.70287685,0.7705519,0.66495903,0.92128763,0.93786705
12,2,0.79697817,0.88109254,0.7197358,0.99382564,0.80142971,0.77147626,1,0.68300824,0.97133479,0.63289788,0.97016871,0.52129321,0.85843849,0.79988274,0.85583045,0.81254602,0.8649743,0.76327475,0.96098363,0.96190843,0.73521735,0.70290962,0.96426839,0.7711252,0.8789434,0.91699933,0.83716086,0.69088295,0.52866634,0.73073418,0.81479553,0.66340887,0.95923952,0.96986978
13,0,0.83613567,0.87881642,0.72301351,1,0.79544205,0.82113316,0.97798246,0.74136685,0.98993435,0.6090477,0.98935631,0.48564281,0.83754462,0.82818679,0.81483536,0.83934619,0.89339667,0.78185002,0.99380492,0.99494525,0.73535843,0.6892474,0.97178658,0.77724608,0.86649057,0.90566966,0.81271752,0.71688237,0.5337655,0.7438818,0.83332823,0.6553259,0.95592683,0.98144523
13,1,0.84268447,0.84381132,0.70094358,0.97464395,0.81291623,0.8327615,0.93157895,0.8089149,0.97957695,0.61922245,0.97234089,0.43924348,0.78830627,0.81801251,0.77372203,0.85451333,0.8815605,0.79498405,1,1,0.73509391,0.64758615,0.9734034,0.78357836,0.81441509,0.8708032,0.79477807,0.73822261,0.52591987,0.7270893,0.82310716,0.65212224,0.90436411,0.96995489
13,2,0.83506224,0.80935562,0.68291617,0.93809171,0.83619478,0.83628524,0.88114035,0.85674036,0.95908096,0.64529258,0.95655637,0.4134627,0.77545624,0.7961924,0.76810078,0.86997497,0.8565644,0.81036963,0.99624502,0.99619435,0.7383035,0.63321684,0.97833468,0.79328337,0.78392453,0.85082441,0.7937568,0.75064711,0.52341573,0.7128352,0.81033338,0.65959991,0.83234913,0.95233637
14,0,0.82320945,0.76876226,0.66024037,0.9181691,0.86876031,0.84740356,0.84996491,0.89741367,0.90948213,0.71375512,0.90739266,0.40755003,0.77040873,0.75550676,0.7826087,0.88337506,0.82183461,0.83219714,0.98438587,0.98569961,0.75732299,0.64201073,0.98641876,0.81310656,0.7565283,0.83292836,0.80640176,0.76134599,0.52791914,0.69851601,0.80072497,0.67727172,0.74016996,0.92910035
14,1,0.81532564,0.72834157,0.65663488,0.90400922,0.894605,0.8620549,0.84664912,0.91988152,0.8706054,0.78863559,0.87423069,0.44802153,0.79722488,0.71563736,0.79390577,0.90170814,0.79286715,0.85452499,0.97429673,0.9771544,0.7816242,0.67883615,0.99272433,0.84427789,0.74557736,0.81819497,0.82837255,0.77532355,0.54625591,0.68732101,0.80661663,0.69643463,0.69943108,0.90875819
14,2,0.81353058,0.70547838,0.68365117,0.89989298,0.91091831,0.87454562,0.86588596,0.93440254,0.84762947,0.84023509,0.85598436,0.49577774,0.83989744,0.67103145,0.78925778,0.92733029,0.76590095,0.87128651,0.96939124,0.97500642,0.80685125,0.73256664,0.99135004,0.87212453,0.75524528,0.81374024,0.85207681,0.78889848,0.58235389,0.68393647,0.82679328,0.71312468,0.6783667,0.90799217
15,0,0.82068375,0.69628758,0.71995431,0.89890508,0.91372884,0.88622033,0.89429825,0.94812888,0.8512035,0.87948258,0.86293534,0.54040327,0.8776331,0.63232319,0.78490995,0.95111177,0.75517053,0.88829821,0.97178077,0.97979267,0.83431796,0.77401658,0.98245756,0.89726146,0.77592453,0.81426092,0.87391322,0.80281852,0.61287815,0.68771153,0.85325982,0.72236658,0.68520092,0.91395012
15,1,0.83404294,0.69425477,0.7720004,0.90112785,0.90572493,0.89885015,0.92429825,0.96496171,0.87162655,0.90842725,0.88458475,0.58081413,0.94889146,0.60844523,0.79282336,0.97393609,0.74554587,0.90756145,0.97817814,0.98858304,0.86181995,0.80750163,0.96483428,0.92577112,0.81486792,0.82272683,0.89185267,0.82099511,0.64326104,0.70027337,0.89298004,0.72531188,0.71134956,0.9182058
15,2,0.84281977,0.69719017,0.80947557,0.90952499,0.89136677,0.91046921,0.94587719,0.97998844,0.90875274,0.92190346,0.91224386,0.61168132,0.97949827,0.60136347,0.81259778,0.99219555,0.73476873,0.91888173,0.98208483,0.99460671,0.88210916,0.8289987,0.94042037,0.94911118,0.8634717,0.83403722,0.90035879,0.83980443,0.66475827,0.71888831,0.93502834,0.7213479,0.75615728,0.91582262
16,0,0.85022551,0.70558041,0.84025626,0.92352021,0.86998228,0.92321958,0.95429825,0.99263112,0.94442013,0.92048042,0.95069148,0.64103244,0.99863255,0.60655983,0.83487357,0.99462524,0.7241629,0.92613672,0.97748277,0.99148981,0.89921524,0.84037711,0.91721908,0.96944364,0.9130566,0.85008196,0.90132631,0.85050331,0.67856133,0.74674564,0.97326798,0.71160405,0.82709204,0.90841774
16,1,0.86590294,0.72593203,0.87111641,0.92195604,0.85171381,0.94519659,0.94131579,0.99992776,0.98227571,0.89987477,0.99218015,0.65930867,1,0.62187299,0.87449518,0.97305257,0.71665628,0.92732504,0.95820216,0.97359389,0.91649766,0.83403771,0.88156831,0.9911598,0.97109434,0.85515379,0.88526815,0.85142364,0.68773981,0.77011195,1,0.68505204,0.92812905,0.87420206
16,2,0.8649107,0.73832509,0.87225864,0.91199473,0.85806806,0.94352745,0.91701754,0.99992776,1,0.8730362,1,0.66277289,0.9817606,0.63021935,0.89143169,0.95346783,0.71105747,0.92419789,0.93850433,0.95242932,0.9250507,0.81542588,0.86790622,0.99855866,0.99049057,0.83097098,0.87130629,0.84411849,0.68486207,0.77629524,0.99828458,0.66179228,0.96176005,0.8411269
17,0,0.84799747,0.74938388,0.86013111,0.9012925,0.87364819,0.92206046,0.88754386,1,0.99635303,0.83590904,0.99855188,0.66429654,0.95574883,0.62835694,0.87573222,0.92534236,0.7023283,0.9191319,0.91342057,0.92585977,0.94162772,0.79427828,0.85012126,1,1,0.8020538,0.85350122,0.82709232,0.66802981,0.77863838,0.97906775,0.63385251,0.98019588,0.79501234
17,1,0.82785495,0.74945452,0.83973977,0.89347164,0.89216106,0.89622589,0.85477193,0.99711024,0.98694384,0.79044285,0.99246977,0.66457702,0.9117792,0.61285984,0.83162634,0.90516861,0.69896434,0.91062606,0.88260952,0.8938269,0.96622873,0.77276495,0.83775263,0.98683578,0.99479245,0.76914473,0.83413736,0.80224331,0.64122137,0.77746681,0.94294175,0.60943382,0.99251044,0.74307601
17,2,0.81893379,0.73258771,0.81869289,0.88392196,0.89992057,0.85494251,0.81168421,0.98598468,0.9598833,0.75027038,0.98508435,0.6603775,0.86791011,0.57777292,0.78831181,0.88374319,0.69742252,0.89699168,0.85203869,0.85732297,0.98342298,0.76794538,0.82530315,0.96319785,0.97675472,0.72779867,0.80782617,0.77100949,0.60998021,0.77069773,0.89983152,0.59230826,0.99819963,0.70650268
18,0,0.81694931,0.70137352,0.79665276,0.86465794,0.89429951,0.81823999,0.78025439,0.96337235,0.92611233,0.69411714,0.97784375,0.65354002,0.83502086,0.54547963,0.74029471,0.86172876,0.69415979,0.87278754,0.83125356,0.83300647,0.98633277,0.76811606,0.80953921,0.92260017,0.94981132,0.68510269,0.78025182,0.72758125,0.5781635,0.75722468,0.85582274,0.58053444,1,0.68204954
18,1,0.80930002,0.65574916,0.78149583,0.82983453,0.86436121,0.77219028,0.74813158,0.91041757,0.89533187,0.62512807,0.96828615,0.63710582,0.78490775,0.50201186,0.69518828,0.83883081,0.68191092,0.83119645,0.80098616,0.80196587,0.96666961,0.76972529,0.78202102,0.84154896,0.91516981,0.61496481,0.74689923,0.65401208,0.54193425,0.72617808,0.79634451,0.56071455,0.99560709,0.64431015
18,2,0.79370377,0.58701829,0.76233611,0.79035153,0.80778396,0.69365727,0.72800877,0.8579685,0.88395332,0.56437842,0.95366013,0.61381898,0.72653964,0.43642509,0.65493906,0.81409218,0.65696932,0.79473388,0.76118592,0.75983517,0.92928313,0.76343466,0.74773646,0.76043048,0.8829434,0.5660592,0.71341226,0.59557089,0.51127873,0.69259307,0.75791086,0.54271794,0.98098805,0.59442506
19,0,0.76501894,0.52504513,0.73246921,0.75209517,0.74081994,0.6048776,0.71696491,0.79417714,0.88482859,0.53617372,0.93621027,0.5779715,0.69468604,0.3689874,0.60137348,0.79082609,0.61349478,0.761461,0.70335672,0.70381266,0.8645093,0.741263,0.69991108,0.64236572,0.83743396,0.49166908,0.66681,0.52988208,0.47880569,0.64431789,0.72157043,0.51632096,0.9514619,0.52572134
