,measure_number,beat_number,pid1263b-02,pid52932-17,pid610003b-06,pid9048b-06,pid9050b-02,pid9054b-02,pid9055b-02,pid9058b-02,pid9059b-06,pid9060-31,pid9063b-06,pid9064-13,pid9065-20,pid9066b-02,pid9069-02,pid9072b-06,pid9073b-06,pid9075b-02,pid9085-04,pid9088-18,pid9090-15,pid9093b-08,pid9094b-02,pid9097-20,pid9098-16,pid9099b-06,pid9101b-13,pid9104b-02,pid9111b-04,pid9118b-06,pid9121-10,pid9134-08,pid9138b-02,pid9139b-02,pid9153b-02,pid915406-14,pid9166j-02,pid9170b-02,pid9174b-02,pid9192b-02
189,64,0,0.343921,0.50977479,0.53003051,0.32321261,0.4369298,0.62154884,0.55195388,0.49870023,0.4957729,0.28655274,0.69571262,0.39448746,0.46496841,0.84375812,0.6586113,0.29798955,0.42784733,0.41520405,0.43410715,0.47149966,0.42111118,0.57489784,0.44470849,0.47519659999999997,0.56459594,0.57787621,0.34684844,0.64567812,0.37023574,0.72610002,0.54418502,0.58227519,0.54959893,0.45259288,0.41712662,0.47431045,0.46525915,0.44507343,0.57813668,0.4340691
190,64,1,0.37299615,0.49963555,0.45928018,0.30530209999999997,0.35063711,0.60914072,0.51634929,0.49547134,0.52263133,0.30072297,0.67987512,0.44518132,0.38481103,0.83671317,0.65264241,0.29219566,0.37316376,0.34453384,0.39568008,0.48862328,0.43033122,0.51366025,0.47421589,0.42936592,0.57421062,0.55995124,0.34150568,0.63101461,0.37917079,0.73883466,0.57441104,0.59832195,0.56059668,0.37394403,0.40525679,0.43782931,0.45395489,0.42947532,0.57464433,0.41938866
191,64,2,0.40472062,0.50953182,0.42266361,0.28911722,0.30997261,0.58572097,0.49581817,0.5072787,0.5706308000000001,0.35102202,0.66920724,0.50220808,0.34284465,0.81125357,0.64773897,0.30005541,0.33871523,0.35346715,0.40923583,0.51234267,0.43858337,0.47646429,0.48510679,0.44648247,0.60322612,0.58080385,0.37389337,0.63491459,0.40456644,0.78022226,0.605896,0.63185922,0.5772094,0.33820141,0.39804461,0.42350031,0.45358093,0.47631494,0.61075643,0.44901169
192,65,0,0.44495183,0.52737127,0.42220874,0.27756787,0.31210887,0.5772217,0.50053159,0.53605144,0.63100686,0.39223792,0.67395976,0.55309361,0.3443813,0.77893241,0.64921605,0.33604559,0.34050184,0.42380557,0.46067685,0.54063811,0.44673496,0.47377895,0.48170098,0.49083953,0.64230948,0.6309437,0.43463958,0.65174933,0.43582262,0.81995795,0.63676315,0.67540797,0.5915705,0.35625527,0.40866282,0.43636982,0.46876369,0.55090897,0.66295783,0.5000367
193,65,1,0.48535645,0.53989347,0.46619790000000005,0.27780472,0.36456056,0.58853401,0.53783726,0.56289506,0.69290091,0.40262241,0.70156479,0.60870199,0.37662441,0.74519003,0.66501604,0.41555327,0.38520685,0.52044625,0.56822681,0.57558786,0.45813588,0.5078128,0.4602463,0.56763018,0.6712515,0.70306803,0.5023071,0.70353982,0.48839433,0.86595585,0.65838647,0.72867235,0.60292007,0.41644739,0.45067403,0.47943723,0.50348851,0.6656531,0.72784197,0.57357521
194,65,2,0.53740848,0.55609756,0.52589883,0.30518931,0.44519842,0.6076039000000001,0.62212352,0.58872623,0.74574243,0.40492935,0.7378912,0.65352296,0.43766641,0.73623485,0.69063503,0.51430268,0.46326196,0.60687624,0.69057245,0.59963899,0.46393061,0.55035999,0.43573215,0.64887708,0.68908458,0.78091704,0.57495309,0.76427248,0.53451203,0.88845172,0.66599834,0.7812266999999999,0.60634675,0.48559091,0.51548105,0.54363636,0.57200859,0.77893511,0.78239612,0.62186337
195,66,0,0.57995183,0.57170358,0.56660918,0.35066488,0.49659454,0.62540425,0.68755611,0.61126009,0.78731538,0.40492935,0.7759998,0.69141302,0.51359801,0.7540688,0.71512803,0.602612,0.52345094,0.68590743,0.78653594,0.60204898,0.45453459999999996,0.58857754,0.41389263,0.71023734,0.67835534,0.85070144,0.62926372,0.81713315,0.57098582,0.89992491,0.6565446999999999,0.81934369,0.60522094,0.55071825,0.57356834,0.6071243000000001,0.65633114,0.85611697,0.83709731,0.64227966
196,66,1,0.60659923,0.58000187,0.60915793,0.40050528,0.55217522,0.6348991,0.74206162,0.63971816,0.81387464,0.40492935,0.83137418,0.71213678,0.61089695,0.8005257,0.71987408,0.67273231,0.57941823,0.73603185,0.87987372,0.57503171,0.42270756,0.62656159,0.39028286,0.74814028,0.63278054,0.88978375,0.66215918,0.88352542,0.59812892,0.88616909,0.61952277,0.83828976,0.59563749,0.59878634,0.63088619,0.67328386,0.73000118,0.91427832,0.88448295,0.64049704
197,66,2,0.60573218,0.55923745,0.66012168,0.43351793,0.6104451,0.61931712,0.76918443,0.6721713,0.80568636,0.40546172,0.88461247,0.69952465,0.71507107,0.84545441,0.69579272,0.70379136,0.61610333,0.73963172,0.90176506,0.52767099,0.38932185,0.65403775,0.37643833,0.74998229,0.56954413,0.8848318000000001,0.65945469,0.92952254,0.59971151,0.85325124,0.57486566,0.83548513,0.57813116,0.61364237,0.66358208,0.7410637,0.79002703,0.91641328,0.92151409,0.62796623
198,67,0,0.57611753,0.53388468,0.69768588,0.44640944,0.64213727,0.58086997,0.76017105,0.68967027,0.76129904,0.40546172,0.91298852,0.65380664,0.78171654,0.90762107,0.64557177,0.68198512,0.61782377,0.70142668,0.86017046,0.43954532,0.35722456,0.66475968,0.36487397,0.71151258,0.5051809,0.83962213,0.60959267,0.95238732,0.57095285,0.76856885,0.51836525,0.81321373,0.5510273,0.59323421,0.67052753,0.81249227,0.81590504,0.87209678,0.91443136,0.59501914
