,measure_number,beat_number,pid0198-03,pid1263-23,pid50848-10,pid52932-11,pid54293-10,pid59359-07,pid9048-23,pid9049-23,pid9049b-23,pid9050-23,pid9054-23,pid9055-23,pid9056-12,pid9058-23,pid9059-23,pid9060-23,pid9061-23,pid9062-23,pid9063-23,pid9066-23,pid9067-22,pid9070b-06,pid9072-23,pid9073-25,pid9074f-23,pid9075-23,pid9080-07,pid9093-24,pid9094-23,pid9099-23,pid9101b-05,pid9103-12,pid9104-23,pid9105b-06,pid9111-23,pid9118-23,pid9133-12,pid9137-13,pid9138-23,pid9139-23,pid9153-23,pid9161-02,pid9166g-02,pid9170-24,pid9174-23,pid917509-01,pid9176-07,pid918810-14,pid918904-08,pid9192-23
30,11,2,0.37080059,0.57521388,0.62978676,0.44077296,0.45738395,0.37566092,0.48273467,0.30726272,0.37576179,0.46537289,0.39162264,0.4933407,0.43832742,0.63056044,0.38249857,0.52854312,0.47107592,0.52659099,0.58093466,0.87582708,0.4386899,0.5351300999999999,0.50956756,0.48053505,0.4250169,0.41845842,0.63739877,0.58308415,0.76844362,0.45367617,0.61092634,0.4393427,0.64562241,0.50318756,0.62718849,0.47635464,0.52152032,0.6198642,0.61410775,0.44460859,0.44303035,0.6630978,0.44400322,0.40903604,0.53806706,0.40054705,0.75846796,0.42993882,0.53417855,0.71350022
31,12,0,0.37860638,0.60410531,0.67553676,0.45410741,0.45619605,0.37995690000000004,0.49577328,0.31998624,0.39466084,0.48136956,0.40417825,0.47966980000000004,0.48004019,0.67369654,0.38183314,0.50365121,0.45843037,0.50956855,0.60482492,0.89325099,0.43833844,0.51422501,0.53552657,0.49790671,0.42783412,0.43041197,0.64915185,0.601871,0.74626281,0.4818615,0.55854496,0.43896067,0.64131646,0.5288451,0.63088784,0.47964164,0.5290421999999999,0.62340123,0.5847965,0.45864337,0.43178624,0.66198409,0.41618434,0.41502224,0.51461359,0.43137699,0.75817423,0.43739886,0.52425897,0.71622376
32,12,1,0.37835434,0.62059466,0.69118382,0.45568011,0.44277068,0.38590517,0.49342095,0.32738652,0.40313328,0.47713705,0.41081758,0.45750207,0.50530948,0.68795157,0.37545793,0.46971535,0.43225431,0.47951099999999997,0.61886545,0.86548743,0.43018021,0.49478864,0.5391891,0.49309476,0.42488168,0.43081765,0.65126251,0.6092609999999999,0.71001864,0.50934034,0.50906462,0.43211236,0.61904648,0.54064536,0.63267183,0.46687444,0.51640157,0.60356861,0.54574746,0.47327268,0.41589312,0.63735143,0.38031358,0.41404647,0.48048234,0.43306502,0.75980521,0.44960529,0.51283677,0.69184408
33,12,2,0.37828021,0.63411873,0.69066176,0.44650326,0.41377968,0.38923851,0.48445224,0.33586657,0.41421569,0.45917198,0.4128198,0.43631528,0.53738252,0.68554319,0.36289353,0.44342421,0.40375718,0.44840138,0.62107113,0.8139303000000001,0.42935018,0.48490271,0.52658228,0.47159732,0.41860867,0.42376023,0.64064253,0.60890218,0.6849301,0.53838002,0.46895617,0.41316292,0.58323782,0.53261365,0.64006361,0.44734284,0.49427777,0.56785094,0.50293504,0.49193766,0.40213144,0.59750117,0.35143967,0.41280748,0.43933118,0.39928884,0.77043364,0.47930728,0.5023537,0.64947144
34,13,0,0.38905115,0.64170223,0.67454412,0.43491718,0.37887989,0.38599856,0.47110746,0.34569464,0.4379902,0.42738194,0.41062291,0.42101409,0.55555556,0.66894487,0.35384946,0.43427216,0.38335662,0.42286772,0.60481803,0.73908249,0.44689299,0.48663983,0.50506972,0.44194389,0.41266622,0.40935161,0.61929148,0.60240068,0.68250699,0.56765793,0.45383642,0.3979382,0.56540115,0.50885609,0.66095284,0.43357351,0.46102203,0.54086531,0.47987869,0.51311594,0.39865627,0.56278896,0.33167998,0.42260597,0.40748609999999996,0.36881838,0.78047461,0.52242945,0.49706521,0.61303773
35,13,1,0.41470719,0.65389393,0.65277941,0.42617534,0.36487082,0.37781609,0.46558883,0.35802613,0.484062,0.39672858,0.40672275,0.41882426,0.56104943,0.64683981,0.35599599,0.44712347,0.37979351,0.42193138,0.57198787,0.67560653,0.45405668,0.5105271,0.46989012,0.40268392,0.40739989,0.4030356,0.58515425,0.58821871,0.70001864,0.58840877,0.46569363,0.38948315,0.55970232,0.46865824,0.67165676,0.43309249,0.43598862,0.5198642,0.47711975,0.53462751,0.40966098,0.51808142,0.32913767,0.43840428,0.39854761,0.35253986,0.77838757,0.5726268,0.49293303,0.59115402
36,13,2,0.47291327,0.66297009,0.63675,0.42799899999999996,0.37493728,0.36957615,0.46757524,0.37096974,0.52978935,0.35559559999999996,0.39858176,0.44143409999999994,0.53513156,0.63281911,0.35550229,0.47740211,0.40000776,0.44461394,0.52190516,0.6313101,0.51349735,0.55699694,0.4375249,0.36003648,0.40857186,0.41277890000000006,0.56323665,0.56423751,0.73174278,0.60679372,0.51326706,0.38602809,0.56559217,0.42713355,0.66108422,0.44986822,0.42066468,0.50855835,0.52074093,0.59680209,0.42919144,0.47688348,0.36323540000000004,0.47013706,0.40884884,0.35577524,0.76840844,0.63916519,0.49241064,0.59288651
37,14,0,0.51372128,0.65269179,0.63718382,0.44392672,0.40164463,0.36630747,0.4848331,0.38823934,0.5738274999999999,0.32820442,0.39234566,0.47699641,0.50335101,0.63477836,0.34775329,0.51035912,0.42258966,0.46769629,0.48478081,0.641588,0.5418829000000001,0.61625289,0.41298593,0.33037436,0.42153858,0.42586557,0.55446072,0.54979069,0.73479963,0.61588762,0.57505648,0.38783708,0.579688,0.41761011,0.65081593,0.46887871,0.41775508,0.51942207,0.57263893,0.62099811,0.44754035,0.46925597,0.37711188,0.49546156,0.4427201,0.3772507,0.75945737,0.67571541,0.50127957,0.61523271
38,14,1,0.5482209,0.63346757,0.64638235,0.45730299,0.43195666,0.36814655,0.51268016,0.41017882,0.60508744,0.31870437,0.39111513,0.52100028,0.47076927,0.64400833,0.34347453,0.54165265,0.44091756,0.48764348,0.46168321,0.67644464,0.57508412,0.66643555,0.40847523,0.32147138,0.43430246,0.43912709,0.56565836,0.54424605,0.74400746,0.61991292,0.61878897,0.39224719,0.59114932,0.43909869,0.65293874,0.48338962,0.42376827,0.54014685,0.60813984,0.62401585,0.46087729,0.48465138,0.40067404,0.51611146,0.48074233,0.40526727,0.75248512,0.70059207,0.51475612,0.64914844
39,14,2,0.58069681,0.61675783,0.67318382,0.46954994,0.46685646,0.37553879,0.55422299,0.44566025,0.64015633,0.32574623,0.39645439,0.58456065,0.45327026,0.67083252,0.34598598,0.568184,0.46186927,0.50978948,0.45224704,0.72676665,0.59600688,0.73625587,0.42828504,0.33162512,0.46906318,0.45992866,0.58866462,0.54728748,0.76737185,0.62340426,0.67072752,0.40444382,0.60724292,0.47889613,0.66921588,0.49938369,0.44176473,0.57717511,0.63409862,0.61214305,0.47975905,0.527562,0.42263169,0.5323137,0.53871257,0.43352609999999997,0.75686017,0.71259128,0.5369666000000001,0.70055058
