,measure_number,beat_number,pid52932-15,pid5667229-06,pid5667249-19,pid5667291-09,pid9048b-01,pid9049-26,pid9050-26,pid9054-26,pid9058-26,pid9059b-01,pid9060-26,pid9061-26,pid9062-26,pid9063b-01,pid9064-07,pid9066-26,pid9070b-01,pid9072b-01,pid9074f-26,pid9075-26,pid9090-13,pid9099b-01,pid9101b-08,pid9104-26,pid9111-26,pid9113-09,pid9114b-10,pid9118b-01,pid9119-06,pid9124-12,pid9129-21,pid9138-26,pid9174-26,pid917520g-09,pid9192-26
20,7,2,0.40725863,0.4383781,0.28319099999999997,0.63217333,0.25988326,0.49699374,0.43205186,0.45137377,0.30588286,0.51927372,0.6099153,0.45745958,0.45104276,0.41410808,0.28159295,0.5783719,0.35558254,0.29551635,0.36636811,0.67920691,0.27429288,0.4962939,0.42430774,0.59358754,0.40053265,0.61551572,0.39457479,0.34261954,0.65793506,0.27460013,0.23539781,0.42426672,0.31869152,0.32625306,0.23905245
21,8,0,0.3674235,0.38610322,0.27682434,0.55588289,0.24981624,0.52877523,0.44295039999999997,0.42673809,0.24300660000000002,0.56252368,0.67599935,0.44264044,0.4436558,0.40741363,0.22274743,0.48842409999999997,0.40549753,0.26973014,0.30632366,0.65696492,0.24178262,0.51069861,0.3951524,0.53897588,0.36896882,0.53827799,0.33936681,0.24348730000000002,0.55665166,0.16593238,0.25192949,0.39376245,0.25520519,0.31919912,0.19161012
22,8,1,0.40846723,0.34268035,0.29207875,0.58757749,0.24910283,0.5876618,0.45146432,0.38538679,0.21599348,0.65612958,0.72131413,0.47624604,0.42374693,0.41683694,0.19878976,0.38218821,0.52422476,0.27411617,0.29234965,0.66370107,0.26930315,0.54035382,0.41720025,0.51695114,0.38600156,0.48457225,0.26219729,0.25011299,0.41340868,0.08174695900000001,0.30638399,0.37108875,0.22115966,0.34800176,0.16432828
23,8,2,0.49561967,0.31469753,0.33106111,0.68802553,0.27443972,0.61283925,0.45603409,0.34328092,0.24906097,0.7245771,0.750499,0.5310774,0.40532773,0.44893131,0.2242935,0.39590858,0.67317626,0.31775329,0.3830763,0.70640569,0.35342724,0.58195377,0.46076585,0.61295803,0.42167694,0.52169562,0.2044656,0.32940432,0.32516521,0.15567474,0.40280292,0.39151284,0.20407427,0.41234495,0.18685468
24,9,0,0.58305156,0.32521657,0.38603426,0.77972135,0.33019385,0.63967293,0.47483906,0.32839122,0.30931309,0.75867024,0.75788963,0.58131911,0.39425166,0.48650356,0.28791028,0.42627681,0.79387904,0.37157102,0.46908883,0.78177428,0.43167769,0.61172521,0.52518658,0.70458033,0.47399605,0.56751704,0.21572783,0.41159722,0.30846662,0.24321425,0.49998412,0.45018029,0.19653724,0.47295238,0.24105257
25,9,1,0.6387383000000001,0.39329548,0.44625927,0.81918615,0.37410824,0.6980515,0.49867622,0.35647716,0.39775319,0.74913461,0.7406808000000001,0.61115742,0.40569576,0.50783035,0.35615258,0.46199915,0.86632661,0.40400251,0.51828406,0.84722928,0.51056113,0.55890367,0.57159099,0.74462105,0.5610629,0.59522762,0.23799161,0.44514146,0.36180921,0.30606264,0.54232174,0.5130994000000001,0.1986591,0.52251052,0.29666647
26,9,2,0.64230124,0.44104972,0.48833035,0.78917326,0.39711033,0.72818372,0.49592891,0.37898163,0.43015179,0.68630396,0.68031505,0.63671723,0.42625307,0.50297083,0.38487517,0.4896092000000001,0.85750142,0.40956698,0.53107953,0.82352567,0.53398723,0.51862732,0.58847737,0.69678985,0.63923634,0.60056081,0.26742227,0.47350628,0.43014079,0.34103055,0.52513101,0.5648781,0.22229426,0.55360428,0.33553602
27,10,0,0.62803549,0.50005824,0.50909742,0.75253176,0.39584925,0.76256089,0.47230937,0.41107655,0.45801389,0.63767226,0.63289637,0.64866367,0.45001753,0.4870816,0.39520340000000004,0.51025677,0.79845357,0.41357646,0.5288639,0.79079817,0.54102418,0.51204804,0.5961289000000001,0.64419825,0.6910647,0.60281504,0.31176471,0.5267196999999999,0.51407911,0.3836893,0.5061299,0.60534955,0.25138142,0.59056691,0.35096466
28,10,1,0.61235154,0.53849458,0.53260036,0.71263733,0.38455718,0.81162143,0.46542751,0.46024999,0.48413515,0.64287114,0.63230296,0.64794132,0.47304592,0.47473451,0.41630972,0.54338318,0.73905757,0.42400112,0.53106607,0.78323589,0.5430714,0.5556689,0.61392202,0.62696524,0.72116823,0.61798988,0.38150289,0.57817952,0.60506656,0.41699071,0.50875814,0.62413218,0.29068003,0.63930115,0.37186265
29,10,2,0.59218946,0.58365728,0.57151624,0.69115571,0.40461195,0.84718163,0.49763351,0.50940614,0.50578853,0.6885899000000001,0.6809624,0.64199589,0.50336488,0.47515123,0.45384615,0.58014249,0.70483362,0.44009483,0.54331605,0.82041179,0.54003764,0.60436467,0.64550464,0.63185092,0.73660901,0.64625027,0.4401753,0.60331736,0.6884398,0.42323532,0.53111005,0.6315053,0.35528623,0.69195174,0.40643106
