,measure_number,beat_number,pid1263b-15,pid9048b-28,pid9049b-15,pid9050b-17,pid9053-20,pid9054b-17,pid9055b-15,pid9058b-15,pid9059b-19,pid9060b-13,pid9061b-12,pid9062b-18,pid9063b-21,pid9064-01,pid9066b-15,pid9068-21,pid9069-15,pid9070b-27,pid9072b-19,pid9073b-21,pid9074g-15,pid9075b-15,pid9085-08,pid9094b-20,pid9099b-21,pid9103-21,pid9104b-15,pid9111b-17,pid9118b-21,pid9124-15,pid9127-03,pid9139b-17,pid9153b-17,pid9166e-15,pid9170b-17,pid9172-11,pid9174b-15,pid918810-15,pid918812-15,pid9192b-17
32,12,1,0.68244143,0.52045633,0.54494909,0.46316852,0.65863522,0.71042338,0.55872429,0.47484595,0.47207674,0.58106091,0.8043918000000001,0.55981933,0.5875716999999999,0.68891702,0.65324806,0.81684819,0.81816253,0.23960897,0.6492415,0.5065759,0.67576402,0.52971763,0.737746,0.62973271,0.72205452,0.8723481,0.64019648,0.779302,0.65678236,0.67244745,0.69717416,0.58257573,0.61927321,0.52331606,0.7583619,0.61485223,0.6951470999999999,0.68691759,0.74354094,0.61569481
33,12,2,0.78254171,0.67349125,0.63942523,0.54134352,0.72300036,0.81339162,0.65189082,0.61717103,0.62836879,0.73850224,0.85917221,0.65574282,0.72323136,0.89929762,0.72691107,0.91420316,0.89946061,0.32369099,0.77129942,0.5205057,0.65909857,0.66183605,0.84403332,0.63168917,0.84265459,0.84572088,0.81805634,0.81716092,0.80057908,0.75387888,0.76224197,0.69973606,0.73002038,0.61167796,0.85927619,0.68119466,0.79736046,0.75123459,0.82946775,0.64848701
34,13,0,0.86642356,0.71100758,0.6391003000000001,0.57885253,0.75362267,0.83783939,0.668657,0.69204437,0.72791417,0.87728938,0.9411930000000001,0.69894535,0.74542475,1.0,0.60983986,0.918982,0.9427004999999999,0.41763472,0.7749004,0.56862091,0.66110663,0.70468964,0.84992998,0.65003215,0.84091658,0.79621879,0.83023464,0.81285724,0.89551587,0.82823657,0.78361948,0.77242448,0.77106909,0.75817059,0.85927619,0.71960344,0.86218037,0.81885816,0.92727777,0.66032468
35,13,1,0.86455465,0.68287033,0.5328688,0.51698861,0.7382622,0.80982513,0.57020188,0.63605368,0.66328423,0.7333469,0.96685083,0.68262311,0.65788719,0.96553414,0.42410112,0.80334519,0.96233089,0.50138293,0.65020686,0.55302399,0.64968853,0.62036945,0.63950763,0.62255902,0.66319978,0.79939385,0.61995616,0.74897451,0.72286495,0.81584084,0.6166944999999999,0.69685575,0.75876854,0.75017935,0.67427048,0.70894126,0.78175694,0.81280328,0.90538717,0.60604545
36,13,2,0.77183882,0.60999739,0.38382555,0.25655903,0.66077834,0.72066268,0.47765141,0.54934958,0.46212039,0.69603853,0.9257701999999999,0.61403043,0.62242557,0.87046717,0.44374056,0.6166925999999999,0.96454152,0.56909871,0.47590408,0.31254052,0.58954196,0.40183481,0.55810422,0.5957013000000001,0.56393158,0.84954539,0.48129415,0.63937866,0.51163778,0.62425759,0.51573919,0.53273074,0.70738736,0.67476086,0.5859581,0.67383714,0.64070663,0.61565466,0.69133247,0.50485714
37,14,0,0.78076397,0.58029261,0.43671023,0.31757244,0.60479735,0.75460193,0.46452469,0.50749007,0.40992908,0.8655541999999999,0.86591441,0.70123254,0.67881726,0.83118262,0.57317957,0.63580796,0.89999116,0.58256557,0.50976096,0.33353709,0.55648956,0.39043413,0.62663817,0.73635529,0.64972558,0.78395151,0.60835431,0.7184453000000001,0.58284973,0.48978145,0.52889305,0.5443148,0.72798201,0.69678159,0.64824381,0.61553186,0.65417239,0.51519088,0.54286638,0.47307792
38,14,1,0.81346522,0.55737177,0.59498881,0.44137956,0.60942432,0.81621031,0.44766373,0.486396,0.46648482,0.94695428,0.82623841,0.88046529,0.72254848,0.83681803,0.73321583,0.7067126,0.85787426,0.58748689,0.59095924,0.38235621,0.56134115,0.57416967,0.67953859,0.91944521,0.76978595,0.71075191,0.73419664,0.76867729,0.64311655,0.48026359999999996,0.58204957,0.58096276,0.74541365,0.73536269,0.70445714,0.60743235,0.6386925999999999,0.46622579,0.517871,0.49548701
39,14,2,0.86289543,0.58119829,0.71621056,0.55386334,0.65229555,0.84111827,0.48182163,0.45996166,0.63873432,1.0,0.81843806,0.98662339,0.75607757,0.78830448,0.86414543,0.78939764,0.85250685,0.60828803,0.72814128,0.55033806,0.65280322,0.74636149,0.75123461,1.0,0.88428467,0.72319238,0.8233335999999999,0.81252101,0.71082157,0.5396313,0.6554211999999999,0.71928024,0.76495396,0.7071940999999999,0.78582857,0.62187305,0.61265466,0.50714991,0.59798558,0.55819481
40,15,0,0.90795879,0.73035792,0.79933569,0.69558887,0.76276004,0.95536125,0.61813098,0.51934821,0.80330969,0.94369828,0.88484877,1.0,0.83624693,0.55570075,0.92517877,0.82679484,0.89388982,0.86890796,0.90974563,0.70126887,0.72642726,0.83996766,0.87506449,0.95242032,0.9787779000000001,0.84961755,0.86620119,0.77910026,0.78360603,0.48964798,0.74821297,0.78334869,0.92865678,0.6264448,0.92906667,0.82036414,0.76010448,0.46710611,0.54355018,0.70181818
41,15,1,0.90017322,0.78591831,0.68963824,0.73100764,0.68659433,1.0,0.59328974,0.51615774,0.66081106,0.80701397,0.86621406,0.77104968,0.87080033,0.30955570000000004,0.77884983,0.68292954,0.84367318,0.90194564,0.93533558,0.68965453,0.72300476,0.68739893,0.90241026,0.71817764,0.9140139000000002,0.79405398,0.91199156,0.71178804,0.70399491,0.29630464,0.7288395999999999,0.71460891,1.0,0.69935233,0.94140952,0.8337698,0.77811383,0.28285095,0.32714840000000006,0.67344156
