,measure_number,beat_number,pid1263-05,pid51495-03,pid9048-05,pid9049-05,pid9050-05,pid9053-22,pid9054-05,pid9055-05,pid9058-05,pid9059-05,pid9060-05,pid9062-05,pid9063-05,pid9065-02,pid9066-05,pid9067-05,pid9068-03,pid9072-05,pid9074f-05,pid9093-06,pid9094-05,pid9097-08,pid9098-05,pid9099-05,pid9100b-01,pid9101-05,pid9103-02,pid9104-05,pid9105-05,pid9118-05,pid9138-05,pid9139-05,pid9153-05,pid9166c-08,pid9170-06,pid9173-10,pid9174-05,pid9186c-05,pid918719b-01,pid918904-01,pid9192-05
40,14,1,0.74468819,0.69127484,0.8880233000000001,0.72777956,0.77842982,0.83763838,0.70457277,0.95645808,0.79516995,0.81533143,0.92253756,0.69902816,0.83830495,0.84600577,0.82628307,0.72597999,0.78074167,0.7711359999999999,0.8077484,0.84764916,0.72694628,0.63390359,0.75098966,0.63744649,0.73957418,0.90225564,0.77849095,0.74231137,0.78957416,0.7909283,0.76092606,0.62856392,0.7130835999999999,0.84767579,0.85673565,0.75082209,0.70911897,0.81140596,0.88556587,0.7514338,0.82396951
41,14,2,0.85474773,0.77815267,0.91066618,0.81371355,0.84448306,0.85587969,0.81193842,0.99052096,0.89355993,0.87051974,0.9785754000000001,0.81565657,0.90257329,0.91313763,0.81988297,0.7296294,0.86306815,0.83454399,0.83044829,0.88188606,0.83451067,0.78426942,0.77461662,0.6697685999999999,0.80808457,0.93069939,0.75022192,0.77007323,0.83489354,0.86965043,0.79045594,0.72093023,0.8297367,0.93023511,0.95864832,0.8068586,0.7880861,0.88044693,0.90980639,0.79359365,0.86667137
42,15,0,0.94057244,0.83920913,0.90010921,0.85709708,0.85830503,0.86117106,0.85755165,0.99306412,0.94819045,0.88925951,0.99632721,0.90074992,0.92945846,0.95532563,0.80568085,0.75895048,0.9331555,0.86758475,0.83488682,0.87657227,0.89168506,0.87728642,0.80723074,0.70097401,0.86964937,0.94914172,0.73356094,0.79586119,0.84717327,0.88667462,0.82719112,0.76087242,0.89461183,0.95107555,1.0,0.88564526,0.81807108,0.89874302,0.89201952,0.83105552,0.89179842
43,15,1,0.98080017,0.88228408,0.84899891,0.8492149999999999,0.79661954,0.80735222,0.82441481,0.89472873,0.97805147,0.83904421,0.97779633,0.99938782,0.92120087,0.86878409,0.72851396,0.79984899,0.97803232,0.88513923,0.76146091,0.79350239,0.92656365,0.91069507,0.83654601,0.70792233,0.8382341999999998,0.91005816,0.74332537,0.79789876,0.73414097,0.82301689,0.85441767,0.7482591,0.92290988,0.87226442,0.94344611,0.83390376,0.79750542,0.83137803,0.79702503,0.78981086,0.88410503
44,15,2,0.90100282,0.72495573,0.69970149,0.76244793,0.65496406,0.65571956,0.65930292,0.57896887,0.7450116999999999,0.72660562,0.86655537,0.80578512,0.80949942,0.70247834,0.58969889,0.66041654,0.93200481,0.69239306,0.60135692,0.57072711,0.79676233,0.68291371,0.77461662,0.62212296,0.69081367,0.77103135,0.63023558,0.51810252,0.50870044,0.54931939,0.73759745,0.62390619,0.72794517,0.69552744,0.69773206,0.55655325,0.66273152,0.62877095,0.55352589,0.64173276,0.74802372
45,16,0,0.72012953,0.58808774,0.49798325,0.66228773,0.5735170999999999,0.55005222,0.53619871,0.42025277,0.47664786,0.62659955,0.7246522,0.52089073,0.73550122,0.38662175,0.53800439,0.39871642,0.82750144,0.46284302,0.44842432,0.43875698,0.66613687,0.39901549,0.54139622,0.50670017,0.38252066,0.61635693,0.44855582,0.41370901,0.34570485,0.34832296,0.61339476,0.51208777,0.52263844,0.57235345,0.56173834,0.41822025,0.46027032,0.57453445,0.3951519,0.56329469,0.63752117
46,16,1,0.54287057,0.39415699,0.29892974,0.4788273,0.45299739,0.41502472,0.37083499999999997,0.38870993,0.26592129,0.48521439,0.55509738,0.28456535,0.53986045,0.22696503,0.54192369,0.23419115,0.60615095,0.34983354,0.34771416,0.32722809,0.46744665,0.27405853,0.29501605,0.34284385,0.2137795,0.41741382,0.31842950000000003,0.2814263,0.28917952,0.25151411,0.38286086,0.41378268,0.33570168,0.48222078,0.41599537,0.27908194,0.21887202,0.53091248,0.19265701,0.41828554,0.53638481
47,16,2,0.40664369,0.26437143,0.27045504,0.33382890000000004,0.35670958,0.34377915,0.28419848,0.4578992,0.24286501,0.35159804,0.46454647,0.25566269,0.40618999,0.22141482,0.60056687,0.17899075,0.41955123,0.33047821,0.29422992,0.29101365,0.42523179,0.23266624,0.29395506,0.26942118,0.21044443,0.32874167,0.27132127,0.24900987,0.35227606,0.30331865,0.31708009,0.40043358,0.25472991,0.47098717,0.33107366,0.25482853,0.20742533,0.49203911,0.16839289,0.32215985,0.45549831
48,17,0,0.35626240000000003,0.24805233,0.28361121,0.29478372,0.34340889,0.32019077,0.28099353,0.51844174,0.26782716,0.31948572,0.43203673,0.26890113,0.34622327,0.27338787,0.63854687,0.20895992,0.35384173,0.3431699,0.30151544,0.31374184,0.44437822,0.22511836,0.33838267,0.25191389,0.25231892,0.32743652,0.28752475,0.25032155,0.43007526,0.36934937,0.32055871,0.40297596,0.26596770000000003,0.49308067,0.28211261,0.27350513,0.23481562,0.47560521,0.19327877,0.28683954,0.43206522
49,17,1,0.33586128,0.26120401,0.32383691,0.28885614,0.37220599,0.32163893,0.30622675,0.57332768,0.32146691,0.31892171,0.40684474,0.29183502,0.31479324,0.33364613,0.67292454,0.28425722,0.37238349,0.40195722,0.3453237,0.37047824,0.48770419,0.22411771,0.42849501,0.27654941,0.30394551,0.39382182,0.34492318,0.28253422,0.51289464,0.46168377,0.36059532,0.44410064,0.32299131,0.52983721,0.27382575,0.33905107,0.25783414,0.45727654,0.2747206,0.27288591,0.4545384
50,17,2,0.34487621,0.30223293,0.31699308,0.29122717,0.40954111,0.31822043,0.31023865,0.5948058,0.36207513,0.33149979,0.39775181,0.30672635,0.32633466,0.36413218,0.70705839,0.36380167,0.41014697,0.41857849,0.37665335,0.41046613,0.50421634,0.23408113,0.49945613,0.32771884,0.33003052,0.42406724,0.39375896,0.30599172,0.55297357,0.52623874,0.38173281,0.47027329,0.37295059999999997,0.52922167,0.27301194,0.40118113,0.25403804,0.45132216,0.33156776,0.27653447,0.51494918
