,measure_number,beat_number,pid1263-12,pid9048-12,pid9054-12,pid9055-12,pid9058-12,pid9059-12,pid9060-12,pid9062-12,pid9063-12,pid9066-12,pid9067-12,pid9068-07,pid9072-12,pid9075-12,pid9087-06,pid9088-07,pid9090-05,pid9093-12,pid9097-14,pid9100b-16,pid9101-12,pid9104-12,pid9105-12,pid9111-12,pid9118-12,pid9137-08,pid9138-12,pid9139-12,pid9166d-19,pid9170-12,pid9173-17,pid9174-12,pid917803b-07,pid917807-07,pid9186c-12,pid9192-12
231,78,2,0.57343476,0.65710884,0.74431546,0.77178272,0.78661955,0.69610317,0.56381969,0.44526465,0.8800139000000001,0.70550842,0.51590026,0.71418434,0.66229975,0.6952361,0.73608675,0.82532407,0.62121899,0.77396187,0.58320912,0.67063437,0.84807097,0.71686242,0.79381306,0.72367922,0.63343079,0.64291905,0.6483621999999999,0.41726053,0.54201647,0.52481843,0.62876859,0.57825382,0.60088267,0.39165758,0.44807424,0.76664395
232,79,0,0.58473715,0.63210783,0.72099936,0.74774292,0.76184896,0.68558189,0.52399327,0.42250395,0.86252812,0.70528838,0.5429934000000001,0.70696277,0.65338851,0.64062295,0.62734975,0.7989687,0.58084332,0.74719248,0.56298407,0.60233476,0.80942447,0.68439589,0.71310216,0.68617819,0.58261091,0.58884288,0.62631282,0.37280312,0.50993499,0.45041124,0.60178548,0.53265401,0.57971718,0.37164512,0.41217049,0.74269165
233,79,1,0.57700718,0.59346624,0.69467792,0.72158006,0.70309542,0.66767262,0.46588566,0.37786515,0.83042818,0.70365028,0.553991,0.68774698,0.6290414000000001,0.59072914,0.51337598,0.74883621,0.54139948,0.72414469,0.52726874,0.50151369,0.7533651,0.62493375,0.61772566,0.64180335,0.51979153,0.50813791,0.59161235,0.34863432,0.47456378,0.38492617,0.56321185,0.47223252,0.55515504,0.35269688,0.35304262,0.71218058
234,79,2,0.54565612,0.52786634,0.64221668,0.68956274,0.63040617,0.63617474,0.42320003,0.34189200000000003,0.77645273,0.6943351,0.55699221,0.65460288,0.60100273,0.53231431,0.43307067,0.6780539000000001,0.49808114,0.70140158,0.47869356,0.43330581,0.68314266,0.55933391,0.54379635,0.59910987,0.45239608,0.44231232,0.55075438,0.33024777,0.4395347,0.33433938,0.52065188,0.40148217,0.51989463,0.3335929,0.30124004,0.67340716
235,80,0,0.47316067,0.38324791,0.58343103,0.65342798,0.54565613,0.59234156,0.35169465,0.31233785,0.69999817,0.67854087,0.54846136,0.5972199,0.54765543,0.47741276,0.36215201,0.6202583,0.45956915,0.65968051,0.41345901,0.37484519,0.59610022,0.48421125,0.47955502,0.53892689,0.40109317,0.34942457,0.51034052,0.31807461,0.40726899,0.29784522,0.47206217,0.33186659999999996,0.47234161,0.30810362,0.26008048,0.62236797
236,80,1,0.40657818,0.31167521,0.53356231,0.61643542,0.45789540000000006,0.53767377,0.29805296,0.28460242,0.61876978,0.65978827,0.52868625,0.5333389000000001,0.50464449,0.43138617,0.32351851,0.55945475,0.42499295,0.62235571,0.36203420000000003,0.33292051,0.51955381,0.42627071,0.43522416,0.48057364,0.3675607,0.31458564,0.48213364,0.31051711,0.38592519999999997,0.27247367,0.42603511,0.26716072,0.41866537,0.28113482,0.22898908,0.57212947
237,80,2,0.34689415,0.25610396,0.47535461,0.5794643,0.36874651,0.48712875,0.25856812,0.26010859,0.52417098,0.63245397,0.49830411,0.45306673,0.44920245,0.38454681,0.29367883,0.47628256,0.38874925,0.58342039,0.30942569,0.29432136,0.44313915,0.36740695,0.40489076,0.40501113,0.33873141,0.28528435,0.44724113,0.30326393,0.36781851,0.24959117,0.37930457,0.20117184,0.36572855,0.25028812,0.21670362,0.50776831
238,81,0,0.29191586,0.22702692,0.4276821,0.5431151,0.27467595,0.39720312,0.21813443,0.23108936,0.39302764,0.58827413,0.46543466,0.36877331,0.39741763,0.31331113,0.24998147,0.38520853,0.36064689,0.53623662,0.25281309,0.25741938,0.34722558,0.3074832,0.37058195,0.30407978,0.31102072,0.23651466,0.40130592,0.29448911,0.35126457,0.22005916,0.31058221,0.16244326,0.30581358,0.19583917,0.22215652,0.43560477
239,81,1,0.20608543,0.22987207,0.37254578,0.51234158,0.2234942,0.34091921,0.2017889,0.20154323,0.34196038,0.53504804,0.42590499,0.27767574,0.34947889,0.27744422,0.23686486,0.27637327,0.35082578,0.48128319,0.21592869,0.22491399,0.2899585,0.25711648,0.33573862,0.17674112,0.26182789,0.20331295,0.35439847,0.28888438,0.31081401,0.19122457,0.26537585,0.15384206,0.22050002,0.16542075,0.24324546,0.31412266
240,81,2,0.18355148,0.26817063,0.33113162,0.4877442,0.19603743,0.28780158,0.23439141,0.19593463,0.30263567,0.38505171,0.41151561,0.23068681,0.31407428,0.25530269,0.24614777,0.17792260000000001,0.36449687,0.38880909,0.19525062,0.2270538,0.25069717,0.2182729,0.33264181,0.16800462,0.22784035,0.19979535,0.30623072,0.29699982,0.28165381,0.18891588,0.22956586,0.18611857,0.17586303,0.12198256,0.3341874,0.20381601
