,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
315,106,2,0.20532006,0.26925933,0.21119977,0.35592874,0.10785127,0.21708232,0.28659772,0.34360951,0.23133661,0.2279248,0.32259808,0.23019228,0.24814935,0.34153791,0.25513877,0.33820808,0.34928349,0.29736522,0.19350984,0.20995297,0.20382452,0.3178256,0.39282499,0.36685768,0.31833649999999997,0.39905542,0.20175711,0.4437139,0.39704292,0.28035347,0.34448917,0.40723949,0.20151168,0.26332798,0.43981205
316,107,0,0.20617889999999997,0.22706588,0.20998114,0.34078936,0.12606785,0.22030869,0.28958218,0.34931765,0.22000389,0.21516056,0.30741063,0.27480552,0.25879769,0.33096701,0.25965597,0.31381929999999997,0.3428972,0.27932712,0.20054311,0.19986167,0.20714286,0.33873748,0.38113862,0.33021411,0.31964884,0.42396096,0.21191818,0.46410206,0.39285927,0.27226864,0.34109642,0.36611312,0.23457458,0.25149311,0.43777873
317,107,1,0.20690832,0.19617289,0.23784274,0.34775381,0.1592222,0.22354377,0.30151999,0.34878001,0.22034063,0.18705019,0.28006882,0.31820784,0.25699178,0.31739545,0.26487424,0.30856842,0.35090343,0.3069894,0.20313646,0.20469636,0.22456211,0.35101799,0.35090977,0.29892317,0.35354331,0.43265113,0.22112526,0.47874474,0.37740827,0.2785347,0.32460226,0.36251521,0.28235906,0.26847982,0.44912431
318,107,2,0.22822621,0.23056931,0.3381619,0.39554173,0.22245546,0.23951866,0.36154914,0.34858555,0.27574796,0.18299984,0.29467171,0.34268311,0.26566339,0.33430770000000004,0.29111737,0.34518920000000003,0.40653427,0.38044473,0.20820095,0.23766773,0.27752692,0.36829419,0.35862878,0.30894207,0.40412707,0.46782116,0.25819763,0.49417158,0.37661195,0.31850900000000004,0.31815219,0.39209916,0.34243811,0.30281702,0.50938915
319,108,0,0.26560312,0.34934311,0.40915421,0.42807092,0.26142706,0.26988141,0.41136174,0.34510804,0.36379355,0.28420203,0.32828923,0.37495229999999996,0.28218498,0.37331027,0.32473981,0.40554427,0.49579439,0.47553419,0.20104549,0.25964864,0.32044834,0.40995637,0.38745076,0.38079345,0.42710653,0.51509236,0.31361761,0.48320842,0.39654373,0.37339974,0.37718996,0.40788420000000003,0.40653907,0.34997039,0.5880991
320,108,1,0.30238003,0.39993336,0.46370956,0.46568919999999997,0.29280775,0.29645971,0.42097446,0.33802719999999997,0.40838622,0.3470631,0.34696196,0.39699105,0.30851704,0.40031617,0.34137034,0.47978635,0.54575545,0.5256529000000001,0.19600136,0.26370176,0.33857464,0.4217252,0.41030763,0.42008816,0.42755906,0.57201931,0.33589209,0.45098246,0.41402712,0.42547558,0.42270462,0.39693449999999997,0.45438596,0.37067084,0.658522
321,108,2,0.30987423,0.40953922,0.46754679,0.4646066,0.2995932,0.28885595,0.43049695,0.32834967,0.41670768,0.36250605,0.34944357,0.31261559,0.32345237,0.41812325,0.32897514,0.51368389,0.54478193,0.51405988,0.20406653,0.25815465,0.3319219,0.39809329,0.39278747,0.42257557,0.41757625,0.55672754,0.33103341,0.42159154,0.42202598,0.40084833,0.42289629999999995,0.38310439,0.47004369,0.3392268,0.66986758
322,109,0,0.29808586,0.37699924,0.42580879,0.43298951,0.28378488,0.26504186,0.44551638,0.31360459,0.41002461,0.35251735,0.32484807,0.20332453,0.34425283,0.43023922,0.29624892,0.53215978,0.51800623,0.47679657,0.22038697,0.24715728,0.32090632,0.34727459,0.35944476,0.37290932,0.40441669,0.49876154,0.30062786,0.37978978,0.41148365,0.32210797,0.35779183,0.36714257,0.45078011,0.30695373,0.63175566
323,109,1,0.26625019,0.30268469,0.36091687,0.38214986,0.25871776,0.24993024,0.45782204,0.29625139,0.39163968,0.33947071,0.27795118,0.16221929,0.37937851,0.43838215,0.24852559,0.54256376,0.47759346,0.43351671,0.24147318,0.24226726,0.31446248,0.33011957,0.29699869,0.29257557,0.38702145,0.42938707,0.26920176,0.34546771,0.38154439,0.25354756,0.25483995,0.34600227,0.37659663,0.29250486,0.54009398
324,109,2,0.20424946,0.20736862,0.27287103,0.32934959,0.24363355,0.25972271,0.48813853,0.28254727,0.3718236,0.31070679,0.21312054,0.19721855,0.42182543,0.44952574,0.21623302,0.54073573,0.43260125,0.38407551,0.26482009999999995,0.27256882,0.31688896,0.31573845,0.28372726,0.2011461,0.36686578,0.37480059,0.23806407,0.32054047,0.32779871,0.23904242,0.15415948,0.30721557,0.29792663,0.31257931,0.4860487
