,measure_number,beat_number,pid52932-12,pid5667271-08,pid5667291-10,pid610003b-02,pid9048b-02,pid9049-27,pid9050-27,pid9054-27,pid9058-27,pid9059b-02,pid9060-27,pid9061-27,pid9062b-01,pid9063b-02,pid9064-08,pid9066-27,pid9067-25,pid9070b-10,pid9072b-02,pid9073b-02,pid9074f-27,pid9075-27,pid9090-14,pid9099b-02,pid9100b-22,pid9101b-09,pid9103-14,pid9104-27,pid9111-27,pid9113-10,pid9114-28,pid9116-13,pid9118b-02,pid9119-07,pid9121-06,pid9130-08,pid9138-27,pid9152-14,pid9174-27,pid917520g-10,pid918904-10,pid9192-27
33,12,0,0.64768963,0.43350832,0.52964398,0.49397293,0.37486474,0.41709137,0.37219766,0.62700983,0.35320576,0.39359241,0.39700743,0.27788311,0.40315118,0.46397921,0.31301636,0.38012748,0.7254549,0.67140525,0.58597393,0.31143802,0.46795413,0.43314684,0.45486649,0.55052045,0.54239078,0.62934136,0.60134234,0.40981477,0.72233659,0.67502109,0.70692411,0.8592978000000001,0.60806044,0.74053959,0.62127865,0.5631305,0.59652398,0.63142981,0.58660636,0.58026124,0.57379456,0.42656118
34,12,1,0.66181653,0.45915214,0.50616977,0.56293176,0.42618982,0.49224463,0.42380989,0.61336032,0.40406868,0.43566085,0.49483352,0.34749295,0.38743993,0.50769117,0.36508179,0.3354143,0.78003308,0.61557416,0.62165086,0.34811725,0.46494301,0.44949323,0.53207005,0.60795338,0.59530152,0.65180292,0.67912792,0.45057929,0.74084631,0.6320641,0.68812736,0.83347208,0.63118487,0.66056412,0.71221214,0.5736349000000001,0.57981976,0.73171969,0.57443828,0.49783878,0.60390485,0.42542501
35,12,2,0.60359979,0.46934429,0.43363405,0.58963062,0.5877304,0.56488662,0.46452305,0.56302487,0.43263883,0.48354115,0.55658365,0.36438421,0.4110068,0.51662955,0.34116302,0.42905789,0.73834518,0.59972621,0.67866832,0.37709957,0.44154355,0.47527771,0.48957795,0.61560622,0.64863469,0.72077213,0.68903316,0.5410228,0.71613442,0.54047476,0.68736014,0.73988779,0.71776297,0.67090049,0.76450695,0.51390177,0.53482459,0.76128705,0.55014104,0.49233211,0.63493203,0.41162262
36,13,0,0.54451335,0.48236926,0.36165536,0.44956295,0.65813847,0.6083758,0.38003258,0.55565645,0.48761513,0.48139374,0.55810402,0.42735819,0.44387247,0.47760208,0.28947186,0.45739108,0.66765156,0.6185541999999999,0.66438514,0.33356509,0.45233573,0.48941052,0.36424538,0.55690515,0.65556977,0.76034217,0.54125285,0.55834994,0.66667546,0.45711532,0.67291094,0.70014478,0.7966104,0.71023125,0.70650062,0.4618624,0.51101384,0.48399159,0.5586227,0.54887913,0.6568991999999999,0.35619424
37,13,1,0.46857748,0.52349445,0.3823565,0.38041026,0.65248968,0.67295221,0.3453443,0.58924234,0.5510507,0.42756996,0.59388415,0.51014572,0.44055465,0.45143281,0.38091905,0.50317821,0.71200283,0.68385195,0.65830304,0.34316488,0.47140847,0.55863942,0.29942578,0.47431462,0.56122461,0.76928183,0.34548166,0.5367353,0.70045746,0.49028799,0.66664536,0.65683649,0.77302645,0.78328662,0.57414783,0.42367749,0.54931445,0.25969273,0.55386636,0.63843066,0.61940241,0.30405656
38,13,2,0.47680557,0.54581022,0.4298014,0.46776752,0.6739569000000001,0.68782776,0.42624053,0.6746095999999999,0.56754896,0.43309088,0.62251651,0.55497493,0.42945561,0.46315516,0.41194899,0.52396752,0.77231349,0.75324593,0.66286905,0.40527683,0.45915998,0.63480094,0.38624749,0.48673215,0.46880391,0.7863796,0.33589226,0.49448749,0.78341691,0.5515303,0.69036507,0.61688535,0.72318255,0.80706903,0.54061946,0.44447809,0.59174767,0.36425828,0.48083844,0.72435844,0.56989613,0.35916512
39,14,0,0.58639492,0.53805468,0.42687091,0.60790568,0.70724438,0.72093951,0.5731001,0.68010411,0.35709559,0.46005126,0.52985691,0.56787841,0.44202758,0.49864885,0.33007347,0.57381472,0.73953121,0.80910862,0.59716287,0.50157963,0.46696919,0.68758615,0.50470858,0.48979622,0.54902076,0.82546786,0.44837691,0.6833075,0.84879036,0.52929269,0.7791062,0.53644014,0.81190956,0.76743167,0.49966182,0.50053942,0.64596073,0.47088919,0.33559965,0.84292363,0.59201718,0.45129608
40,14,1,0.62351962,0.43695523,0.31366554,0.58658184,0.59569005,0.65089741,0.54624674,0.53643146,0.22364303,0.38546689,0.63889653,0.54780633,0.44881199,0.46336303,0.31369559,0.53719549,0.64093467,0.76483968,0.42707687,0.51530233,0.48093429,0.5704938,0.48603694,0.4513781,0.48755559,0.76598433,0.48005790000000004,0.66505055,0.83990499,0.36861068,0.67566012,0.42431454,0.82322174,0.62754029,0.41147673,0.44517839,0.57593177,0.44514095,0.26690011,0.77100529,0.55458451,0.40216294
41,14,2,0.5127732,0.28188391,0.21658997,0.49161145,0.45966071,0.52662678,0.43743697,0.36360324,0.13770902,0.24634248,0.67923088,0.40350987,0.30098344,0.38828508,0.25766565,0.38733956,0.5714791,0.72318223,0.29343913,0.46513216,0.42315323,0.41963026,0.40135898,0.36779798,0.25215034,0.54618646,0.48038252,0.45403291,0.67010645,0.25370527,0.37544914,0.34138992,0.73349461,0.45786615,0.22353320000000004,0.2584745,0.43155455,0.38496268,0.19764614,0.53632628,0.40993203,0.26238007
42,15,0,0.31755275,0.15731973,0.16541535,0.30801494,0.40510775,0.38586306,0.21627492,0.29395026,0.079400876,0.18134525,0.54651899,0.23894547,0.17483225,0.30556793,0.23284586,0.16932681,0.50820337,0.66304428,0.23947158,0.25443699999999997,0.28541579,0.32119517,0.33707532,0.19264771,0.112259,0.35659072,0.48176873,0.27226035,0.49246943,0.18843837,0.21511412,0.17950412,0.59312619,0.30297828,0.15138762,0.16860982,0.20941744,0.35616349,0.16018870000000002,0.2829601,0.17005001,0.19672614
43,15,1,0.25581184,0.12186014,0.17761565,0.26305865,0.30348464,0.24553512,0.16105552,0.34832273,0.10711795,0.20135079,0.30169923,0.23156534,0.20734084,0.29682257,0.29106598,0.23886318,0.3578897,0.5332175,0.26858764,0.15319403,0.17905586,0.22756831,0.30996268,0.22218883,0.18668372,0.3981307,0.50384278,0.27580252,0.48609132,0.20051211,0.2016623,0.18472536,0.47523347,0.32521461,0.30833646,0.34944639,0.18467332,0.35331546,0.27117985,0.19962578,0.18046935,0.24239185
44,15,2,0.22869999,0.13472662,0.17429765,0.27742140000000004,0.17513984,0.21169953,0.17152794,0.35270098,0.10944289999999998,0.23002909,0.21140616,0.24857411,0.19747668,0.26271715,0.30099113,0.22818476,0.33685328,0.38062444,0.23094246,0.15385272,0.17377937,0.2146031,0.35566083,0.27590529,0.21573827,0.34680528,0.5208984,0.26826802,0.41997889,0.19578262,0.20094623,0.22602479,0.45046019,0.38213909999999995,0.39252778,0.33953818,0.19548761,0.36099717,0.29141134,0.18938219,0.21427929999999998,0.25823094
45,16,0,0.16906148,0.15276347,0.17414023,0.29574933,0.13159101,0.21602777,0.19182634,0.25666859,0.10690334,0.20734275,0.29307925,0.25753682,0.15391368,0.22913883,0.25912808,0.22607177,0.33027809,0.26969936,0.17146024,0.15676803,0.18280568,0.21497608,0.35749833,0.31740214,0.16952792,0.28708621,0.42470609,0.22956239,0.30336940000000007,0.19496325,0.19698229,0.21630622,0.3907232,0.31315259,0.39429921,0.26305479,0.18513679,0.31983477,0.26656940000000007,0.18765321,0.25209669,0.21764854
46,16,1,0.18470846,0.14768225,0.18601356,0.30868462,0.10474094,0.21264495,0.2091123,0.18333141,0.09036036800000001,0.17995982,0.28537424,0.21561423,0.13552438,0.19675575,0.14695731,0.17476644,0.34349088,0.22122887,0.17699264,0.20040009,0.14287322,0.19566204,0.30621112,0.27786981,0.16564381,0.19388891,0.31110721,0.21459671,0.17050233,0.20106037,0.17987341,0.15470093,0.30492898,0.15913629999999998,0.20670997,0.17875461,0.17454136,0.26130879,0.22493921,0.19145459,0.19792254,0.17256354
47,16,2,0.20871209,0.17559429,0.19692419,0.37658607,0.13914718,0.18941576,0.25251467,0.11171197,0.14768846,0.15680937,0.29550771,0.18853024,0.12890661,0.18487008,0.12533962,0.12422946,0.37068634,0.18693203,0.17133611,0.29615399,0.12551006,0.18228329999999998,0.28273519,0.16562821,0.14226874,0.14248854,0.33821723,0.13726662,0.15713029,0.21279672,0.16880634,0.13843996,0.20226784,0.12803083,0.18542058,0.12189836,0.15893788,0.28334662,0.20289855,0.1697358,0.14193383,0.12604780000000002
