,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
11,2,0.39189945,0.25096001,0.39349252,0.33050059,0.48885226,0.29533313,0.25870883,0.25067746,0.16118538,0.35932203,0.46328858,0.41277444,0.4020231,0.3147406,0.44866966,0.38021193,0.51069093,0.41660256,0.3892677,0.26643116,0.224652,0.40586264,0.37517585,0.54150155,0.33047591,0.36857988,0.35271597,0.23591932,0.29237216,0.32490251,0.31217999,0.46717773,0.29551948,0.46648721,0.3796635,0.72942957,0.30941596,0.26539549,0.30130763,0.46615628,0.13233814,0.37780203,0.35507922,0.49998014,0.43262903,0.26088486,0.39524001,0.3695477
12,0,0.42852191,0.23439353,0.38244461,0.34231302,0.50845549,0.37260116,0.28127361,0.23465599,0.23897802,0.6037995,0.35053962,0.29076794,0.41383065,0.48302748,0.47711453,0.39070644,0.4962891,0.38589349,0.47518308,0.275848,0.26007185,0.33944134,0.35420934,0.36022908,0.23454799,0.37260355,0.34097059,0.31217136,0.37555471,0.39265703,0.48051551,0.51128825,0.28195301,0.48190125,0.42053402,0.81888029,0.40322432,0.3302253,0.35776061,0.67142289,0.19483597,0.39809522,0.34391755,0.47789693,0.55133623,0.23248989,0.44287208,0.46627562
12,1,0.38889137,0.25182452,0.29122352,0.44281757,0.56243346,0.43101308,0.28839701,0.25259546,0.22113785,0.62561652,0.2821181,0.28385676,0.42287207,0.49795655,0.57029359,0.38396389,0.59802969,0.38180109,0.51104963,0.27460244,0.26242479,0.35895498,0.32418491,0.35543015,0.2155217,0.39156805,0.31052003,0.2414447,0.42719741,0.45521627,0.52038445,0.55620959,0.29633128,0.48127789,0.49637893,0.78523894,0.52067888,0.35718326,0.38904634,0.6714659,0.2363305,0.51458832,0.26959048,0.4386059,0.48313012,0.2776763,0.36487899,0.46392933
12,2,0.28763447,0.19857657,0.1867231,0.3432133,0.35654328,0.38430788,0.21421168,0.19820517,0.18522727,0.31873243,0.24187067,0.32223794,0.26729199,0.324938,0.44221131,0.38159341,0.54733168,0.19523871,0.3641009,0.20257487,0.24035923,0.24916858,0.24544019,0.33738818,0.15438072,0.36711045,0.29404814,0.12883372,0.32775926,0.45687204,0.33612931,0.49096519,0.24664741,0.40227385,0.45850037,0.60187158,0.35798406,0.27087682,0.31004744,0.38801733,0.21042354,0.55838888,0.24330355,0.34841624,0.21546684,0.30200629,0.27222803,0.29168905
13,0,0.26483349,0.14432337,0.17421992,0.25844875,0.32518835,0.30676605,0.17859464,0.14597044,0.19305556,0.35941843,0.22348864,0.33668713,0.17384683,0.29548656,0.34199134,0.37770801,0.37471285,0.13295508,0.22803906,0.17901665,0.24600808,0.2198094,0.27093566,0.28157345,0.1327957,0.30642012,0.21939288,0.16202052,0.32515951,0.33474114,0.27893403,0.39664722,0.22279291,0.26786144,0.42937089,0.58162801,0.27732071,0.27409539,0.25958521,0.29641617,0.15154487,0.48350215,0.24601721,0.27271373,0.18346417,0.23575386,0.26319048,0.27932155
13,1,0.18443182,0.12285128,0.20869766,0.18706965,0.26027762,0.21134165,0.25190162,0.12363188,0.15082442,0.50755081,0.18628586,0.28236202,0.16663724,0.24978673,0.26856902,0.32451334,0.28704718,0.12346668,0.17675346,0.1526452,0.23339021,0.15645744,0.30400819,0.18042806,0.13009757,0.2232643,0.171726,0.30811999,0.32235025,0.24080629,0.19640017,0.2686751,0.17283584,0.21775165,0.32730797,0.6464133,0.32831075,0.30508144,0.2482788,0.31752347,0.14119077,0.41276656,0.23775012,0.24026412,0.18954401,0.19674352,0.25818123,0.23351237
13,2,0.20451547,0.15414463,0.20560521,0.17425801,0.19800794,0.21595984,0.33613527,0.15535809,0.1642751,0.590931,0.18387295,0.23832331,0.23420143,0.16990378,0.28248009,0.30823391,0.30716558,0.12591358,0.21042311,0.1634794,0.2886035,0.17549786,0.40743392,0.24867486,0.26689566,0.21362919,0.3303123,0.37793294,0.29191506,0.35741796,0.27830494,0.22994545,0.23016939,0.37568889,0.48561814,0.48766729,0.22128344,0.3105335,0.27843936,0.27741637,0.13658219,0.50100814,0.22630338,0.33916195,0.31170035,0.27814044,0.33864276,0.17291873
14,0,0.31729027,0.20443716,0.22346863,0.16938069,0.25466792,0.33822939,0.40547211,0.20442548,0.21865716,0.55587597,0.22369922,0.32681861,0.35379239,0.23638528,0.52202168,0.38194662,0.38393709,0.16144164,0.22025224,0.2681599,0.40445442,0.20874137,0.46853173,0.38390603,0.40612306,0.30905325,0.56150965,0.46358935,0.34680507,0.46325514,0.41757973,0.35267359,0.35707595,0.44396827,0.52635699,0.37784078,0.269149,0.30484736,0.43418684,0.22806206,0.11119597,0.57644045,0.46993586,0.4462814,0.50179556,0.42622399,0.58633915,0.26100353
14,1,0.36143851,0.25727296,0.27021914,0.21020973,0.38832815,0.38290843,0.40203777,0.25811191,0.30083185,0.50800064,0.23740458,0.35513838,0.42259251,0.37768079,0.59237051,0.40866562,0.43530659,0.19020601,0.24270138,0.2886257,0.45170184,0.31548472,0.41494928,0.38839562,0.49608722,0.43739645,0.58548488,0.52863546,0.44134844,0.49227908,0.51810398,0.42624729,0.41246585,0.46372459,0.52558157,0.4662044,0.32267189,0.29808836,0.54195962,0.29359899,0.11856449,0.53694523,0.57524259,0.47262437,0.60273092,0.50544243,0.70010453,0.38733569
14,2,0.41814461,0.34244758,0.31253108,0.26424614,0.46928998,0.38152723,0.45323671,0.34409643,0.31236631,0.63374568,0.27059753,0.38001864,0.47768704,0.3938895,0.61538152,0.44211146,0.54029864,0.32546908,0.26421481,0.28289184,0.47725191,0.36724285,0.34616334,0.43763899,0.58457786,0.5170217,0.57498021,0.54385829,0.53113989,0.60052793,0.55228484,0.5197755,0.47370229,0.58696607,0.59754938,0.48763791,0.3701492,0.34453331,0.58325629,0.39427533,0.19651102,0.59768247,0.60857409,0.47701321,0.68694672,0.59041024,0.7607542,0.49698233
