,,pid1263-18,pid50848-02,pid9048-18,pid9049-18,pid9050-18,pid9054-18,pid9055-18,pid9058-18,pid9059-18,pid9060-18,pid9061-18,pid9062-18,pid9063-18,pid9065-13,pid9066-18,pid9067-18,pid9068-12,pid9070b-01,pid9072-18,pid9073-20,pid9074f-18,pid9075-18,pid9081-09,pid9085-13,pid9088-13,pid9092-08,pid9093-18,pid9094-18,pid9099-18,pid9100b-18,pid9101-18,pid9104-18,pid9105b-01,pid9111-18,pid9118-18,pid9122-02,pid9123-01,pid9138-18,pid9139-18,pid9153-18,pid9166f-15,pid9170-18,pid9174-18,pid9186c-18,pid9192-18
11,2,0.49212783,0.29903138,0.38119759,0.31251074,0.25236448,0.4642169,0.33910964,0.29988608,0.33907172,0.33977422,0.46636567,0.37856206,0.43231164,0.32073055,0.53971243,0.5048369,0.47895819,0.54178095,0.31462146,0.25503295,0.40556836,0.56279909,0.36611569,0.24046872,0.21489699,0.34143581,0.36851904,0.34166808,0.43376426,0.40441922,0.42591594,0.33968144,0.5060925,0.61298826,0.36380808,0.5295999,0.31850127,0.34136361,0.29947726,0.15360087,0.48656506,0.49278303,0.19404268,0.23933245,0.5186885
12,0,0.53532049,0.41327005,0.40317648,0.33918782,0.31763908,0.49509561,0.44927398,0.4074483,0.42700736,0.5135403,0.53503438,0.51075944,0.49958276,0.41606262,0.56416512,0.49725312,0.49742594,0.5263028,0.4235539,0.31829439,0.46871024,0.58054651,0.48335972,0.30491348,0.33796961,0.39581968,0.40292824,0.45350951,0.53064639,0.53689228,0.55403054,0.39117761,0.48098873,0.58596306,0.45828822,0.57347598,0.39132938,0.45233882,0.4357634,0.2498957,0.52074589,0.58334605,0.32774155,0.27762036,0.6648653
12,1,0.5891484,0.4473363,0.44097859,0.35101132,0.36566418,0.55727631,0.58754021,0.44766912,0.47883885,0.62821607,0.63877889,0.69030673,0.56788093,0.53818786,0.68666976,0.51570501,0.59131825,0.47327665,0.60539415,0.38256441,0.58172767,0.58880787,0.67525933,0.37424984,0.50456791,0.53865555,0.4526429,0.70709809,0.62403887,0.67033728,0.73475638,0.50190211,0.49825082,0.57612084,0.57668616,0.60117813,0.48977138,0.53287359,0.57449955,0.34496871,0.63243996,0.67470247,0.45500889,0.28495618,0.84070011
12,2,0.55493575,0.44603836,0.50393608,0.33334635,0.37842031,0.52497446,0.69106165,0.44815983,0.43715533,0.61959176,0.69745671,0.8173407,0.5789858,0.54774194,0.87813544,0.55083974,0.73671464,0.43230938,0.66773914,0.40850809,0.59688393,0.53269149,0.63095432,0.40957144,0.58837513,0.65884222,0.46454299,0.82230504,0.58287283,0.73655314,0.90975409,0.58816207,0.52033798,0.6479315,0.66190236,0.60573274,0.50173582,0.5979702,0.64500796,0.36859044,0.65249776,0.65776625,0.45606106,0.27279986,0.95515406
13,0,0.53516409,0.46770632,0.556861,0.3076064,0.38482136,0.49224931,0.67158508,0.46747284,0.36855341,0.57811762,0.62225996,0.76287365,0.56876354,0.48070209,0.91448052,0.55093678,0.75534232,0.38505211,0.58517041,0.40352506,0.61179128,0.55065128,0.55492253,0.41377674,0.54388925,0.61853838,0.38459164,0.80457395,0.47055344,0.60817462,0.8953066,0.55795252,0.463445,0.61906869,0.63322024,0.63239238,0.44215072,0.60614794,0.58787865,0.3297606,0.63144223,0.4904791,0.35815056,0.36628047,0.92805291
13,1,0.48969059,0.45041651,0.53863076,0.26399844,0.34212855,0.41488834,0.58276672,0.44762531,0.31671384,0.56629036,0.55824704,0.60745486,0.50259167,0.36086338,0.84460111,0.55725162,0.67224888,0.37053392,0.47467696,0.35001997,0.48682585,0.51083109,0.47002678,0.35274878,0.39760418,0.54691689,0.32288334,0.68646451,0.41510773,0.50044461,0.73504126,0.47926235,0.38937889,0.51589378,0.54236146,0.56924525,0.34801863,0.6065578,0.44040374,0.26873945,0.55797151,0.29311108,0.27414049,0.3296194,0.72734312
13,2,0.35235774,0.36559473,0.40632337,0.35002733,0.16355425,0.44462852,0.23783149,0.36538731,0.29399208,0.59437516,0.55295336,0.42524212,0.36203161,0.35472486,0.47893321,0.67336717,0.40999162,0.19761382,0.22409158,0.18065708,0.30969853,0.219857,0.32144073,0.15664014,0.13663652,0.49770629,0.18632239,0.53489186,0.42675961,0.29795066,0.36677282,0.2596304,0.29261785,0.23607851,0.4932265,0.53818281,0.35545301,0.56414677,0.28595138,0.17728221,0.44999312,0.22406164,0.19451689,0.12417457,0.29963704
14,0,0.52017569,0.43679775,0.51795403,0.54513081,0.42813473,0.5381915,0.45431702,0.43965124,0.52099943,0.69394854,0.75336758,0.50365626,0.45745808,0.57880455,0.45043599,0.69335672,0.64409413,0.38335162,0.40336484,0.45366487,0.59411819,0.37102506,0.3595898,0.18477039,0.32118952,0.54184292,0.4285153,0.56596081,0.6443346,0.53947722,0.51671126,0.45851697,0.4259413,0.31962671,0.61469237,0.68928452,0.58132938,0.61287489,0.59573675,0.35528956,0.5501273,0.52689197,0.50391227,0.30759995,0.53493305
14,1,0.83663947,0.69822743,0.82025254,0.9120656,0.78925957,0.82141293,0.84428311,0.7211707,0.83900703,0.85042006,0.98475686,0.79886405,0.68293348,0.91562619,0.58445269,0.78450399,0.92826137,0.72334979,0.72706617,0.81185341,0.83588089,0.69158998,0.58638294,0.4202015,0.80253566,0.78743918,0.82580223,0.79241064,0.88736798,0.88572492,0.8533275,0.74333101,0.67024904,0.71823167,0.89113068,0.92770316,0.89009314,0.89421638,0.89050592,0.60717195,0.75529829,0.87526701,0.86173681,0.53902629,0.90054848
14,2,0.99225817,0.88142193,0.81128539,1,0.88401117,0.97883521,0.94400487,0.87574483,0.94622786,0.9807036,0.94963135,0.9379832,0.79768114,0.98795066,0.83687384,0.92319176,1,0.83834339,0.91639927,0.91856401,0.84851111,0.81969418,0.79044645,0.8050668,0.95366831,0.93094032,1,0.88462364,0.96763836,1,1,0.84613005,0.8669582,0.89614201,0.91016386,1,0.98839966,0.99772298,1,0.80199662,0.90748641,1,0.95094843,0.63242886,0.98548153
