,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
12,1,11.612789,12.772789,13.992789,12.712789,12.712789,13.192789,11.932789,13.412789,10.995578,13.352789,12.312789,13.192789,13.252789,14.532789,12.652789,11.932789,14.572789,15.852789,11.532789,13.632789,11.732789,12.232789,12.972789,13.692789,13.372789,14.332789,10.132789,16.172789,10.772789,12.212789,10.992789,11.992789,15.232789,12.472789,13.232789,10.012789,12.052789,13.152789
12,2,12.015283,13.135283,14.395283,13.160567,13.075283,13.595283,12.315283,13.935283,11.415283,13.715283,12.855283,13.855283,13.595283,15.435283,13.315283,12.555283,14.975283,16.500567,12.015283,14.395283,12.155283,12.575283,13.415283,14.251134,13.975283,14.895283,11.135283,16.840567,11.095283,12.835283,11.415283,12.375283,15.880567,12.820567,13.755283,10.495283,12.395283,13.955283
13,0,12.284864,13.419728,14.679728,13.419728,13.319728,13.939728,12.579728,14.319728,11.699728,13.999728,13.139728,14.159728,13.879728,15.704864,13.599728,12.819728,15.319728,16.919728,12.379728,14.739728,12.379728,12.859728,13.699728,14.579728,14.519728,15.239728,11.439728,17.119728,11.353243,13.139728,11.675946,12.659728,16.359728,13.099728,14.039728,10.779728,12.699728,14.294864
13,1,12.559002,13.719002,15.019002,13.679002,13.639002,14.339002,12.894501,14.899002,12.079002,14.339002,13.494501,14.559002,14.199002,15.999002,13.939002,13.179002,15.719002,17.339002,12.699002,15.079002,12.659002,13.254501,14.019002,14.999002,14.999002,15.819002,11.734501,17.444501,11.634501,13.419002,11.919002,12.979002,16.799002,13.439002,14.439002,11.079002,13.079002,14.559002
13,2,12.961497,14.061497,15.412993,14.032993,13.941497,14.741497,13.221497,15.481497,12.441497,14.741497,13.821497,15.081497,14.541497,16.401497,14.292993,13.501497,16.101497,17.701497,13.241497,15.581497,12.881497,13.541497,14.361497,15.401497,15.552993,16.212993,12.037874,17.961497,11.961497,13.741497,12.261497,13.321497,17.252993,13.761497,14.812993,11.501497,13.421497,15.152993
14,0,13.251746,14.371746,15.710873,14.331746,14.191746,15.051746,13.511746,15.871746,12.711746,15.040873,14.111746,15.411746,14.831746,16.691746,14.590873,13.780873,16.411746,18.011746,13.511746,15.891746,13.111746,13.800873,14.651746,15.751746,15.891746,16.551746,12.260873,18.277249,12.251746,14.031746,12.511746,13.631746,17.671746,14.051746,15.111746,11.871746,13.640873,15.440873
14,1,13.56263,14.68263,16.00263,14.58263,14.44263,15.42263,13.82263,16.20263,13.00263,15.32263,14.426315,15.74263,15.16263,16.98263,14.90263,14.06263,16.80263,18.36263,13.82263,16.18263,13.36263,14.12263,14.96263,16.06263,16.22263,16.88263,12.48263,18.46263,12.54263,14.38263,12.76263,14.00263,18.00263,14.38263,15.46263,12.14263,13.96263,15.76263
14,2,13.796927,14.963855,16.263855,14.843855,14.663855,15.723855,14.083855,16.503855,13.196927,15.583855,14.666927,15.983855,15.423855,17.323855,15.163855,14.303855,17.103855,18.643855,14.003855,16.443855,13.556927,14.376927,15.243855,16.363855,16.483855,17.203855,12.703855,18.723855,12.803855,14.623855,13.023855,14.283855,18.263855,14.683855,15.723855,12.383855,14.243855,16.003855
15,0,14.142494,15.262494,16.582494,15.102494,14.902494,16.042494,14.362494,16.862494,13.462494,15.902494,14.922494,16.262494,15.702494,17.902494,15.442494,14.602494,17.422494,18.922494,14.262494,16.722494,13.762494,14.742494,15.522494,16.722494,16.942494,17.562494,12.902494,19.102494,13.082494,14.896247,13.262494,14.622494,18.622494,14.982494,15.982494,12.602494,14.542494,16.282494
15,1,14.473379,15.553379,16.913379,15.361689,15.193379,16.453379,14.681689,17.313379,13.773379,16.253379,15.261689,16.593379,16.033379,18.353379,15.833379,14.913379,17.833379,19.253379,14.593379,17.113379,13.993379,15.133379,15.853379,17.173379,17.273379,17.953379,13.153379,19.476757,13.381689,15.173379,13.493379,14.953379,18.973379,15.313379,16.333379,12.931689,14.833379,16.553379
