,,pid1263b-05,pid52932-20,pid5667269b-32,pid5667271-07,pid610003b-09,pid9048b-09,pid9050b-05,pid9054b-05,pid9055b-05,pid9056-06,pid9058b-05,pid9059b-09,pid9060b-03,pid9061b-02,pid9062b-08,pid9063b-09,pid9064-16,pid9066b-05,pid9069-05,pid9072b-09,pid9073b-09,pid9074g-05,pid9075b-05,pid9076-15,pid9077-03,pid9089-12,pid9093b-11,pid9094b-05,pid9099b-09,pid9101b-16,pid9103-16,pid9104b-05,pid9111b-07,pid9116-16,pid9118b-09,pid9124-14,pid9137-17,pid9138b-05,pid9139b-05,pid9153b-05,pid9166k-06,pid9170b-05,pid9174b-05,pid917518-07,pid9176-01,pid9185-03,pid918812-14,pid9192b-05
11,2,11.667528,12.287528,13.067528,13.887528,13.247528,11.727528,11.567528,11.367528,11.927528,11.087528,9.847528,11.429176,8.527528,10.887528,9.627528,13.207528,11.767528,10.647528,9.667528,10.627528,11.747528,13.867528,9.787528,9.007528,8.987528,11.887528,11.087528,11.487528,12.107528,11.967528,14.307528,11.667528,10.367528,10.467528,13.907528,10.447528,10.307528,10.487528,11.707528,10.967528,10.787528,11.247528,10.447528,10.487528,11.307528,13.387528,10.407528,11.747528
12,0,11.940363,12.580363,13.420363,14.320363,13.540363,11.980363,11.860363,11.640363,12.200363,11.360363,10.120363,11.700363,8.800363,11.160363,9.895181,13.520363,12.090726,10.920363,9.900363,10.900363,12.040363,14.340363,10.040363,9.160363,9.160363,12.160363,11.360363,11.780363,12.480363,12.280363,14.661088,11.940363,10.680363,10.740363,14.220363,10.760363,10.560363,10.700363,12.040363,11.340363,11.020363,11.560363,10.720363,10.760363,11.620363,13.811451,10.740363,12.020363
12,1,12.259637,12.899637,13.739637,14.679637,13.859637,12.259637,12.179637,11.939637,12.539637,11.679637,10.399637,12.019637,8.999637,11.439637,10.139637,13.839637,12.439637,11.199637,10.179637,11.219637,12.359637,14.739637,10.299637,9.379637,9.379637,12.499637,11.659637,12.079637,12.819637,12.579637,15.118186,12.239637,10.999637,11.059637,14.519637,11.039637,10.839637,10.979637,12.379637,11.639637,11.279637,11.879637,10.959637,11.054819,11.939637,14.169274,11.019637,12.319637
12,2,12.507937,13.238968,14.087937,15.067937,14.227937,12.567937,12.527937,12.247937,12.847937,12.027937,10.707937,12.447937,9.247937,11.735979,10.418968,14.187937,12.967937,11.474484,10.467937,11.567937,12.707937,15.227937,10.587937,9.607937,9.607937,12.827937,11.947937,12.427937,13.247937,12.927937,15.787937,12.627937,11.287937,11.367937,14.967937,11.315979,11.127937,11.207937,12.727937,11.967937,11.567937,12.227937,11.287937,11.367937,12.227937,14.827937,11.287937,12.647937
13,0,12.967166,13.647166,14.467166,15.467166,14.567166,12.947166,12.867166,12.587166,13.367166,12.527166,11.207166,12.927166,9.587166,12.087166,10.767166,14.567166,13.564331,11.818583,10.867166,11.907166,13.067166,15.707166,10.927166,9.867166,9.847166,13.187166,12.307166,12.961497,13.864331,13.367166,16.727166,13.107166,11.907166,11.647166,15.501497,11.707166,11.467166,11.527166,13.207166,12.387166,11.967166,12.567166,11.549595,12.887166,12.587166,15.687166,11.687166,13.027166
13,1,13.31288,13.99288,14.79288,15.83288,14.93288,13.23288,13.23288,12.91572,13.77288,12.89288,11.57288,13.33288,9.81288,12.38144,11.104293,14.87288,13.91288,12.11288,11.25288,12.27288,13.43288,16.05288,11.17288,10.13288,10.13288,13.51288,12.65288,13.45288,14.33288,13.73288,17.35288,13.49288,12.19288,11.99288,16.05288,11.99288,11.76144,11.81288,13.55288,12.65288,12.33288,12.95288,11.87288,15.53288,12.89288,16.11288,11.95288,13.41288
13,2,13.754059,14.434059,15.234059,16.274059,15.314059,13.634059,13.614059,13.254059,14.234059,13.334059,11.994059,13.754059,10.074059,12.674059,11.414059,15.314059,14.314059,12.434059,11.634059,12.714059,13.814059,16.574059,11.514059,10.354059,10.354059,13.934059,12.994059,13.894059,14.694059,14.174059,17.794059,13.934059,12.634059,12.434059,16.514059,12.414059,12.074059,12.154059,13.974059,13.014059,12.614059,13.374059,12.254059,17.514059,13.274059,16.494059,12.354059,13.854059
14,0,13.812698,14.692698,15.512698,16.592698,15.592698,13.941349,13.892698,13.532698,14.592698,13.612698,12.192698,14.132698,10.301349,12.932698,11.632698,15.592698,14.592698,12.712698,11.91054,12.932698,14.092698,16.972698,11.752698,10.591349,10.591349,14.172698,13.192698,14.104233,15.072698,14.512698,18.152698,14.212698,12.912698,12.552698,16.872698,12.664233,12.332698,12.417566,14.252698,13.292698,12.892698,13.652698,12.532698,17.812698,13.550899,16.852698,12.621349,14.132698
14,1,14.129388,15.009388,15.869388,16.969388,15.889388,14.249388,14.209388,13.829388,14.929388,13.949388,12.469388,14.449388,10.549388,13.209388,11.929388,15.969388,15.008776,12.969388,12.129388,13.269388,14.409388,17.309388,12.049388,10.789847,10.789796,14.509388,13.509388,14.389388,15.388776,14.829388,18.549388,14.569388,13.169388,12.829388,17.369388,12.969388,12.609388,12.689388,14.569388,13.609388,13.229388,13.989388,12.809388,18.289388,13.849388,17.209388,12.929388,14.468776
14,2,14.516922,15.377687,16.273844,17.317687,16.197687,14.597687,14.497687,14.097687,15.257687,14.297687,12.717687,14.761922,10.783844,13.577687,12.177687,16.373844,15.357687,13.359229,12.417687,13.657687,14.697687,17.617687,12.317687,11.043844,11.025896,14.857687,13.857687,14.677687,15.737687,15.177687,19.017687,14.995537,13.517687,13.137687,17.717687,13.237687,12.917687,12.997687,14.917687,13.877687,13.497687,14.297687,13.082527,20.157687,14.197687,17.597687,13.197687,14.826922
15,0,14.765351,15.685351,16.565351,17.665351,16.540703,14.845351,14.840703,14.365351,15.565351,14.605351,13.025351,15.045351,11.045351,13.825351,12.485351,16.605351,15.765351,13.485351,12.665351,13.945351,15.025351,17.945351,12.585351,11.245351,11.245351,15.105351,14.105351,14.985351,16.105351,15.465351,19.325351,15.245351,13.785351,13.385351,18.045351,13.545351,13.165351,13.20907,15.205351,14.205351,13.725351,14.605351,13.305351,20.465351,14.505351,17.885351,13.505351,15.065351
15,1,15.076236,15.996236,16.936236,18.056236,16.936236,15.196236,15.273118,14.696236,15.876236,14.936236,13.316236,15.376236,11.316236,14.096236,12.756236,16.942472,16.116236,13.796236,12.976236,14.256236,15.436236,18.356236,12.816236,11.476236,11.476236,15.416236,14.423118,15.253118,16.456236,15.776236,19.676236,15.576236,14.096236,13.656236,18.456236,13.916236,13.478745,13.476236,15.536236,14.536236,13.996236,14.936236,13.636236,20.796236,14.836236,18.376236,13.876236,15.436236
15,2,15.401315,16.341315,17.281315,18.481315,17.261315,15.501315,15.581315,15.001315,16.241315,15.261315,13.605658,15.721315,11.661315,14.421315,13.041315,17.301315,16.541315,14.181315,13.301315,14.581315,15.761315,18.761315,13.141315,11.741315,11.725658,15.761315,14.741315,15.561315,16.821315,16.121315,20.21263,15.901315,14.421315,13.947105,18.781315,14.168263,13.741315,13.781315,15.921315,14.861315,14.321315,15.301315,14.021315,21.081315,15.161315,18.841315,14.128263,15.801315
16,0,15.698005,16.678005,17.658005,18.838005,17.598005,15.838005,15.918005,15.298005,16.558005,15.598005,13.898005,16.078005,11.958005,14.678005,13.338005,17.638005,16.898005,14.518005,13.638005,14.918005,16.098005,19.118005,13.424002,11.994002,11.966002,16.098005,15.018005,15.858005,17.238005,16.418005,20.738005,16.258005,14.778005,14.238005,19.118005,14.498005,14.038005,14.058005,16.258005,15.218005,14.598005,15.638005,14.318005,21.398005,15.498005,19.198005,14.458005,16.118005
