,,pid1263-22,pid50848-09,pid5667269b-36,pid9048-22,pid9049-22,pid9054-22,pid9055-22,pid9058-22,pid9059-22,pid9060-22,pid9061-22,pid9062-22,pid9063-22,pid9065-17,pid9066-22,pid9067-21,pid9068-14,pid9070b-05,pid9072-22,pid9073-24,pid9074f-22,pid9075-22,pid9080-05,pid9090-10,pid9092-02,pid9093-22,pid9094-22,pid9097-05,pid9099-22,pid9101b-04,pid9104-22,pid9105b-05,pid9111-22,pid9112-08,pid9114-30,pid9118-22,pid9133-11,pid9137-12,pid9138-22,pid9139-22,pid9153-22,pid9166g-01,pid9170-22,pid9174-22,pid917509-03,pid918713-18,pid918904-07,pid9192-22
13,1,25.72068,20.88068,27.34068,28.70068,21.138835,24.14068,28.80068,20.98068,24.58068,26.18068,26.512136,27.58068,28.96534,25.46068,26.86068,19.02068,26.54068,23.47356,28.66068,29.78068,23.34068,21.72068,23.80068,24.96534,24.26068,24.235334,26.42068,19.10068,23.266893,23.72068,25.96534,29.26068,30.34068,16.909283,22.508964,23.84068,26.52068,25.18068,23.70068,29.38068,34.00068,24.60068,28.56068,21.708136,19.88534,22.24534,22.66068,27.52068
13,2,26.525578,21.685578,28.367789,29.645578,21.885578,25.265578,29.345578,21.805578,25.645578,26.785578,28.085578,28.645578,29.817789,26.505578,27.905578,19.625578,27.525578,24.205578,29.865578,30.845578,23.988526,22.745578,24.385578,25.699263,25.345578,24.952596,27.325578,19.485578,24.325578,24.785578,26.985578,30.525578,31.465578,17.341116,23.488526,24.745578,27.725578,25.765578,24.505578,30.505578,35.225578,25.325578,29.625578,22.605578,20.297116,22.985578,23.573895,28.565578
14,0,27.442766,22.362766,29.062766,30.802766,22.382766,26.702766,30.082766,22.456383,26.622766,27.362766,29.122766,29.356383,30.682766,27.422766,28.702766,20.262766,28.426383,25.018794,30.982766,31.782766,24.702766,23.662766,24.822766,26.282766,26.342766,25.682766,28.082766,19.882766,25.422766,25.342766,28.346599,31.662766,32.082766,17.853192,23.782766,25.636383,28.582766,26.682766,25.142766,31.582766,36.542766,26.116383,30.582766,23.182766,20.842766,23.622766,24.242766,29.322766
14,1,28.114195,22.834195,29.671049,31.514195,22.954195,27.414195,30.674195,22.938065,27.274195,28.036049,29.811398,29.994195,31.394195,28.154195,29.234195,20.762098,29.094195,25.514195,31.914195,32.594195,25.154195,24.314195,25.494195,26.954195,26.934195,26.134195,28.834195,20.214195,26.114195,25.814195,29.134195,32.354195,32.974195,18.262098,24.411049,26.394195,29.034195,27.214195,25.674195,32.234195,37.374195,26.714195,31.254195,23.794195,21.294195,24.094195,24.714195,29.934195
14,2,28.734014,23.434014,30.266003,32.134014,23.334014,28.174014,31.294014,23.534014,27.751338,28.574014,30.414014,30.774014,31.934014,28.874014,29.894014,21.191338,29.734014,26.054014,32.594014,33.214014,25.691338,24.654014,26.114014,27.494014,27.314014,26.434014,29.274014,20.614014,26.574014,26.354014,29.734014,33.034014,33.814014,18.594014,24.834014,26.934014,29.754014,27.914014,26.172007,32.874014,38.214014,27.214014,31.814014,24.574014,21.714014,24.672007,25.254014,30.374014
15,0,29.317732,23.857732,30.877732,32.845465,23.737732,28.797732,31.817732,23.977732,28.237732,29.117732,30.977732,31.297732,32.477732,29.477732,30.297732,21.617732,30.405465,26.457732,33.277732,33.825465,26.177732,25.117732,26.597732,27.977732,27.677732,26.797732,29.797732,21.023866,27.037732,26.757732,30.345465,33.657732,34.277732,18.917732,25.237732,27.359244,30.197732,28.397732,26.597732,33.437732,38.997732,27.757732,32.317732,24.997732,22.097732,25.077732,25.657732,30.777732
15,1,29.906621,24.288874,31.486621,33.446621,24.186621,29.266621,32.266621,24.388874,28.748311,29.626621,31.546621,31.846621,33.026621,30.046621,30.766621,21.989324,31.006621,26.946621,33.926621,34.466621,26.588311,25.558311,27.088311,28.586621,28.106621,27.19554,30.358311,21.329437,27.548311,27.166621,30.966621,34.366621,34.726621,19.228311,25.666621,27.846621,30.546621,28.906621,27.046621,33.908874,39.606621,28.326621,32.786621,25.466621,22.542207,25.448874,26.048311,31.286621
15,2,30.44907,24.82907,32.10907,33.96907,24.529535,29.72907,32.769535,24.92907,29.183023,30.16907,32.10907,32.388141,33.54907,30.56907,31.16907,22.48907,31.52907,27.309535,34.48907,35.04907,27.08907,25.949535,27.529535,28.989535,28.46907,27.509535,30.76907,21.729535,27.98907,27.569535,31.449535,35.30907,35.32907,19.54907,26.12907,28.28907,31.12907,29.36907,27.46907,34.409535,40.16907,28.82907,33.269535,25.98907,22.969535,25.88907,26.449535,31.72907
16,0,30.973469,25.253469,32.633469,34.553469,24.833469,30.153469,33.173469,25.353469,29.573469,30.633469,32.573469,32.856939,34.016939,31.033469,31.533469,22.873469,32.016939,27.713469,35.076939,35.653469,27.513469,26.313469,27.933469,29.393469,28.793469,27.833469,31.193469,21.933469,28.433469,27.993469,31.896939,35.953469,35.713469,19.873469,26.473469,28.713469,31.493469,29.813469,27.833469,34.893469,40.633469,29.376939,33.673469,26.373469,23.353469,26.233469,26.813469,32.153469
16,1,31.521088,25.661088,33.221088,35.061088,25.261088,30.601088,33.581088,25.761088,30.081088,31.161088,33.092177,33.401088,34.541088,31.521088,31.896218,23.261088,32.541088,28.181088,35.581088,36.221088,27.961088,26.801088,28.321088,29.901088,29.261088,28.201088,31.861088,22.201088,28.941088,28.381088,32.401088,36.592177,36.181088,20.161088,26.861088,29.221088,31.821088,30.301088,28.261088,35.381088,41.101088,29.921088,34.201088,26.821088,23.821088,26.621088,27.281088,32.641088
16,2,32.035147,26.195147,33.795147,35.575147,25.655147,31.035147,34.095147,26.295147,30.515147,31.935147,33.735147,34.135147,35.035147,32.055147,32.335147,23.715147,33.095147,28.595147,36.155147,36.815147,28.635147,27.215147,28.735147,30.315147,29.675147,28.555147,32.575147,22.642574,29.415147,28.815147,32.875147,37.355147,36.715147,20.515147,27.255147,29.675147,32.255147,30.735147,28.655147,35.875147,41.595147,30.475147,34.755147,27.315147,24.275147,27.035147,27.655147,33.075147
17,0,32.591156,26.691156,34.431156,36.151156,26.031156,31.391156,34.511156,26.791156,30.971156,32.411156,34.271156,34.711156,35.491156,32.531156,32.691156,24.111156,33.591156,29.071156,36.691156,37.511156,29.030578,27.611156,29.211156,30.731156,30.091156,28.891156,32.960578,23.031156,29.891156,29.231156,33.271156,38.111156,37.191156,20.891156,27.571156,30.151156,32.591156,31.171156,29.011156,36.351156,42.051156,31.031156,35.171156,27.771156,24.731156,27.391156,28.051156,33.531156
17,1,33.184535,27.164535,35.424535,36.764535,26.684535,31.884535,35.024535,27.284535,31.744535,33.084535,34.864535,35.524535,36.044535,33.204535,33.224535,24.644535,34.204535,29.684535,37.284535,38.264535,29.444535,28.304535,29.924535,31.344535,30.764535,29.344535,33.624535,23.467268,30.764535,29.824535,34.024535,39.084535,37.844535,21.464535,27.924535,30.804535,33.024535,31.684535,29.504535,37.004535,42.624535,31.664535,35.904535,28.37907,25.184535,27.804535,28.644535,34.324535
17,2,33.696644,27.656644,36.136644,37.476644,27.236644,32.463288,35.896644,27.756644,32.516644,33.696644,35.576644,36.336644,36.656644,33.796644,33.796644,25.156644,34.716644,30.236644,37.876644,39.023288,29.896644,29.036644,30.656644,31.976644,31.376644,29.916644,34.396644,23.976644,31.516644,30.436644,34.716644,40.236644,38.496644,22.036576,28.456644,31.363322,33.603322,32.116644,29.896644,37.556644,43.136644,32.296644,36.676644,28.923322,25.616644,28.186661,29.276644,35.056644
18,0,34.675193,28.092596,36.795193,38.375193,27.815193,33.115193,37.275193,28.192596,33.355193,34.215193,36.275193,37.075193,37.215193,34.435193,34.195193,25.875193,35.375193,30.675193,38.555193,39.675193,30.555193,29.755193,31.135193,32.655193,31.815193,30.315193,34.935039,24.615193,32.155193,31.012596,35.155193,41.515193,39.295193,22.574199,29.475193,31.832596,34.042596,32.575193,30.315193,38.072596,43.655193,33.095193,37.595193,29.403766,26.012596,28.638398,30.195193,35.515193
18,1,35.571791,28.693583,37.411791,39.051791,28.411791,33.831791,37.993583,28.793583,34.131791,34.778957,36.931791,37.651791,37.791791,35.131791,34.651791,26.490896,36.051791,31.131791,39.091791,40.391791,31.011791,30.491791,31.651791,33.431791,32.191791,30.771791,35.471791,25.185224,32.971791,31.690896,35.991791,42.291791,39.871791,23.051791,30.131791,32.291791,34.451791,33.180896,30.72393,38.691791,44.351791,33.711791,38.291791,29.931791,26.451791,29.131791,30.780896,36.273583
