,measure_number,beat_number,pid1263b-18,pid51495-02,pid5667269b-34,pid5667271-03,pid5667285b-09,pid610003b-22,pid9048b-18,pid9049b-18,pid9050b-20,pid9053-21,pid9054b-20,pid9055b-18,pid9057f-03,pid9058b-18,pid9059b-22,pid9061b-15,pid9062b-21,pid9063b-24,pid9066b-18,pid9067-26,pid9068-23,pid9069-18,pid9072b-22,pid9073b-24,pid9074g-18,pid9075b-18,pid9085-19,pid9088-24,pid9098-04,pid9099b-24,pid9101c-14,pid9104b-18,pid9116-15,pid9118b-24,pid9121-08,pid9130-13,pid9139b-20,pid9153b-20,pid9166-11,pid9170b-20,pid9173-01,pid9174b-18,pid918712-15,pid918726-07,pid918904-14,pid9190-12,pid9192b-20
232,79,0,163.65361000000001,168.51361,160.71361000000002,169.23361,150.6936,185.4136,152.45361,146.73361,185.27361000000002,134.79361,155.09361,161.77361000000002,158.31361,169.17361,148.92672,149.5736,162.27361000000002,178.89361,181.8618,121.8512,143.51361,194.65361000000001,177.08442,182.71361000000002,137.61361000000002,133.1936,163.6336,177.83361000000002,145.45361,133.8536,164.6936,158.0736,177.29361,164.99361000000002,155.93361000000002,241.99361000000002,171.9736,142.6936,138.27361000000002,152.43361000000002,138.9736,140.93361000000002,123.2536,156.23361,148.55361000000002,155.17361,150.09361
233,79,1,164.45605,169.27605,161.45605,169.99605,151.31605,186.23605,153.15605,147.57605,186.09605,135.39605,155.85605,162.53605,158.85605,170.05605,149.85605,150.25605,162.84211000000002,179.55605,182.65605,122.23605,144.05605,195.53605,177.83605,183.49605,138.13605,133.71605,164.31605,178.75605,146.05605,134.41605,165.33605,158.69605,177.99605,165.61605,156.45605,242.83605,172.71605,143.33605,138.91605,153.05605,139.51605,141.57605,123.79605,156.97605,149.19605,155.83605,150.61605
234,79,2,164.88848000000002,169.96848,162.24848,170.66848000000002,151.92848,186.96848,153.84848,148.04848,186.80848,135.96848,156.56848,163.32848,159.96848,170.66848000000002,150.48696,150.98848,163.60848000000001,180.26848,183.50848,122.72848,144.64848,196.30848,178.42848,184.22848,138.74848,134.24848,165.02848,179.32848,146.60848000000001,134.96848,165.96848,159.30848,178.74848,166.16848000000002,157.06848,243.72848,173.36848,144.00848,139.52848,153.74848,140.02848,142.22848,124.32848,157.72848,149.70848,156.46848,151.20848
235,80,0,165.50739,170.68739,162.92739,171.38738999999998,152.58739,187.72738999999999,154.44738999999998,148.62739,187.58739,136.46739,157.24739,164.06739,160.72738999999999,171.24739,151.14739,151.66738999999998,164.38738999999998,180.94738999999998,184.08739,123.08738999999998,145.16738999999998,197.10738999999998,179.02739,184.96739,139.28739,134.6987,165.66738999999998,179.82738999999998,147.14739,135.38738999999998,166.58739,159.92739,179.36739,166.66738999999998,157.54738999999998,244.66738999999998,173.98739,144.66738999999998,140.08739,154.22738999999999,140.48739,142.74739,124.80738999999998,158.38738999999998,150.22738999999999,157.06739,151.6587
236,80,1,166.18984,171.40984,163.60984,172.12984,153.18984,188.50984,155.10984,149.26984,188.40984,137.04984,157.94984,164.74983999999998,161.52983999999998,171.86983999999998,151.74983999999998,152.30983999999998,164.92983999999998,181.64983999999998,184.76984,123.44984,145.70983999999999,197.86983999999998,179.72984,185.76984,139.82984,135.24983999999998,166.30983999999998,180.32984,147.68984,135.86992,167.22984,160.52983999999998,180.00984,167.24983999999998,158.06984,245.66984,174.62984,145.26984,140.66984,154.80983999999998,140.92983999999998,143.30983999999998,125.26983999999999,158.96983999999998,150.72984,157.70983999999999,152.16984
237,80,2,166.82068,172.06068,164.34068,172.78068000000002,153.78068000000002,189.18068,155.72068000000002,149.82068,189.02068,137.60068,158.52068,165.42068,162.28068000000002,172.44068000000001,152.34068,152.82068,165.61136000000002,182.36068,185.36068,123.86068,146.24068,198.60068,180.36068,186.40068,140.24068,135.76068,166.76068,180.81534,148.24068,136.34068,167.78068000000002,161.16068,180.74068,167.84068,158.58068,246.60884,175.32068,145.82068,141.18068,155.34068,141.41534,143.80068,125.78068,159.58068,151.34068,158.32068,152.38942
238,81,0,167.51728,172.75728,164.97728,173.47728,154.47728,189.95728,156.43728000000002,150.47728,189.71728000000002,138.21728000000002,159.17728,166.07728,163.01728,173.29728,153.05728,153.45728,166.51728,183.07728,186.23728,124.31728000000001,146.81728,199.71728000000002,181.71728000000002,187.09728,140.83728,136.33728,167.73728,181.45728,148.87728,136.91728,168.53728,161.89728,181.57728,168.61728,159.27728000000002,247.75727999999998,176.08364,146.55728,141.87728,156.00364,141.87728,144.43728000000002,126.31728000000001,160.25728,152.03728,159.09728,153.53728
239,81,1,168.91316,173.64803,165.72803000000002,174.34803,155.00803,190.84803,157.02803,151.18901,190.68803,138.96803,159.90803,166.68803,163.88803000000001,173.98803,153.58803,154.08803,167.28803,183.74803,186.96803,124.7965,147.36803,200.74803,182.46803,188.02803,141.38161000000002,136.85543,168.52803,182.06803,149.46803,137.44803000000002,169.16803000000002,162.48803,182.46803,169.18803,160.14803,248.82802999999998,176.84803,147.14803,142.38951,156.44951,142.352,145.18803,126.84803000000001,160.98803,152.72803000000002,159.90803,154.21301
240,81,2,168.98853,174.22853,166.42853,174.92853,155.58853,191.56853,157.62853,151.76853,191.46853000000002,139.54853,160.58853,167.26705,164.53926,174.56853,154.15926000000002,154.68853000000001,167.84853,184.46853000000002,187.52853000000002,124.84853000000001,147.88853,201.68853000000001,183.36853,188.78853,141.89926,137.34853,169.10853,182.60853,149.94853,137.88853,169.70853,163.06853,183.14853,169.76853,160.72853,249.72852999999998,177.42853,147.72853,142.96853000000002,156.98926,142.77926000000002,145.78853,127.30853,161.62853,153.26853,160.40853,154.70853
241,82,0,169.68553,175.08318,167.34318000000002,175.78318000000002,156.24318,192.36318,158.32317,152.58318,192.18318,140.31829,161.42317,168.00318000000001,165.30318,175.24773000000002,154.80318,155.32317,168.56829,185.28318000000002,188.24318,125.54318,148.58318,202.70317,184.44318,189.54317,142.48317,137.98317,169.75829,183.32317,150.52318,138.44659,170.46318,163.64659,183.76317,170.34318000000002,161.48317,250.94317999999998,178.10317,148.40318,143.52318,157.72318,143.32317,146.42317,127.89828999999999,162.36318,153.76828999999998,161.12318,155.12318
