,measure_number,beat_number,pid1263-27,pid52932-13,pid610003b-03,pid9048b-03,pid9049-28,pid9050-28,pid9054-28,pid9055-27,pid9058-28,pid9059b-03,pid9060-28,pid9061-28,pid9062b-02,pid9063b-03,pid9066-28,pid9070b-11,pid9071b-06,pid9072b-03,pid9073b-03,pid9074f-28,pid9075-28,pid9093b-02,pid9094-27,pid9099b-03,pid9101b-10,pid9104-28,pid9105b-10,pid9111b-01,pid9118b-03,pid9137-15,pid9138-28,pid9139-27,pid9153-27,pid9166h-04,pid9170-27,pid9174-28,pid917520g-11,pid9176-10,pid9192-28
167,56,2,48.881633,51.081633000000004,58.701632999999994,50.381633,46.441633,56.461633,49.601633,56.201632999999994,48.201633,49.801633,51.941633,54.161632999999995,47.841633,52.401633000000004,60.761632999999996,47.741633,52.701632999999994,47.421633,55.701632999999994,57.721633,44.981633,47.181633000000005,47.801633,56.001633,53.141633,59.681633,65.701633,57.961633,55.341632999999995,49.761633,50.181633000000005,58.001633,46.901633000000004,47.941633,54.861633,47.121633,67.561633,48.281633,57.201632999999994
168,57,0,49.056416999999996,51.256417,58.976417000000005,50.556416999999996,46.576417,56.736417,49.736416999999996,56.416417,48.416416999999996,50.016417,52.196417,54.376417000000004,48.036417,52.616417000000006,60.996417,47.956417,52.89641700000001,47.656417,55.956417,57.956417,45.156417,47.416416999999996,47.996417,56.256417000000006,53.316417,59.916417,65.913209,58.176417,55.516417000000004,49.976417,50.396417,58.21641700000001,47.136417,48.136417,55.096417,47.316417,67.836417,48.516417,57.516417000000004
169,57,1,49.499546,51.539546,59.339546,50.799546,46.839546,57.099546,50.019546000000005,56.799546,48.799546,50.319546,52.539545999999994,54.719545999999994,48.339546,52.999545999999995,61.379546,48.239546000000004,53.25954599999999,48.119546,56.339546,58.25954599999999,45.459546,47.699546000000005,48.299546,56.799546,53.779545999999996,60.479546,66.259546,58.539545999999994,55.999545999999995,50.279546,50.819546,58.57954599999999,47.439546,48.479546,55.479546,47.699546000000005,68.259546,48.813182,58.059546
170,57,2,49.721406,51.801406,59.62140600000001,51.041406,47.101406,57.40140600000001,50.281406,57.061406000000005,49.081406,50.601406,52.80140600000001,55.021406000000006,48.581406,53.30140600000001,61.672812,48.521406,53.541406,48.381406,56.601406000000004,58.541406,45.681406,47.941406,48.581406,57.101406000000004,54.021406000000006,60.781406000000004,66.521406,58.841406000000006,56.26140600000001,50.561406,51.121406,58.881406000000005,47.701406,48.761406,55.781406000000004,47.881406,68.581406,49.041406,58.381406000000005
171,58,0,49.95941,52.03941,59.979409999999994,51.27941,47.299409999999995,57.759409999999995,50.53941,57.299409999999995,49.31941,50.85941,53.03941,55.31941,48.81941,53.53941,61.95941,48.759409999999995,53.77941,48.619409999999995,56.91941,58.77941,45.91941,48.17941,48.83941,57.399409999999996,54.299409999999995,61.03941,66.77941,59.09941,56.45941,50.899409999999996,51.33941,59.119409999999995,47.939409999999995,49.018231,56.09941,48.119409999999995,68.81940999999999,49.299409999999995,58.67941
172,58,1,50.18322,52.28322,60.243219999999994,51.48322,47.50322,58.00322,50.80322,57.54322,49.56322,51.14322,53.28321999999999,55.60321999999999,49.083220000000004,53.78321999999999,62.243219999999994,49.02322,54.04322,48.82322,57.203219999999995,59.08322,46.14322,48.38322,49.06322,57.663219999999995,54.523219999999995,61.32321999999999,67.02322,59.343219999999995,56.68322,51.16322,51.583220000000004,59.42321999999999,48.14322,49.32322,56.343219999999995,48.32322,69.08322,49.56322,58.94322
173,58,2,50.40381,52.463809999999995,60.48381,51.643809999999995,47.72381,58.22381,51.006904999999996,57.76381,49.783809999999995,51.417619,53.503809999999994,55.823809999999995,49.283809999999995,54.003809999999994,62.58381,49.243809999999996,54.283809999999995,49.02381,57.423809999999996,59.30381,46.377619,48.62381,49.26381,57.90381,54.80381,61.611429,67.24381,59.62381,56.90381,51.38381,51.80381,59.66381,48.36381,49.54381,56.603809999999996,48.54381,69.36381,49.80381,59.20381
174,59,0,50.785669,52.765668999999995,60.845668999999994,51.925669,47.965669,58.60566899999999,51.285669,58.10566899999999,50.045669000000004,51.725669,53.825669,56.20566899999999,49.585669,54.305668999999995,62.945668999999995,49.525669,54.585668999999996,49.325669,57.805668999999995,59.585668999999996,46.605669,48.865669,49.465669,58.305668999999995,55.125668999999995,62.001338,67.525669,59.96566899999999,57.20566899999999,51.685669,52.105669,60.041338,48.625669,49.805669,56.945668999999995,48.765669,69.84133800000001,50.105669,59.485668999999994
175,59,1,51.239138,53.099138,61.319138,52.239138,48.259138,59.059138,51.659138,58.459138,50.299138,52.039138,54.159138,56.599138,49.859138,54.619138,63.359138,49.839138,55.079138,49.739138,58.219138,59.879138,46.919138000000004,49.179138,49.759138,58.619138,55.588277000000005,62.459138,67.92827700000001,60.279138,57.599138,52.019138,52.439138,60.399138,48.939138,50.099138,57.319138,49.039138,70.208277,50.359138,59.899138
176,59,2,51.525533,53.32553299999999,61.565532999999995,52.46553299999999,48.465533,59.32553299999999,51.905533,58.68553299999999,50.525533,52.285533,54.425532999999994,56.905533,50.085533,54.845532999999996,63.925532999999994,50.065533,55.445533,49.965533,58.50553299999999,60.125533,47.145533,49.405533,49.985533000000004,58.885532999999995,55.82553299999999,62.705532999999996,68.225533,60.545533,57.82553299999999,52.285533,52.665532999999996,60.64553299999999,49.185533,50.325533,57.605532999999994,49.245533,70.505533,50.585533,60.14553299999999
