,,pid1263-15,pid52932-08,pid6100021-11,pid9048-15,pid9049-15,pid9050-15,pid9054-15,pid9055-15,pid9058-15,pid9059-15,pid9060-15,pid9061-15,pid9062-15,pid9063-15,pid9065-10,pid9066-15,pid9067-15,pid9068-10,pid9070-23,pid9072-15,pid9074f-15,pid9075-15,pid9078-07,pid9081-03,pid9088-10,pid9089-08,pid9091-22,pid9093-15,pid9094-15,pid9098-02,pid9099-15,pid9100b-11,pid9101-15,pid9104-15,pid9105-15,pid9111-15,pid9116-06,pid9118-15,pid9126-03,pid9128-11,pid9137-09,pid9138-15,pid9139-15,pid9153-15,pid915410b-22,pid9161-13,pid9166e-08,pid9170-15,pid9173-20,pid9174-15,pid917509-04,pid917813-03,pid9179-07,pid9186c-15,pid918904-03,pid9192-15
11,0,9.634694,9.614694,11.374694,11.834694,10.574694,12.574694,9.374694,12.454694,9.592347,10.192347,11.834694,11.994694,11.134694,11.494694,11.494694,12.074694,11.192347,12.534694,8.974694,9.911565,12.534694,9.454694,11.234694,11.674694,9.994694,14.894694,13.334694,10.774694,10.841173,10.434694,9.854694,12.674694,12.078231,10.694694,8.954694,13.234694,10.114694,11.434694,10.198231,10.834694,8.886939,12.774694,9.414694,9.970939,12.594694,11.714694,9.774694,11.734694,10.994694,10.312347,14.594694,11.434694,9.494694,13.554694,13.094694,12.134694
11,1,9.993878,9.993878,11.653878,12.133878,10.813878,13.031939,9.733878,12.933878,9.853878,10.473878,12.34102,12.353878,11.493878,11.833878,11.833878,12.493878,11.513878,12.893878,9.190969,10.173878,13.013878,9.713878,11.573878,12.061939,10.293878,15.273878,13.753878,11.193878,11.113878,10.733878,10.230776,13.113878,12.373878,11.053878,9.273878,13.593878,10.433878,11.797755,10.533878,11.193878,9.221939,13.233878,9.753878,10.253878,12.953878,12.093878,10.253878,12.121633,11.261939,10.513878,14.953878,11.853878,9.753878,13.913878,13.493878,12.513878
11,2,10.153367,10.117789,11.983367,12.443367,11.078912,13.316735,9.883367,13.236735,10.218912,10.836735,12.876735,12.703367,11.836735,12.163367,12.136735,12.823367,11.896735,13.205578,9.472245,10.481684,13.396735,10.015347,11.874456,12.336735,10.785578,15.816735,14.103367,11.496735,11.596735,11.056735,10.413367,13.456735,12.656735,11.396735,9.505578,14.456735,10.736735,12.132245,10.876735,11.683367,9.476735,13.643367,10.136735,10.543367,13.203347,12.576735,10.476735,12.516735,11.516735,10.983367,15.296735,12.163367,10.016676,14.376735,13.863367,12.832245
12,0,10.430612,10.350612,12.190612,12.710612,11.310612,13.610612,10.070612,13.450612,10.390612,11.070612,13.170612,12.890612,12.130612,12.350612,12.430612,13.030612,12.150612,13.410612,9.610612,10.670612,13.730612,10.230612,12.090612,12.590612,10.990612,16.170612,14.370612,11.750612,11.810612,11.270612,10.590612,13.710612,12.930612,11.610612,9.690612,14.830612,10.950612,12.391224,11.090612,11.950612,9.690612,13.870612,10.310612,10.750612,13.470612,12.890612,10.710612,12.770612,11.710612,11.210612,15.590612,12.350612,10.230612,14.630612,14.070612,13.030612
12,1,10.677143,10.595429,12.537143,13.017143,11.553571,13.937143,10.297143,13.717143,10.717143,11.377143,13.517143,13.177143,12.457143,12.637143,12.597143,13.357143,12.457143,13.737143,9.857143,10.99119,14.057143,10.497143,12.357143,12.837143,11.232381,16.557143,14.677143,11.977143,12.133571,11.557143,10.877143,14.017143,13.197143,11.873571,9.977143,15.157143,11.257143,12.757143,11.417143,12.257143,9.963571,14.183571,10.577143,10.997143,13.797143,13.237143,10.997143,13.117143,11.997143,11.477143,15.937143,12.677143,10.443571,15.077143,14.397143,13.337143
12,2,11.074286,10.954286,13.014286,13.350857,11.896327,14.454286,10.614286,14.234286,11.034286,11.774286,13.954286,13.614286,12.914286,12.964762,13.034286,13.862143,12.822143,14.142143,10.154286,11.294286,14.554286,10.854286,12.754286,13.294286,11.642143,17.034286,15.134286,12.394286,12.574286,12.134286,11.274286,14.594286,13.614286,12.244762,10.244762,15.634286,11.574286,13.234286,11.812143,12.714286,10.234286,14.614286,10.934286,11.414286,14.136327,13.774286,11.321071,13.654286,12.454286,11.974286,16.342143,13.056071,10.810857,15.554286,14.874286,13.802143
13,0,11.390612,11.250612,13.490612,13.670612,12.210612,14.970612,10.890306,14.670612,11.430612,12.110612,14.350612,14.010612,13.330612,13.310612,13.410612,14.250612,13.210612,14.550612,10.450612,11.610612,15.071837,11.210612,13.090612,13.750612,12.010612,17.450612,15.550612,12.730612,12.910612,12.550612,11.770612,15.010612,13.930612,12.550612,10.550153,16.050612,11.870612,13.650612,12.170612,13.110612,10.510612,14.970612,11.230612,11.756871,14.410612,14.350612,11.630612,14.050612,12.850612,12.390612,16.710612,13.390612,11.090612,15.970612,15.210612,14.070612
13,1,11.693469,11.593469,13.833469,14.053469,12.533469,15.333469,11.193469,15.013469,11.753469,12.473469,14.873469,14.393469,13.673469,13.673469,13.773469,14.673469,13.533469,14.893469,10.753469,11.873469,15.653469,11.541735,13.413469,14.053469,12.353469,17.833469,15.993469,13.073469,13.233469,13.053469,12.120408,15.436939,14.293469,12.893469,10.833469,16.393469,12.213469,13.996939,12.493469,13.573469,10.793469,15.353469,11.513469,12.073469,14.713469,14.796939,11.933469,14.473469,13.193469,12.733469,17.133469,13.733469,11.433469,16.373469,15.613469,14.493469
13,2,11.892698,11.792698,14.132698,14.312698,12.752698,15.652698,11.412698,15.232698,11.992698,12.712698,15.152698,14.632698,13.912698,13.912698,14.012698,14.972698,13.792698,15.192698,10.991349,12.092698,15.892698,11.752698,13.652698,14.292698,12.552698,18.192698,16.252698,13.312698,13.472698,13.292698,12.392698,15.692698,14.492698,13.112698,11.071349,16.652698,12.432698,14.252698,12.732698,13.812698,11.001349,15.592698,11.712698,12.332698,14.952698,15.152698,12.172698,14.752698,13.432698,12.972698,17.372698,13.972698,11.652698,16.672698,15.872698,14.752698
14,0,12.192245,12.112245,14.472245,14.612245,13.052245,15.972245,11.692245,15.552245,12.292245,12.992245,15.452245,14.972245,14.212245,14.212245,14.332245,15.292245,14.092245,15.492245,11.232245,12.392245,16.292245,12.052245,13.952245,14.592245,12.852245,18.712245,16.592245,13.592245,13.752245,13.692245,12.712245,16.012245,14.792245,13.412245,11.352245,17.032245,12.732245,14.552245,13.032245,14.092245,11.252245,15.892245,11.992245,12.692245,15.252245,15.492245,12.452245,15.052245,13.712245,13.272245,17.772245,14.332245,11.952245,16.972245,16.192245,15.05449
